id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier,playerId,playerName,keyPass,assist,Squad,Position
2800163809,1,34,16,0,0,dtucewmt49th1p4selfutmnmc,1,0.0,0.0,2025-04-12T20:10:58.047Z,2025-04-12T22:16:24Z,"[{'id': 5646673005, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5646673001, 'qualifierId': 130, 'value': '8'}, {'id': 5646672993, 'qualifierId': 30, 'value': '2e8med2swmjdv0uck4hmz4s4q, 7hrw0exutge376ai2uf6frw4q, aackuqvi6nlca566oisw0wc9g, 9tbrhbbmfxq8l363kybl4g7ah, cieyupgmnxecb4emqljudrw89, 2x4vbu3htfozzwd8g7bdxeacp, br17lkx91icsoqiibmufa23v8, 8q0rkr3gz7hz1ssdx3fkro0a2, brs2knmydegipvthtwu6xwqac, 1mym43khm3hlhzbj42tbnjlec, aoa88ulpguvr42b0a1jn8dfys, 2mawkst2xlxrp2zbvgk6rundh, 2mlyh9k0yhv8862rj6hu26j8p, 5056k6uw0ib8nyrq5y2s4outw, 5ni7a4s85lp22rysy5inywf3e, de9skbu4z39jm4o4j0mriw00k, 9e65qlc7dfjkajyhzhak8sc7p, 347h4639fjw27rx29j0we0q5m, 24lhpn1z5ikitapll48t1z7kk, 26d7uj41yx6no1oc3izr0rys5'}, {'id': 5646672995, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5646673009, 'qualifierId': 197, 'value': '28269'}, {'id': 5646673007, 'qualifierId': 194, 'value': 'cieyupgmnxecb4emqljudrw89'}, {'id': 5646673011, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5646672997, 'qualifierId': 59, 'value': '1, 2, 6, 8, 3, 11, 13, 26, 9, 20, 42, 4, 5, 12, 14, 15, 16, 19, 24, 29'}]",,,,,Racing Louisville,Home
2800166221,1,34,16,0,0,f1ks82wpiewyqs6h3oz9v4hzj,1,0.0,0.0,2025-04-12T20:13:27.553Z,2025-04-12T21:24:20Z,"[{'id': 5646686551, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5646686539, 'qualifierId': 44, 'value': '1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5646686537, 'qualifierId': 30, 'value': 'd9dirjpaqkq3gga2zyeykcv6d, 73q03evwuq5rdm7scz31yj4a2, en29qfiuu01nsmekoqhycjo45, bo5e35lsptja0pnlvk1y38dex, 1v67tba1l3sxow1geovdqefo5, 27dktxivmcqmi1lkz1vs49qi2, 42vdmyzhg3m7or9duzcuwkusp, b8xa1whpr8m3e5zbziz9e91bd, b9d4fqz6ezz2azklpghb9kyjt, bz6tei03n7cj4mbdsx20wd0yc, 4h6jpaeqynme21y5gnho24ob8, 6vqain7mmp94wueprv9aj5xp1, bfk6fgj2z7yifd9iqwjlk4pka, 31yxoo15eztnf39r45e6hy1g5, yay5mq8trvoxv9mwm4mqzn8q, 8jc8ndxlodfrhxxao3k1fknbo, 281339664uiyf2kagsl6gsvf8, 9faqkjlq89sh0y2vnstt24e1g, as2gs38ai4i235sz36rmvpa1g'}, {'id': 5646686541, 'qualifierId': 59, 'value': '1, 8, 14, 24, 4, 9, 13, 5, 33, 22, 16, 28, 2, 10, 21, 25, 34, 35, 39'}, {'id': 5646686545, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5646686543, 'qualifierId': 130, 'value': '11'}, {'id': 5646686547, 'qualifierId': 194, 'value': 'd9dirjpaqkq3gga2zyeykcv6d'}, {'id': 5646686549, 'qualifierId': 197, 'value': '28271'}]",,,,,Washington Spirit,Away
2800212303,2,32,1,0,0,f1ks82wpiewyqs6h3oz9v4hzj,1,0.0,0.0,2025-04-12T21:09:01.657Z,2025-04-12T21:09:04Z,"[{'id': 5646949719, 'qualifierId': 127, 'value': 'Left to Right'}]",,,,,Washington Spirit,Away
2800212291,2,32,1,0,0,dtucewmt49th1p4selfutmnmc,1,0.0,0.0,2025-04-12T21:09:01.657Z,2025-04-12T22:17:05Z,"[{'id': 5646949685, 'qualifierId': 127, 'value': 'Right to Left'}]",,,,,Racing Louisville,Home
2800212335,3,1,1,0,0,dtucewmt49th1p4selfutmnmc,1,50.1,50.1,2025-04-12T21:09:01.658Z,2025-04-12T21:11:27Z,"[{'id': 5646949897, 'qualifierId': 213, 'value': '3.21'}, {'id': 5646949889, 'qualifierId': 56, 'value': 'Back'}, {'id': 5646949891, 'qualifierId': 140, 'value': '25.9'}, {'id': 5646949895, 'qualifierId': 212, 'value': '25.5'}, {'id': 5646949899, 'qualifierId': 279, 'value': 'S'}, {'id': 5646949893, 'qualifierId': 141, 'value': '47.5'}]",brs2knmydegipvthtwu6xwqac,K. Fischer,,,Racing Louisville,Home
2800212373,4,1,1,0,3,dtucewmt49th1p4selfutmnmc,0,26.0,47.0,2025-04-12T21:09:05.530Z,2025-04-12T21:09:09Z,"[{'id': 5646950115, 'qualifierId': 140, 'value': '72.6'}, {'id': 5646950111, 'qualifierId': 157}, {'id': 5646950113, 'qualifierId': 56, 'value': 'Right'}, {'id': 5646950117, 'qualifierId': 141, 'value': '17.0'}, {'id': 5646950121, 'qualifierId': 213, 'value': '5.89'}, {'id': 5646950119, 'qualifierId': 212, 'value': '53.0'}, {'id': 5646950123, 'qualifierId': 1}]",2e8med2swmjdv0uck4hmz4s4q,K. Lund,,,Racing Louisville,Home
2800212407,3,1,1,0,7,f1ks82wpiewyqs6h3oz9v4hzj,1,25.1,88.4,2025-04-12T21:09:09.643Z,2025-04-12T21:34:01Z,"[{'id': 5646950333, 'qualifierId': 157}, {'id': 5646950335, 'qualifierId': 56, 'value': 'Back'}, {'id': 5646950343, 'qualifierId': 213, 'value': '5.34'}, {'id': 5646950341, 'qualifierId': 212, 'value': '23.4'}, {'id': 5646950345, 'qualifierId': 1}, {'id': 5646950337, 'qualifierId': 140, 'value': '38.2'}, {'id': 5646950339, 'qualifierId': 141, 'value': '60.6'}]",en29qfiuu01nsmekoqhycjo45,G. Carle,,,Washington Spirit,Away
2800212417,4,43,1,0,10,f1ks82wpiewyqs6h3oz9v4hzj,1,0.0,0.0,2025-04-12T21:09:12.073Z,2025-04-12T21:17:12Z,"[{'id': 5646950395, 'qualifierId': 56, 'value': 'Back'}, {'id': 5646982093, 'qualifierId': 144, 'value': '44'}, {'id': 5646950583, 'qualifierId': 233, 'value': '5'}, {'id': 5646950397, 'qualifierId': 285, 'value': '0'}]",42vdmyzhg3m7or9duzcuwkusp,B. Ratcliffe,,,Washington Spirit,Away
2800212443,5,43,1,0,10,dtucewmt49th1p4selfutmnmc,1,0.0,0.0,2025-04-12T21:09:12.074Z,2025-04-12T21:19:24Z,"[{'id': 5646950567, 'qualifierId': 286, 'value': '0'}, {'id': 5646991265, 'qualifierId': 144, 'value': '44'}, {'id': 5646950563, 'qualifierId': 56, 'value': 'Center'}]",1mym43khm3hlhzbj42tbnjlec,K. O'Kane,,,Racing Louisville,Home
2800212461,5,1,1,0,10,f1ks82wpiewyqs6h3oz9v4hzj,1,41.7,45.9,2025-04-12T21:09:12.449Z,2025-04-12T21:09:15Z,"[{'id': 5646950653, 'qualifierId': 3}, {'id': 5646950655, 'qualifierId': 56, 'value': 'Center'}, {'id': 5646950661, 'qualifierId': 212, 'value': '20.8'}, {'id': 5646950663, 'qualifierId': 213, 'value': '0.45'}, {'id': 5646950659, 'qualifierId': 141, 'value': '59.2'}, {'id': 5646950657, 'qualifierId': 140, 'value': '59.5'}]",42vdmyzhg3m7or9duzcuwkusp,B. Ratcliffe,,,Washington Spirit,Away
