id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier,playerId,playerName,keyPass,assist,Squad,Position
2800269583,1,34,16,0,0,966pdxhsoxaib9qt5083h8uus,1,0.0,0.0,2025-04-12T22:49:23.966Z,2025-04-12T23:43:11Z,"[{'id': 5647265453, 'qualifierId': 194, 'value': 'c811si1xw5he6ih0o1mj94tsl'}, {'id': 5647376895, 'qualifierId': 197, 'value': '24420'}, {'id': 5647265437, 'qualifierId': 30, 'value': '7e8f4kfwcucaj4239xz0rai1h, dy302yj9tjby62ur1u8ab8rxm, dyfsbff9jueyw5jhjou424bo4, 6uui5rxnfn6y5rkcsbuloiui, 9yvkpwm78jaqr321imfc3rrbo, 1uf4321zvio3hrwfu4z4jxp7t, eigt6t2rj0k98zt1isqrvtvqh, 3cyj9a2fjtx4xd0bqdh6g3azu, e2obgph6szyo04em3qr94g1qt, c811si1xw5he6ih0o1mj94tsl, 68njvqucip0ehuz4eecppvq0a, 93mr62mbyeymgcad2qhpvt2qc, 6zvfcc67po0ofvl1twrv13tg5, 2lh6bupkrijpm9n916446nbop, 6x5f13ghtvbdhcf7f9sct54dm, 642fsrjj1seobmhxeefruv578, 6fhiz0epsutfcs1xqfhcuomad, 77agy8f4m7ybib2cssdfsltuy, 23nuijdnnuiwzkd5cf7jbyajt, bp34vn963cxgnx6b7q7sig9hw'}, {'id': 5647265445, 'qualifierId': 130, 'value': '2'}, {'id': 5647265441, 'qualifierId': 59, 'value': '1, 12, 25, 30, 6, 3, 11, 2, 22, 10, 28, 40, 19, 21, 32, 34, 16, 14, 15, 9'}, {'id': 5647265439, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5647265451, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5647265455, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}]",,,,,Orlando Pride,Away
2800269619,1,34,16,0,0,bl53jk6zlfe5f583pil7xzwi5,1,0.0,0.0,2025-04-12T22:49:29.373Z,2025-04-12T23:45:40Z,"[{'id': 5647265721, 'qualifierId': 194, 'value': '7lt9nze7e2mk2hlp9dkvabkyd'}, {'id': 5647265715, 'qualifierId': 59, 'value': '1, 24, 5, 3, 21, 23, 16, 2, 9, 30, 20, 38, 25, 8, 33, 14, 18, 7, 47, 6'}, {'id': 5647265711, 'qualifierId': 30, 'value': '2bb2dbogerxxvircnah8gw222, a3iv6ws325cyd1vmrowwx6ck4, anwmefu9etrn8i0r74r1jg9g, 7lt9nze7e2mk2hlp9dkvabkyd, apl8fpqij3o30f21vh2tthe22, 78r84jt04ixcanyq0d0x7jmz8, 3izdhhnuuxiomh66g4g0d0yc, dlm4h2alfw0llbz4mkdq7hu96, 78i4mxu4hxwp995udteweftgp, 7xb0niqg08hrxk8i2nq8zvfth, 3jl8cvp50cy5o4pt1u8h4a2cq, 57nmefeij6bg2ltvoqmqb7nbp, 7v6cr5ohzfbu6gf0dvw05q8h6, z8vdz64bgqus4c85451nsrf9, 8rum6xdhsh8kjz3r3x39qtt04, 1msrx80nnfp04v03t5jkoo76y, 5uoom5ctl8apr1v3ew3bhrlgq, 9gdocwx006j6wyz4mnhzgzydx, e2q91279c3j489oaaqgb6iwb8, cm6fzm8v38ti0aubu0q4v717t'}, {'id': 5647376043, 'qualifierId': 197, 'value': '24258'}, {'id': 5647265719, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5647265713, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5647265723, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5647265717, 'qualifierId': 130, 'value': '12'}]",,,,,Seattle Reign,Home
2800289097,2,32,1,0,0,966pdxhsoxaib9qt5083h8uus,1,0.0,0.0,2025-04-12T23:30:41.705Z,2025-04-12T23:30:44Z,"[{'id': 5647376493, 'qualifierId': 127, 'value': 'Left to Right'}]",,,,,Orlando Pride,Away
2800289087,2,32,1,0,0,bl53jk6zlfe5f583pil7xzwi5,1,0.0,0.0,2025-04-12T23:30:41.705Z,2025-04-12T23:30:41Z,"[{'id': 5647376455, 'qualifierId': 127, 'value': 'Right to Left'}]",,,,,Seattle Reign,Home
2800289139,3,1,1,0,0,bl53jk6zlfe5f583pil7xzwi5,1,50.0,50.0,2025-04-12T23:30:41.706Z,2025-04-13T00:19:22Z,"[{'id': 5647376773, 'qualifierId': 279, 'value': 'S'}, {'id': 5647376769, 'qualifierId': 213, 'value': '3.19'}, {'id': 5647376763, 'qualifierId': 140, 'value': '23.0'}, {'id': 5647376767, 'qualifierId': 212, 'value': '28.4'}, {'id': 5647376765, 'qualifierId': 141, 'value': '47.9'}, {'id': 5647376761, 'qualifierId': 56, 'value': 'Back'}]",dlm4h2alfw0llbz4mkdq7hu96,M. Mercado,,,Seattle Reign,Home
2800289173,4,1,1,0,6,bl53jk6zlfe5f583pil7xzwi5,0,24.8,44.0,2025-04-12T23:30:47.976Z,2025-04-12T23:30:50Z,"[{'id': 5647376975, 'qualifierId': 140, 'value': '61.9'}, {'id': 5647376981, 'qualifierId': 213, 'value': '0.52'}, {'id': 5647376971, 'qualifierId': 155}, {'id': 5647376983, 'qualifierId': 1}, {'id': 5647376979, 'qualifierId': 212, 'value': '45.0'}, {'id': 5647376973, 'qualifierId': 56, 'value': 'Center'}, {'id': 5647376977, 'qualifierId': 141, 'value': '77.0'}]",2bb2dbogerxxvircnah8gw222,C. Dickey,,,Seattle Reign,Home
2800289195,3,61,1,0,10,966pdxhsoxaib9qt5083h8uus,1,38.4,15.9,2025-04-12T23:30:51.997Z,2025-04-13T00:19:19Z,"[{'id': 5647377107, 'qualifierId': 56, 'value': 'Back'}]",eigt6t2rj0k98zt1isqrvtvqh,A. Watt,,,Orlando Pride,Away
2800289207,4,5,1,0,10,966pdxhsoxaib9qt5083h8uus,0,42.0,-1.2,2025-04-12T23:30:52.696Z,2025-04-13T00:18:36Z,"[{'id': 5647377141, 'qualifierId': 347}, {'id': 5647377139, 'qualifierId': 56, 'value': 'Back'}, {'id': 5647377207, 'qualifierId': 233, 'value': '5'}]",eigt6t2rj0k98zt1isqrvtvqh,A. Watt,,,Orlando Pride,Away
2800289213,5,5,1,0,10,bl53jk6zlfe5f583pil7xzwi5,1,58.0,101.2,2025-04-12T23:30:52.696Z,2025-04-13T00:18:36Z,"[{'id': 5647377197, 'qualifierId': 233, 'value': '4'}, {'id': 5647377173, 'qualifierId': 347}, {'id': 5647377171, 'qualifierId': 56, 'value': 'Left'}]",2bb2dbogerxxvircnah8gw222,C. Dickey,,,Seattle Reign,Home
2800289317,6,1,1,0,22,bl53jk6zlfe5f583pil7xzwi5,1,54.3,100.0,2025-04-12T23:31:03.913Z,2025-04-12T23:31:08Z,"[{'id': 5647377885, 'qualifierId': 212, 'value': '21.4'}, {'id': 5647377881, 'qualifierId': 140, 'value': '68.5'}, {'id': 5647377877, 'qualifierId': 107}, {'id': 5647377887, 'qualifierId': 213, 'value': '5.48'}, {'id': 5647377879, 'qualifierId': 56, 'value': 'Center'}, {'id': 5647377883, 'qualifierId': 141, 'value': '78.5'}, {'id': 5647377889, 'qualifierId': 1}]",7lt9nze7e2mk2hlp9dkvabkyd,L. Barnes,,,Seattle Reign,Home
