id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier,playerId,playerName,assist,keyPass,Squad,Position
2801117177,1,34,16,0,0,dzxypx8djih58p668surbi4qm,1,0.0,0.0,2025-04-13T22:24:43.166Z,2025-04-14T01:27:14Z,"[{'id': 5652328589, 'qualifierId': 197, 'value': '28137'}, {'id': 5652328587, 'qualifierId': 194, 'value': 'cbhcuvuqi3gxgln6n463vz9at'}, {'id': 5651870405, 'qualifierId': 59, 'value': '1, 30, 32, 77, 4, 3, 8, 20, 14, 34, 21, 10, 13, 16, 18, 23, 25, 26, 41, 19'}, {'id': 5651870407, 'qualifierId': 130, 'value': '2'}, {'id': 5651870409, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5651870403, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5651870411, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5651870401, 'qualifierId': 30, 'value': 'cbhcuvuqi3gxgln6n463vz9at, 9zcl2x3h5b1cb2sf5wuarmwru, 4tnm3hxzav142ow867jwcozkk, daze51b5849zsk2aqvgmkkbth, 6zzk0lgja87zs45h8btgheled, 11u4dj0z0p616zx9gsnil66ay, 83fvamzyuhfbgp5j1bn0n0650, a652ucv412tcgm98cx2ri6psk, a7yq5hwmc27r615dak86yfoph, 6e7scc2z7henelebs853mc844, 6alny8atonddyhmltw3dgo1d5, 19udx179xugqp84qo9rsq0nhl, 3i1tb812znsp7f2sbg7bcet0q, 56jjwfa02gep01vggqojvfbe2, aqr2y2o37lt7axg903pmedfkk, 5fyfbevwr4aisqn4969aripsk, e6228d1678w0s4fx8iw72lj6y, 39jb2vzpuxxfhrr0px7tlk991, 1zslcxrwelyckvt3kp9c7qiac, 6wtid9p5sncnatdjk1unpebdg'}]",,,,,Chicago Stars,Away
2801120979,1,34,16,0,0,eka22bj7co8bw5qxa6qlbinf8,1,0.0,0.0,2025-04-13T22:30:53.549Z,2025-04-13T23:07:03Z,"[{'id': 5651890141, 'qualifierId': 194, 'value': '6fl1ruianufxk3wj1cx8rrphx'}, {'id': 5651890131, 'qualifierId': 30, 'value': '1un4vc8t0zr8kh3u9ggug3i1g, 6fs7fjwxqpkgzosbb8364d4np, 58ggl2oa2ucyrv91ofv44ump6, atcv5kiq1ez04nvfbrh9xhh5g, 6fl1ruianufxk3wj1cx8rrphx, 5zwpytehpeosi3sfckvkuy3md, 9by1d4orgqze7m8nldkrnwwrt, 1ftms6bue2ezs3khsimk9sep6, c1r1tmscj963olp4yo8kedqdx, iwbi7wnz7xl9dtiqrg0ka6ay, a88r8d1jd5r928pvskginyiqy, 4yor5z7hocccrrs0p85jf179w, 4j9un8594hl9gezwkdeafnbsa, bzn9r2st3lrb74jbrnosv75ec, 3h9iwb3ufzzbr5137qg7whses, 5zq8rn70v25d2bzfot40w07is, ajm2otiy72xcni5pbtu1259n8, 7pdog0usw4fwr3j3neexfz1ed, d5sinj3fevgaqcgwhtfno836c, cnxanwub8nm1jokerrs83mk4q'}, {'id': 5651890143, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5651890133, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5651971195, 'qualifierId': 197, 'value': '28250'}, {'id': 5651890137, 'qualifierId': 130, 'value': '4'}, {'id': 5651890139, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5651890135, 'qualifierId': 59, 'value': '29, 3, 20, 7, 13, 4, 23, 19, 8, 5, 9, 32, 11, 12, 14, 15, 18, 21, 24, 55'}]",,,,,Bay,Home
2801139391,2,32,1,0,0,dzxypx8djih58p668surbi4qm,1,0.0,0.0,2025-04-13T23:08:32.293Z,2025-04-13T23:08:32Z,"[{'id': 5651984121, 'qualifierId': 127, 'value': 'Right to Left'}]",,,,,Chicago Stars,Away
2801139407,2,32,1,0,0,eka22bj7co8bw5qxa6qlbinf8,1,0.0,0.0,2025-04-13T23:08:32.293Z,2025-04-13T23:08:33Z,"[{'id': 5651984187, 'qualifierId': 127, 'value': 'Left to Right'}]",,,,,Bay,Home
2801139417,3,1,1,0,0,dzxypx8djih58p668surbi4qm,1,50.2,50.0,2025-04-13T23:08:32.294Z,2025-04-13T23:59:44Z,"[{'id': 5651984239, 'qualifierId': 212, 'value': '14.4'}, {'id': 5651984237, 'qualifierId': 141, 'value': '42.8'}, {'id': 5651984233, 'qualifierId': 56, 'value': 'Back'}, {'id': 5651984243, 'qualifierId': 279, 'value': 'S'}, {'id': 5651984235, 'qualifierId': 140, 'value': '37.3'}, {'id': 5651984241, 'qualifierId': 213, 'value': '3.49'}]",6e7scc2z7henelebs853mc844,A. Schlegel,,,Chicago Stars,Away
2801139467,4,1,1,0,2,dzxypx8djih58p668surbi4qm,1,37.1,43.0,2025-04-13T23:08:35.207Z,2025-04-13T23:59:49Z,"[{'id': 5651984481, 'qualifierId': 56, 'value': 'Back'}, {'id': 5651984485, 'qualifierId': 141, 'value': '61.2'}, {'id': 5651984483, 'qualifierId': 140, 'value': '21.6'}, {'id': 5651984489, 'qualifierId': 213, 'value': '2.49'}, {'id': 5651984487, 'qualifierId': 212, 'value': '20.4'}]",daze51b5849zsk2aqvgmkkbth,Maitane López,,,Chicago Stars,Away
2801139497,5,1,1,0,6,dzxypx8djih58p668surbi4qm,1,23.9,58.1,2025-04-13T23:08:38.968Z,2025-04-13T23:08:42Z,"[{'id': 5651984621, 'qualifierId': 213, 'value': '4.72'}, {'id': 5651984615, 'qualifierId': 140, 'value': '24.1'}, {'id': 5651984613, 'qualifierId': 56, 'value': 'Back'}, {'id': 5651984617, 'qualifierId': 141, 'value': '26.7'}, {'id': 5651984619, 'qualifierId': 212, 'value': '21.4'}]",11u4dj0z0p616zx9gsnil66ay,S. Staab,,,Chicago Stars,Away
2801139511,6,1,1,0,10,dzxypx8djih58p668surbi4qm,1,24.2,26.6,2025-04-13T23:08:42.311Z,2025-04-14T00:00:19Z,"[{'id': 5651984677, 'qualifierId': 212, 'value': '9.7'}, {'id': 5651984679, 'qualifierId': 213, 'value': '4.95'}, {'id': 5651984673, 'qualifierId': 140, 'value': '26.4'}, {'id': 5651984671, 'qualifierId': 56, 'value': 'Back'}, {'id': 5651984675, 'qualifierId': 141, 'value': '12.8'}]",6zzk0lgja87zs45h8btgheled,C. Onwualu,,,Chicago Stars,Away
2801139521,7,1,1,0,11,dzxypx8djih58p668surbi4qm,0,26.3,10.5,2025-04-13T23:08:44.279Z,2025-04-14T00:00:40Z,"[{'id': 5651984731, 'qualifierId': 141, 'value': '11.9'}, {'id': 5651984733, 'qualifierId': 212, 'value': '31.2'}, {'id': 5651984735, 'qualifierId': 213, 'value': '0.03'}, {'id': 5651984727, 'qualifierId': 56, 'value': 'Right'}, {'id': 5651984729, 'qualifierId': 140, 'value': '56.0'}]",9zcl2x3h5b1cb2sf5wuarmwru,C. Biegalski,,,Chicago Stars,Away
2801139561,3,12,1,0,13,eka22bj7co8bw5qxa6qlbinf8,1,37.8,85.7,2025-04-13T23:08:46.182Z,2025-04-13T23:08:49Z,"[{'id': 5651984957, 'qualifierId': 140, 'value': '59.5'}, {'id': 5651984961, 'qualifierId': 141, 'value': '100.0'}, {'id': 5651984993, 'qualifierId': 167}, {'id': 5651984955, 'qualifierId': 56, 'value': 'Left'}, {'id': 5651984965, 'qualifierId': 212, 'value': '25.3'}, {'id': 5651984969, 'qualifierId': 213, 'value': '0.45'}]",5zwpytehpeosi3sfckvkuy3md,E. Menges,,,Bay,Home
