id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier,playerId,playerName,keyPass,assist,Squad,Position
2803292179,1,34,16,0,0,dtucewmt49th1p4selfutmnmc,1,0.0,0.0,2025-04-19T18:15:47.210Z,2025-04-19T19:20:04Z,"[{'id': 5663942107, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5663942111, 'qualifierId': 130, 'value': '7'}, {'id': 5663942113, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5663942105, 'qualifierId': 30, 'value': '2e8med2swmjdv0uck4hmz4s4q, 7hrw0exutge376ai2uf6frw4q, aackuqvi6nlca566oisw0wc9g, 9tbrhbbmfxq8l363kybl4g7ah, 2mlyh9k0yhv8862rj6hu26j8p, cieyupgmnxecb4emqljudrw89, br17lkx91icsoqiibmufa23v8, 5ni7a4s85lp22rysy5inywf3e, brs2knmydegipvthtwu6xwqac, 1mym43khm3hlhzbj42tbnjlec, aoa88ulpguvr42b0a1jn8dfys, 5056k6uw0ib8nyrq5y2s4outw, 2x4vbu3htfozzwd8g7bdxeacp, 9e65qlc7dfjkajyhzhak8sc7p, de9skbu4z39jm4o4j0mriw00k, 2mawkst2xlxrp2zbvgk6rundh, 347h4639fjw27rx29j0we0q5m, asfd5wkedz1u29xt37r6or4rt, 26d7uj41yx6no1oc3izr0rys5, 24lhpn1z5ikitapll48t1z7kk'}, {'id': 5663942115, 'qualifierId': 194, 'value': 'cieyupgmnxecb4emqljudrw89'}, {'id': 5663942117, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5663942109, 'qualifierId': 59, 'value': '1, 2, 6, 8, 5, 3, 13, 14, 9, 20, 42, 12, 11, 16, 15, 4, 19, 7, 29, 24'}, {'id': 5664126167, 'qualifierId': 197, 'value': '28269'}]",,,,,Racing Louisville,Home
2803295439,1,34,16,0,0,esvbnzqbyvxp2k570ez7h1a1g,1,0.0,0.0,2025-04-19T18:19:30.523Z,2025-04-19T19:15:41Z,"[{'id': 5663961213, 'qualifierId': 30, 'value': '4yb9avzbrzt8m4c4h1yy98jbp, auyj06nha2syoygo7prfadobu, 3x6baiktcpcjxxh258a5uebpx, dzfr9ktjmxqj2eh2xibt7konp, 184w1exd2fg2pia1hanq3h5gp, 9ms54l53wseuxarpn4vfcx9g4, 3gu9gaz6w7eq79qnaqj3b7jdh, 6h8t7apz5vzk0pjxo8hbbkfhm, 321yjdo3gio1l33hc1pdps4wl, efynp5qo9b9x0lh9b4ft0ic8a, 5kaxtpwnuplnrodirmblx3cb8, 1he80t4tdvj86rbvng0956prd, 6e8q213gb5qv38m7utagjnkk, 6p2318moul9op4hmigk1xbaw9, 1p7mhkqn7vxnady8q0vboi02d, 7p8n46qssxb0drknt952vivbo, 1d0jkdajqiw576jjd7wdlbn1m, 1yz9120eydmodlv7pgyv9xw5w, bcliy6oxtz7380e9cyr38dj4k, bxf73uaptcz0uj7uy1g0euod1'}, {'id': 5663961223, 'qualifierId': 194, 'value': '4yb9avzbrzt8m4c4h1yy98jbp'}, {'id': 5663961221, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5664125921, 'qualifierId': 197, 'value': '24267'}, {'id': 5663961219, 'qualifierId': 130, 'value': '8'}, {'id': 5663961217, 'qualifierId': 59, 'value': '1, 6, 75, 10, 12, 3, 20, 21, 9, 11, 25, 7, 8, 14, 15, 17, 23, 24, 28, 31'}, {'id': 5663961225, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5663961215, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}]",,,,,San Diego Wave,Away
2803335927,2,32,1,0,0,esvbnzqbyvxp2k570ez7h1a1g,1,0.0,0.0,2025-04-19T19:09:04.465Z,2025-04-19T19:09:04Z,"[{'id': 5664181683, 'qualifierId': 127, 'value': 'Right to Left'}]",,,,,San Diego Wave,Away
2803335937,2,32,1,0,0,dtucewmt49th1p4selfutmnmc,1,0.0,0.0,2025-04-19T19:09:04.465Z,2025-04-19T19:09:05Z,"[{'id': 5664181735, 'qualifierId': 127, 'value': 'Left to Right'}]",,,,,Racing Louisville,Home
2803336011,3,1,1,0,0,dtucewmt49th1p4selfutmnmc,1,50.0,50.0,2025-04-19T19:09:04.466Z,2025-04-19T19:09:09Z,"[{'id': 5664182125, 'qualifierId': 213, 'value': '3.29'}, {'id': 5664182127, 'qualifierId': 279, 'value': 'S'}, {'id': 5664182117, 'qualifierId': 56, 'value': 'Back'}, {'id': 5664182119, 'qualifierId': 140, 'value': '29.7'}, {'id': 5664182121, 'qualifierId': 141, 'value': '45.2'}, {'id': 5664182123, 'qualifierId': 212, 'value': '21.6'}]",brs2knmydegipvthtwu6xwqac,K. Fischer,,,Racing Louisville,Home
2803336061,4,1,1,0,4,dtucewmt49th1p4selfutmnmc,0,28.8,38.9,2025-04-19T19:09:09.360Z,2025-04-19T19:09:12Z,"[{'id': 5664182457, 'qualifierId': 157}, {'id': 5664182465, 'qualifierId': 212, 'value': '54.2'}, {'id': 5664182467, 'qualifierId': 213, 'value': '5.75'}, {'id': 5664182469, 'qualifierId': 1}, {'id': 5664182459, 'qualifierId': 56, 'value': 'Right'}, {'id': 5664182463, 'qualifierId': 141, 'value': '0.0'}, {'id': 5664182461, 'qualifierId': 140, 'value': '73.3'}]",2e8med2swmjdv0uck4hmz4s4q,K. Lund,,,Racing Louisville,Home
2803336099,3,5,1,0,8,esvbnzqbyvxp2k570ez7h1a1g,1,27.6,101.6,2025-04-19T19:09:12.762Z,2025-04-19T19:28:29Z,"[{'id': 5664182725, 'qualifierId': 56, 'value': 'Back'}, {'id': 5664182729, 'qualifierId': 347}, {'id': 5664182761, 'qualifierId': 233, 'value': '5'}]",efynp5qo9b9x0lh9b4ft0ic8a,G. Corley,,,San Diego Wave,Away
2803336071,5,5,1,0,8,dtucewmt49th1p4selfutmnmc,0,72.4,-1.6,2025-04-19T19:09:12.762Z,2025-04-19T19:09:17Z,"[{'id': 5664182789, 'qualifierId': 233, 'value': '3'}, {'id': 5664182513, 'qualifierId': 56, 'value': 'Right'}, {'id': 5664182515, 'qualifierId': 347}]",2e8med2swmjdv0uck4hmz4s4q,K. Lund,,,Racing Louisville,Home
2803336191,4,1,1,0,14,esvbnzqbyvxp2k570ez7h1a1g,1,29.0,100.0,2025-04-19T19:09:19.459Z,2025-04-19T19:09:21Z,"[{'id': 5664183281, 'qualifierId': 213, 'value': '3.38'}, {'id': 5664183283, 'qualifierId': 1}, {'id': 5664183277, 'qualifierId': 141, 'value': '93.8'}, {'id': 5664183275, 'qualifierId': 140, 'value': '8.2'}, {'id': 5664183273, 'qualifierId': 56, 'value': 'Back'}, {'id': 5664183271, 'qualifierId': 107}, {'id': 5664183279, 'qualifierId': 212, 'value': '22.5'}]",3x6baiktcpcjxxh258a5uebpx,P. Morroni,,,San Diego Wave,Away
2803336219,5,1,1,0,17,esvbnzqbyvxp2k570ez7h1a1g,1,5.5,92.1,2025-04-19T19:09:21.801Z,2025-04-19T19:09:23Z,"[{'id': 5664183447, 'qualifierId': 212, 'value': '14.9'}, {'id': 5664183445, 'qualifierId': 141, 'value': '70.5'}, {'id': 5664183441, 'qualifierId': 56, 'value': 'Back'}, {'id': 5664183443, 'qualifierId': 140, 'value': '3.2'}, {'id': 5664183449, 'qualifierId': 213, 'value': '4.55'}]",9ms54l53wseuxarpn4vfcx9g4,T. Armstrong,,,San Diego Wave,Away
2803336255,6,1,1,0,19,esvbnzqbyvxp2k570ez7h1a1g,1,3.2,72.3,2025-04-19T19:09:23.609Z,2025-04-19T19:09:27Z,"[{'id': 5664183649, 'qualifierId': 141, 'value': '94.2'}, {'id': 5664183653, 'qualifierId': 213, 'value': '0.53'}, {'id': 5664183651, 'qualifierId': 212, 'value': '29.5'}, {'id': 5664183643, 'qualifierId': 157}, {'id': 5664183645, 'qualifierId': 56, 'value': 'Back'}, {'id': 5664183647, 'qualifierId': 140, 'value': '27.4'}, {'id': 5664183655, 'qualifierId': 1}]",4yb9avzbrzt8m4c4h1yy98jbp,K. Sheridan,,,San Diego Wave,Away
2803336259,7,61,1,0,22,esvbnzqbyvxp2k570ez7h1a1g,0,28.4,94.7,2025-04-19T19:09:26.985Z,2025-04-19T19:09:27Z,"[{'id': 5664183663, 'qualifierId': 56, 'value': 'Back'}]",5kaxtpwnuplnrodirmblx3cb8,M. Barcenas,,,San Diego Wave,Away
2803336271,6,49,1,0,23,dtucewmt49th1p4selfutmnmc,1,71.0,5.3,2025-04-19T19:09:27.664Z,2025-04-19T19:09:27Z,[],br17lkx91icsoqiibmufa23v8,E. Sears,,,Racing Louisville,Home
2803336291,7,1,1,0,23,dtucewmt49th1p4selfutmnmc,1,71.0,5.3,2025-04-19T19:09:28.112Z,2025-04-19T19:09:29Z,"[{'id': 5664183827, 'qualifierId': 212, 'value': '6.4'}, {'id': 5664183823, 'qualifierId': 140, 'value': '64.9'}, {'id': 5664183821, 'qualifierId': 56, 'value': 'Right'}, {'id': 5664183829, 'qualifierId': 213, 'value': '3.06'}, {'id': 5664183825, 'qualifierId': 141, 'value': '6.1'}]",br17lkx91icsoqiibmufa23v8,E. Sears,,,Racing Louisville,Home
2803336315,8,1,1,0,24,dtucewmt49th1p4selfutmnmc,1,65.4,6.1,2025-04-19T19:09:28.848Z,2025-04-19T19:09:31Z,"[{'id': 5664183977, 'qualifierId': 213, 'value': '6.06'}, {'id': 5664183973, 'qualifierId': 141, 'value': '3.1'}, {'id': 5664183971, 'qualifierId': 140, 'value': '73.8'}, {'id': 5664183969, 'qualifierId': 56, 'value': 'Right'}, {'id': 5664183975, 'qualifierId': 212, 'value': '9.1'}]",7hrw0exutge376ai2uf6frw4q,L. Milliet,,,Racing Louisville,Home
2803336379,9,1,1,0,26,dtucewmt49th1p4selfutmnmc,1,69.2,4.4,2025-04-19T19:09:30.896Z,2025-04-19T19:09:34Z,"[{'id': 5664184265, 'qualifierId': 140, 'value': '66.6'}, {'id': 5664184267, 'qualifierId': 141, 'value': '18.0'}, {'id': 5664184269, 'qualifierId': 212, 'value': '9.6'}, {'id': 5664184271, 'qualifierId': 213, 'value': '1.86'}, {'id': 5664184263, 'qualifierId': 56, 'value': 'Right'}]",br17lkx91icsoqiibmufa23v8,E. Sears,,,Racing Louisville,Home
2803336387,10,1,1,0,29,dtucewmt49th1p4selfutmnmc,0,68.4,18.6,2025-04-19T19:09:33.904Z,2025-04-19T19:09:35Z,"[{'id': 5664184297, 'qualifierId': 56, 'value': 'Center'}, {'id': 5664184311, 'qualifierId': 213, 'value': '0.84'}, {'id': 5664184307, 'qualifierId': 212, 'value': '3.0'}, {'id': 5664184385, 'qualifierId': 233, 'value': '8'}, {'id': 5664184383, 'qualifierId': 236}, {'id': 5664184299, 'qualifierId': 140, 'value': '70.3'}, {'id': 5664184303, 'qualifierId': 141, 'value': '21.9'}, {'id': 5664184391, 'qualifierId': 286}]",9tbrhbbmfxq8l363kybl4g7ah,Ary Borges,,,Racing Louisville,Home
2803336405,8,74,1,0,29,esvbnzqbyvxp2k570ez7h1a1g,1,29.1,80.6,2025-04-19T19:09:33.905Z,2025-04-19T19:28:35Z,"[{'id': 5664184377, 'qualifierId': 285}, {'id': 5664184375, 'qualifierId': 56, 'value': 'Back'}, {'id': 5664184415, 'qualifierId': 233, 'value': '10'}]",efynp5qo9b9x0lh9b4ft0ic8a,G. Corley,,,San Diego Wave,Away
2803387589,507,61,1,0,30,esvbnzqbyvxp2k570ez7h1a1g,0,29.3,60.8,2025-04-19T19:09:34.465Z,2025-04-19T20:08:59Z,"[{'id': 5664470631, 'qualifierId': 56, 'value': 'Back'}]",6h8t7apz5vzk0pjxo8hbbkfhm,S. McCaskill,,,San Diego Wave,Away
2803336467,11,61,1,0,33,dtucewmt49th1p4selfutmnmc,0,67.5,30.7,2025-04-19T19:09:38.319Z,2025-04-19T19:09:38Z,"[{'id': 5664184709, 'qualifierId': 56, 'value': 'Center'}]",1mym43khm3hlhzbj42tbnjlec,K. O'Kane,,,Racing Louisville,Home
2803336555,9,3,1,0,34,esvbnzqbyvxp2k570ez7h1a1g,0,23.7,81.2,2025-04-19T19:09:39.391Z,2025-04-19T20:09:32Z,"[{'id': 5664185133, 'qualifierId': 56, 'value': 'Back'}, {'id': 5664472619, 'qualifierId': 233, 'value': '12'}, {'id': 5664472393, 'qualifierId': 285}]",efynp5qo9b9x0lh9b4ft0ic8a,G. Corley,,,San Diego Wave,Away
2803336497,12,7,1,0,34,dtucewmt49th1p4selfutmnmc,1,76.3,18.8,2025-04-19T19:09:39.392Z,2025-04-19T20:09:43Z,"[{'id': 5664184849, 'qualifierId': 56, 'value': 'Right'}, {'id': 5664472573, 'qualifierId': 233, 'value': '9'}, {'id': 5664472577, 'qualifierId': 286}]",9tbrhbbmfxq8l363kybl4g7ah,Ary Borges,,,Racing Louisville,Home
2803336517,13,1,1,0,35,dtucewmt49th1p4selfutmnmc,1,73.1,19.7,2025-04-19T19:09:39.936Z,2025-04-19T19:09:41Z,"[{'id': 5664184945, 'qualifierId': 140, 'value': '84.3'}, {'id': 5664184947, 'qualifierId': 141, 'value': '10.4'}, {'id': 5664184949, 'qualifierId': 212, 'value': '13.4'}, {'id': 5664184951, 'qualifierId': 213, 'value': '5.79'}, {'id': 5664184941, 'qualifierId': 56, 'value': 'Right'}]",9tbrhbbmfxq8l363kybl4g7ah,Ary Borges,,,Racing Louisville,Home
2803336533,14,1,1,0,36,dtucewmt49th1p4selfutmnmc,0,85.4,9.5,2025-04-19T19:09:40.959Z,2025-04-19T19:09:41Z,"[{'id': 5664185015, 'qualifierId': 141, 'value': '12.3'}, {'id': 5664185025, 'qualifierId': 213, 'value': '0.57'}, {'id': 5664185007, 'qualifierId': 56, 'value': 'Right'}, {'id': 5664185021, 'qualifierId': 212, 'value': '3.5'}, {'id': 5664185011, 'qualifierId': 140, 'value': '88.2'}]",5ni7a4s85lp22rysy5inywf3e,M. DiGrande,,,Racing Louisville,Home
2803388279,508,8,1,0,39,esvbnzqbyvxp2k570ez7h1a1g,1,12.8,90.9,2025-04-19T19:09:43.465Z,2025-04-19T20:09:48Z,"[{'id': 5664474211, 'qualifierId': 56, 'value': 'Back'}]",3x6baiktcpcjxxh258a5uebpx,P. Morroni,,,San Diego Wave,Away
2803336601,10,5,1,0,40,esvbnzqbyvxp2k570ez7h1a1g,0,9.4,101.0,2025-04-19T19:09:44.850Z,2025-04-19T19:28:30Z,"[{'id': 5664185411, 'qualifierId': 56, 'value': 'Back'}, {'id': 5664185413, 'qualifierId': 347}, {'id': 5664186107, 'qualifierId': 233, 'value': '15'}]",5kaxtpwnuplnrodirmblx3cb8,M. Barcenas,,,San Diego Wave,Away
2803336715,15,5,1,0,40,dtucewmt49th1p4selfutmnmc,1,90.6,-1.0,2025-04-19T19:09:44.850Z,2025-04-19T19:28:30Z,"[{'id': 5664186057, 'qualifierId': 233, 'value': '10'}, {'id': 5664186031, 'qualifierId': 56, 'value': 'Right'}, {'id': 5664186033, 'qualifierId': 347}]",5ni7a4s85lp22rysy5inywf3e,M. DiGrande,,,Racing Louisville,Home
