id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier,playerId,playerName,keyPass,assist,Squad,Position
2806422387,1,34,16,0,0,bgkfdckqfqnfbmecbtz03n76d,1,0.0,0.0,2025-04-26T16:18:49.810Z,2025-04-26T17:11:40Z,"[{'id': 5681152177, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5681152173, 'qualifierId': 30, 'value': '6fi5hacjc8lj8zej0d2lfq66t, co49l4m0my5li8yvcxgrvq0yy, c6amo9ni4dou63jjan993dht6, aqihfnhadzdmi7i5bjfnphqms, 9ohn9m84cy89huz745lirkted, 3aj7p478dcuat6tz8096sq8dl, dzhvgrdkl4nuj8z4fd9to0ag9, 3gxgrg34v8ffgde2g0nbm92c4, 13hy7ggmnhfalmdqlbp6lzv11, 1zjvb0kej2m1kp1sl0hw8tmuh, 7xktpagze0zc1ufeyultukk45, 9ifjrfggioh9cmphk85gykzx1, 9yoa6ehqan7po2q49famrk4d0, 47eshqoyaib3u78jfao4rmsr8, dtmvgia1wh01owv0splpjsftg, 56y5qt6c03t7f5t7eoebi0wyd, enc3v69b04w7jr0qkhiaq5a6t, 4e2l88qfahs0ey4urydb96e7e, e0gmts9bxn8goqm3bz4835016, 1d0w87gdvjcorim34wblp5hqs'}, {'id': 5681152189, 'qualifierId': 197, 'value': '28253'}, {'id': 5681152183, 'qualifierId': 130, 'value': '7'}, {'id': 5681152191, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5681152187, 'qualifierId': 194, 'value': 'aqihfnhadzdmi7i5bjfnphqms'}, {'id': 5681152181, 'qualifierId': 59, 'value': '30, 3, 4, 14, 27, 6, 10, 11, 9, 7, 18, 33, 24, 34, 90, 23, 20, 13, 8, 17'}, {'id': 5681152185, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}]",,,,,Gotham FC,Away
2806422411,1,34,16,0,0,f1ks82wpiewyqs6h3oz9v4hzj,1,0.0,0.0,2025-04-26T16:18:52.374Z,2025-04-26T17:32:59Z,"[{'id': 5681152339, 'qualifierId': 194, 'value': 'd9dirjpaqkq3gga2zyeykcv6d'}, {'id': 5681152343, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5681152337, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5681152331, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5681152335, 'qualifierId': 130, 'value': '6'}, {'id': 5681152329, 'qualifierId': 30, 'value': 'd9dirjpaqkq3gga2zyeykcv6d, en29qfiuu01nsmekoqhycjo45, bo5e35lsptja0pnlvk1y38dex, bz6tei03n7cj4mbdsx20wd0yc, 27dktxivmcqmi1lkz1vs49qi2, 1v67tba1l3sxow1geovdqefo5, 73q03evwuq5rdm7scz31yj4a2, b8xa1whpr8m3e5zbziz9e91bd, yay5mq8trvoxv9mwm4mqzn8q, 31yxoo15eztnf39r45e6hy1g5, 4h6jpaeqynme21y5gnho24ob8, 6vqain7mmp94wueprv9aj5xp1, 4wgwp2bd4xrjbg7s4p193aooa, 1jlc387u7fdpnnus9nlsb179w, 8jc8ndxlodfrhxxao3k1fknbo, b9d4fqz6ezz2azklpghb9kyjt, 281339664uiyf2kagsl6gsvf8, 9faqkjlq89sh0y2vnstt24e1g, as2gs38ai4i235sz36rmvpa1g'}, {'id': 5681152341, 'qualifierId': 197, 'value': '28068'}, {'id': 5681152333, 'qualifierId': 59, 'value': '1, 14, 24, 22, 9, 4, 8, 5, 21, 10, 16, 28, 7, 19, 25, 33, 34, 35, 39'}]",,,,,Washington Spirit,Home
2806456003,2,32,1,0,0,bgkfdckqfqnfbmecbtz03n76d,1,0.0,0.0,2025-04-26T17:06:47.927Z,2025-04-26T17:06:48Z,"[{'id': 5681328687, 'qualifierId': 127, 'value': 'Right to Left'}]",,,,,Gotham FC,Away
2806456027,2,32,1,0,0,f1ks82wpiewyqs6h3oz9v4hzj,1,0.0,0.0,2025-04-26T17:06:47.927Z,2025-04-26T17:06:49Z,"[{'id': 5681328825, 'qualifierId': 127, 'value': 'Left to Right'}]",,,,,Washington Spirit,Home
2806456073,3,1,1,0,0,bgkfdckqfqnfbmecbtz03n76d,1,49.3,50.1,2025-04-26T17:06:47.928Z,2025-04-26T17:06:50Z,"[{'id': 5681329069, 'qualifierId': 140, 'value': '33.8'}, {'id': 5681329083, 'qualifierId': 279, 'value': 'S'}, {'id': 5681329079, 'qualifierId': 213, 'value': '2.46'}, {'id': 5681329067, 'qualifierId': 56, 'value': 'Back'}, {'id': 5681329075, 'qualifierId': 212, 'value': '20.9'}, {'id': 5681329071, 'qualifierId': 141, 'value': '69.4'}]",13hy7ggmnhfalmdqlbp6lzv11,Esther González,,,Gotham FC,Away
2806456117,4,1,1,0,2,bgkfdckqfqnfbmecbtz03n76d,1,33.8,69.4,2025-04-26T17:06:50.811Z,2025-04-26T17:06:53Z,"[{'id': 5681329269, 'qualifierId': 141, 'value': '85.3'}, {'id': 5681329273, 'qualifierId': 213, 'value': '1.74'}, {'id': 5681329271, 'qualifierId': 212, 'value': '11.0'}, {'id': 5681329267, 'qualifierId': 140, 'value': '32.0'}, {'id': 5681329265, 'qualifierId': 56, 'value': 'Back'}]",3aj7p478dcuat6tz8096sq8dl,E. Sonnett,,,Gotham FC,Away
2806456125,5,1,1,0,5,bgkfdckqfqnfbmecbtz03n76d,0,35.9,84.1,2025-04-26T17:06:53.099Z,2025-04-26T17:06:54Z,"[{'id': 5681329323, 'qualifierId': 141, 'value': '58.4'}, {'id': 5681329327, 'qualifierId': 213, 'value': '5.92'}, {'id': 5681329325, 'qualifierId': 212, 'value': '49.5'}, {'id': 5681329313, 'qualifierId': 157}, {'id': 5681329315, 'qualifierId': 56, 'value': 'Center'}, {'id': 5681329319, 'qualifierId': 140, 'value': '80.0'}, {'id': 5681329329, 'qualifierId': 1}]",c6amo9ni4dou63jjan993dht6,L. Reale,,,Gotham FC,Away
2806456161,3,12,1,0,6,f1ks82wpiewyqs6h3oz9v4hzj,1,22.5,33.0,2025-04-26T17:06:54.541Z,2025-04-26T17:06:55Z,"[{'id': 5681329487, 'qualifierId': 56, 'value': 'Back'}, {'id': 5681329493, 'qualifierId': 212, 'value': '12.4'}, {'id': 5681329529, 'qualifierId': 15}, {'id': 5681329495, 'qualifierId': 213, 'value': '0.70'}, {'id': 5681329491, 'qualifierId': 141, 'value': '44.8'}, {'id': 5681329489, 'qualifierId': 140, 'value': '31.5'}]",27dktxivmcqmi1lkz1vs49qi2,T. McKeown,,,Washington Spirit,Home
2806456199,6,1,1,0,8,bgkfdckqfqnfbmecbtz03n76d,0,67.8,57.5,2025-04-26T17:06:56.844Z,2025-04-26T17:06:57Z,"[{'id': 5681329689, 'qualifierId': 141, 'value': '53.7'}, {'id': 5681329687, 'qualifierId': 140, 'value': '67.5'}, {'id': 5681329685, 'qualifierId': 56, 'value': 'Center'}, {'id': 5681329693, 'qualifierId': 213, 'value': '4.59'}, {'id': 5681329691, 'qualifierId': 212, 'value': '2.6'}]",3gxgrg34v8ffgde2g0nbm92c4,S. Schupansky,,,Gotham FC,Away
2806456219,4,1,1,0,9,f1ks82wpiewyqs6h3oz9v4hzj,1,34.1,48.8,2025-04-26T17:06:57.820Z,2025-04-26T17:06:59Z,"[{'id': 5681329803, 'qualifierId': 212, 'value': '6.6'}, {'id': 5681329801, 'qualifierId': 141, 'value': '56.3'}, {'id': 5681329805, 'qualifierId': 213, 'value': '2.26'}, {'id': 5681329797, 'qualifierId': 56, 'value': 'Back'}, {'id': 5681329799, 'qualifierId': 140, 'value': '30.1'}]",4h6jpaeqynme21y5gnho24ob8,C. Brown,,,Washington Spirit,Home
