id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier,playerId,playerName,keyPass,assist,Squad,Position
2813064001,1,34,16,0,0,966pdxhsoxaib9qt5083h8uus,1,0.0,0.0,2025-05-10T22:36:18.331Z,2025-05-10T23:42:51Z,"[{'id': 5717876063, 'qualifierId': 59, 'value': '1, 21, 25, 2, 34, 3, 15, 16, 22, 10, 19, 40, 12, 9, 32, 14, 23, 6, 30, 11'}, {'id': 5717876061, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5717876065, 'qualifierId': 130, 'value': '2'}, {'id': 5717876067, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5718019597, 'qualifierId': 197, 'value': '25922'}, {'id': 5717876059, 'qualifierId': 30, 'value': '7e8f4kfwcucaj4239xz0rai1h, 2lh6bupkrijpm9n916446nbop, dyfsbff9jueyw5jhjou424bo4, 3cyj9a2fjtx4xd0bqdh6g3azu, 642fsrjj1seobmhxeefruv578, 1uf4321zvio3hrwfu4z4jxp7t, 23nuijdnnuiwzkd5cf7jbyajt, 6fhiz0epsutfcs1xqfhcuomad, e2obgph6szyo04em3qr94g1qt, c811si1xw5he6ih0o1mj94tsl, 6zvfcc67po0ofvl1twrv13tg5, 93mr62mbyeymgcad2qhpvt2qc, dy302yj9tjby62ur1u8ab8rxm, bp34vn963cxgnx6b7q7sig9hw, 6x5f13ghtvbdhcf7f9sct54dm, 77agy8f4m7ybib2cssdfsltuy, e4glbrjataxggtxf953n1jsnp, 9yvkpwm78jaqr321imfc3rrbo, 6uui5rxnfn6y5rkcsbuloiui, eigt6t2rj0k98zt1isqrvtvqh'}, {'id': 5717876071, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5717876069, 'qualifierId': 194, 'value': 'c811si1xw5he6ih0o1mj94tsl'}]",,,,,Orlando Pride,Away
2813067107,1,34,16,0,0,b4fbmos00gxtk8qnaqsm392p5,1,0.0,0.0,2025-05-10T22:43:10.945Z,2025-05-10T23:35:18Z,"[{'id': 5717893671, 'qualifierId': 194, 'value': '7fk82cjz0z5vq2ts3vmz8has5'}, {'id': 5717893673, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5717893669, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5717893667, 'qualifierId': 130, 'value': '13'}, {'id': 5717893665, 'qualifierId': 59, 'value': '1, 13, 11, 12, 3, 27, 16, 10, 34, 2, 20, 44, 8, 14, 17, 19, 22, 24, 30, 77'}, {'id': 5718024097, 'qualifierId': 197, 'value': '28161'}, {'id': 5717893663, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5717893661, 'qualifierId': 30, 'value': '3qj9t05behkav9okd8n2wywh5, 1x229gvjahkxp7w02bh0v36ga, cbofbntctfuhr1vqpn7eywt05, 75p1ff1723mzkbs7tfke3j9m2, 1p3bwk03ay87hp2nwrl3tfxwq, cbco4ht0d7uk1thgam6vc0ep6, bxj6bpjfxkumj112yoco9wahg, 7fk82cjz0z5vq2ts3vmz8has5, 90bm7jsl7sjqiel7u2tv0vgq2, cwerr3zz6pqzzzqso9dx69fjd, 8afwde4025w5wxddyf2ouoine, p6mq2ouc50vln1ou3cyg0lqs, 54ieoaegysojsey2jmqtr9ucp, awme1kk0t2w81hc4xcup7k222, 9aj5gfycwgc6r0b550zagl4a1, 4k83z2cdvn2kwb72kh8e8qfsa, 3ytdxf659yjtnml5zzpxl01k9, 54baezi0oivpmiz91y7bj3zmc, 2sylxhwmisg8f763p2t1q934k, 51tbo9972xjvl7ekjps7o4hlg'}]",,,,,North Carolina Courage,Home
2813090801,2,32,1,0,0,966pdxhsoxaib9qt5083h8uus,1,0.0,0.0,2025-05-10T23:30:28.474Z,2025-05-10T23:30:28Z,"[{'id': 5718024789, 'qualifierId': 127, 'value': 'Right to Left'}]",,,,,Orlando Pride,Away
2813090811,2,32,1,0,0,b4fbmos00gxtk8qnaqsm392p5,1,0.0,0.0,2025-05-10T23:30:28.474Z,2025-05-10T23:30:32Z,"[{'id': 5718024827, 'qualifierId': 127, 'value': 'Left to Right'}]",,,,,North Carolina Courage,Home
2813090827,3,1,1,0,0,b4fbmos00gxtk8qnaqsm392p5,1,50.0,50.0,2025-05-10T23:30:28.475Z,2025-05-10T23:30:32Z,"[{'id': 5718024933, 'qualifierId': 141, 'value': '47.1'}, {'id': 5718024931, 'qualifierId': 140, 'value': '25.0'}, {'id': 5718024935, 'qualifierId': 212, 'value': '26.3'}, {'id': 5718024937, 'qualifierId': 213, 'value': '3.22'}, {'id': 5718024929, 'qualifierId': 56, 'value': 'Back'}, {'id': 5718024939, 'qualifierId': 279, 'value': 'S'}]",90bm7jsl7sjqiel7u2tv0vgq2,M. Matsukubo,,,North Carolina Courage,Home
2813090907,4,1,1,0,4,b4fbmos00gxtk8qnaqsm392p5,1,25.9,46.3,2025-05-10T23:30:32.624Z,2025-05-10T23:30:36Z,"[{'id': 5718025299, 'qualifierId': 212, 'value': '55.2'}, {'id': 5718025297, 'qualifierId': 141, 'value': '16.0'}, {'id': 5718025303, 'qualifierId': 1}, {'id': 5718025291, 'qualifierId': 155}, {'id': 5718025301, 'qualifierId': 213, 'value': '5.90'}, {'id': 5718025293, 'qualifierId': 56, 'value': 'Right'}, {'id': 5718025295, 'qualifierId': 140, 'value': '74.7'}]",1p3bwk03ay87hp2nwrl3tfxwq,K. Kurtz,,,North Carolina Courage,Home
2813090909,5,1,1,0,7,b4fbmos00gxtk8qnaqsm392p5,0,74.7,16.0,2025-05-10T23:30:36.188Z,2025-05-11T00:21:08Z,"[{'id': 5718025319, 'qualifierId': 212, 'value': '14.4'}, {'id': 5718025321, 'qualifierId': 213, 'value': '1.61'}, {'id': 5718025317, 'qualifierId': 141, 'value': '37.1'}, {'id': 5718025311, 'qualifierId': 3}, {'id': 5718025313, 'qualifierId': 56, 'value': 'Center'}, {'id': 5718025315, 'qualifierId': 140, 'value': '74.1'}]",1x229gvjahkxp7w02bh0v36ga,R. Williams,,,North Carolina Courage,Home
2813090933,3,1,1,0,8,966pdxhsoxaib9qt5083h8uus,1,30.3,51.0,2025-05-10T23:30:37.065Z,2025-05-10T23:30:39Z,"[{'id': 5718025429, 'qualifierId': 140, 'value': '34.2'}, {'id': 5718025427, 'qualifierId': 56, 'value': 'Back'}, {'id': 5718025435, 'qualifierId': 213, 'value': '0.98'}, {'id': 5718025431, 'qualifierId': 141, 'value': '59.9'}, {'id': 5718025433, 'qualifierId': 212, 'value': '7.3'}]",3cyj9a2fjtx4xd0bqdh6g3azu,H. McCutcheon,,,Orlando Pride,Away
2813090937,4,49,1,0,10,966pdxhsoxaib9qt5083h8uus,1,33.3,57.2,2025-05-10T23:30:39.112Z,2025-05-10T23:30:39Z,[],6fhiz0epsutfcs1xqfhcuomad,M. Gautrat,,,Orlando Pride,Away
2813090957,5,1,1,0,10,966pdxhsoxaib9qt5083h8uus,1,33.3,57.2,2025-05-10T23:30:39.351Z,2025-05-10T23:30:40Z,"[{'id': 5718025541, 'qualifierId': 213, 'value': '4.03'}, {'id': 5718025537, 'qualifierId': 141, 'value': '47.0'}, {'id': 5718025535, 'qualifierId': 140, 'value': '27.9'}, {'id': 5718025533, 'qualifierId': 56, 'value': 'Back'}, {'id': 5718025539, 'qualifierId': 212, 'value': '9.0'}]",6fhiz0epsutfcs1xqfhcuomad,M. Gautrat,,,Orlando Pride,Away
