id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier,playerId,playerName,keyPass,assist,Squad,Position
2800998551,1,34,16,0,0,b4fbmos00gxtk8qnaqsm392p5,1,0.0,0.0,2025-04-13T19:15:13.746Z,2025-04-13T20:56:41Z,"[{'id': 5651196995, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5651196985, 'qualifierId': 30, 'value': '3qj9t05behkav9okd8n2wywh5, 1x229gvjahkxp7w02bh0v36ga, cbofbntctfuhr1vqpn7eywt05, 8afwde4025w5wxddyf2ouoine, 1p3bwk03ay87hp2nwrl3tfxwq, cbco4ht0d7uk1thgam6vc0ep6, cwerr3zz6pqzzzqso9dx69fjd, 7fk82cjz0z5vq2ts3vmz8has5, 4k83z2cdvn2kwb72kh8e8qfsa, 90bm7jsl7sjqiel7u2tv0vgq2, 2sylxhwmisg8f763p2t1q934k, p6mq2ouc50vln1ou3cyg0lqs, 54ieoaegysojsey2jmqtr9ucp, 75p1ff1723mzkbs7tfke3j9m2, bxj6bpjfxkumj112yoco9wahg, 54baezi0oivpmiz91y7bj3zmc, 817x7baq69b1tnrtminbjf3zd, boqste0qnz36judz34w5bc5jo, 51tbo9972xjvl7ekjps7o4hlg, cqpdeqi0psfadqsgejcvdqqne'}, {'id': 5651196987, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5651196989, 'qualifierId': 59, 'value': '1, 13, 11, 20, 3, 27, 2, 10, 19, 34, 30, 44, 8, 12, 16, 24, 25, 33, 77, 7'}, {'id': 5651196991, 'qualifierId': 130, 'value': '8'}, {'id': 5651626965, 'qualifierId': 194, 'value': '7fk82cjz0z5vq2ts3vmz8has5'}, {'id': 5651626967, 'qualifierId': 197, 'value': '28553'}, {'id': 5651196993, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}]",,,,,North Carolina Courage,Away
2801008623,1,34,16,0,0,bgkfdckqfqnfbmecbtz03n76d,1,0.0,0.0,2025-04-13T19:29:02.601Z,2025-04-13T20:54:52Z,"[{'id': 5651255981, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5651255973, 'qualifierId': 30, 'value': '6fi5hacjc8lj8zej0d2lfq66t, 54szh8526rjp2erap05ljqxud, c6amo9ni4dou63jjan993dht6, aqihfnhadzdmi7i5bjfnphqms, 9ohn9m84cy89huz745lirkted, 3aj7p478dcuat6tz8096sq8dl, 3gxgrg34v8ffgde2g0nbm92c4, 13hy7ggmnhfalmdqlbp6lzv11, 4e2l88qfahs0ey4urydb96e7e, 1zjvb0kej2m1kp1sl0hw8tmuh, 7xktpagze0zc1ufeyultukk45, co49l4m0my5li8yvcxgrvq0yy, dzhvgrdkl4nuj8z4fd9to0ag9, 47eshqoyaib3u78jfao4rmsr8, 94j0ci5rtwvr8nlrr32cfg9d6, 56y5qt6c03t7f5t7eoebi0wyd, enc3v69b04w7jr0qkhiaq5a6t, e0gmts9bxn8goqm3bz4835016, 1d0w87gdvjcorim34wblp5hqs, 9ifjrfggioh9cmphk85gykzx1'}, {'id': 5651620037, 'qualifierId': 197, 'value': '28252'}, {'id': 5651255985, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5651255983, 'qualifierId': 194, 'value': '54szh8526rjp2erap05ljqxud'}, {'id': 5651255979, 'qualifierId': 130, 'value': '7'}, {'id': 5651255977, 'qualifierId': 59, 'value': '30, 22, 4, 14, 27, 6, 11, 9, 13, 7, 18, 3, 10, 34, 5, 23, 20, 8, 17, 1'}, {'id': 5651255975, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}]",,,,,Gotham FC,Home
2801039029,2,32,1,0,0,b4fbmos00gxtk8qnaqsm392p5,1,0.0,0.0,2025-04-13T20:09:10.271Z,2025-04-13T20:09:10Z,"[{'id': 5651430309, 'qualifierId': 127, 'value': 'Left to Right'}]",,,,,North Carolina Courage,Away
2801039039,2,32,1,0,0,bgkfdckqfqnfbmecbtz03n76d,1,0.0,0.0,2025-04-13T20:09:10.271Z,2025-04-13T20:09:12Z,"[{'id': 5651430367, 'qualifierId': 127, 'value': 'Right to Left'}]",,,,,Gotham FC,Home
2801039059,3,1,1,0,0,b4fbmos00gxtk8qnaqsm392p5,1,50.0,50.0,2025-04-13T20:09:10.272Z,2025-04-13T20:09:14Z,"[{'id': 5651430531, 'qualifierId': 279, 'value': 'S'}, {'id': 5651430527, 'qualifierId': 212, 'value': '23.5'}, {'id': 5651430525, 'qualifierId': 141, 'value': '58.7'}, {'id': 5651430523, 'qualifierId': 140, 'value': '28.3'}, {'id': 5651430529, 'qualifierId': 213, 'value': '2.89'}, {'id': 5651430521, 'qualifierId': 56, 'value': 'Back'}]",4k83z2cdvn2kwb72kh8e8qfsa,J. Shaw,,,North Carolina Courage,Away
2801039065,4,1,1,0,3,b4fbmos00gxtk8qnaqsm392p5,0,29.0,47.0,2025-04-13T20:09:14.092Z,2025-04-13T20:09:14Z,"[{'id': 5651430559, 'qualifierId': 140, 'value': '65.3'}, {'id': 5651430563, 'qualifierId': 212, 'value': '38.5'}, {'id': 5651430561, 'qualifierId': 141, 'value': '55.1'}, {'id': 5651430557, 'qualifierId': 56, 'value': 'Center'}, {'id': 5651430555, 'qualifierId': 157}, {'id': 5651430565, 'qualifierId': 213, 'value': '0.14'}, {'id': 5651430567, 'qualifierId': 1}]",1p3bwk03ay87hp2nwrl3tfxwq,K. Kurtz,,,North Carolina Courage,Away
2801039091,3,1,1,0,7,bgkfdckqfqnfbmecbtz03n76d,0,22.9,51.2,2025-04-13T20:09:17.871Z,2025-04-13T21:04:21Z,"[{'id': 5651430743, 'qualifierId': 213, 'value': '5.91'}, {'id': 5651430741, 'qualifierId': 212, 'value': '5.8'}, {'id': 5651430735, 'qualifierId': 56, 'value': 'Back'}, {'id': 5651430737, 'qualifierId': 140, 'value': '28.0'}, {'id': 5651430739, 'qualifierId': 141, 'value': '48.1'}]",aqihfnhadzdmi7i5bjfnphqms,N. Martin,,,Gotham FC,Home
2801039123,5,1,1,0,9,b4fbmos00gxtk8qnaqsm392p5,1,63.1,70.8,2025-04-13T20:09:19.561Z,2025-04-13T21:04:36Z,"[{'id': 5651430931, 'qualifierId': 213, 'value': '2.70'}, {'id': 5651430927, 'qualifierId': 141, 'value': '75.3'}, {'id': 5651430925, 'qualifierId': 140, 'value': '57.0'}, {'id': 5651430923, 'qualifierId': 56, 'value': 'Center'}, {'id': 5651430929, 'qualifierId': 212, 'value': '7.1'}]",cbofbntctfuhr1vqpn7eywt05,F. Rauch,,,North Carolina Courage,Away
2801039135,6,1,1,0,10,b4fbmos00gxtk8qnaqsm392p5,1,57.9,74.3,2025-04-13T20:09:20.697Z,2025-04-13T20:09:21Z,"[{'id': 5651430993, 'qualifierId': 140, 'value': '64.3'}, {'id': 5651430991, 'qualifierId': 56, 'value': 'Center'}, {'id': 5651430999, 'qualifierId': 213, 'value': '5.13'}, {'id': 5651430995, 'qualifierId': 141, 'value': '52.0'}, {'id': 5651430997, 'qualifierId': 212, 'value': '16.6'}]",8afwde4025w5wxddyf2ouoine,S. Koyama,,,North Carolina Courage,Away
2801039205,7,1,1,0,11,b4fbmos00gxtk8qnaqsm392p5,1,64.9,53.4,2025-04-13T20:09:21.657Z,2025-04-13T20:09:37Z,"[{'id': 5651431403, 'qualifierId': 140, 'value': '87.7'}, {'id': 5651431401, 'qualifierId': 56, 'value': 'Center'}, {'id': 5651431409, 'qualifierId': 213, 'value': '0.37'}, {'id': 5651431981, 'qualifierId': 154}, {'id': 5651432199, 'qualifierId': 4}, {'id': 5651431979, 'qualifierId': 210, 'value': '13'}, {'id': 5651431405, 'qualifierId': 141, 'value': '67.2'}, {'id': 5651431407, 'qualifierId': 212, 'value': '25.7'}]",4k83z2cdvn2kwb72kh8e8qfsa,J. Shaw,1.0,,North Carolina Courage,Away
