id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier,playerId,playerName,keyPass,assist,Squad,Position
2803484671,1,34,16,0,0,eka22bj7co8bw5qxa6qlbinf8,1,0.0,0.0,2025-04-19T22:31:25.500Z,2025-04-19T23:30:44Z,"[{'id': 5665108477, 'qualifierId': 197, 'value': '28251'}, {'id': 5665002925, 'qualifierId': 59, 'value': '29, 3, 20, 19, 13, 18, 5, 23, 15, 7, 9, 2, 4, 8, 11, 14, 17, 21, 24, 32'}, {'id': 5665002933, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5665002927, 'qualifierId': 130, 'value': '8'}, {'id': 5665002931, 'qualifierId': 194, 'value': '6fl1ruianufxk3wj1cx8rrphx'}, {'id': 5665002929, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5665002923, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5665002921, 'qualifierId': 30, 'value': '1un4vc8t0zr8kh3u9ggug3i1g, 6fs7fjwxqpkgzosbb8364d4np, 58ggl2oa2ucyrv91ofv44ump6, 1ftms6bue2ezs3khsimk9sep6, 6fl1ruianufxk3wj1cx8rrphx, ajm2otiy72xcni5pbtu1259n8, iwbi7wnz7xl9dtiqrg0ka6ay, 9by1d4orgqze7m8nldkrnwwrt, 5zq8rn70v25d2bzfot40w07is, atcv5kiq1ez04nvfbrh9xhh5g, a88r8d1jd5r928pvskginyiqy, 2lyemolpxnfj8hbv9lcywynai, 5zwpytehpeosi3sfckvkuy3md, c1r1tmscj963olp4yo8kedqdx, 4j9un8594hl9gezwkdeafnbsa, 3h9iwb3ufzzbr5137qg7whses, aknvwrqc5fk8wurg6487g5ck, 7pdog0usw4fwr3j3neexfz1ed, d5sinj3fevgaqcgwhtfno836c, 4yor5z7hocccrrs0p85jf179w'}]",,,,,Bay,Away
2803484723,1,34,16,0,0,b4fbmos00gxtk8qnaqsm392p5,1,0.0,0.0,2025-04-19T22:31:31.969Z,2025-04-19T23:24:04Z,"[{'id': 5665003257, 'qualifierId': 30, 'value': '3qj9t05behkav9okd8n2wywh5, 1x229gvjahkxp7w02bh0v36ga, cbofbntctfuhr1vqpn7eywt05, bxj6bpjfxkumj112yoco9wahg, 1p3bwk03ay87hp2nwrl3tfxwq, cbco4ht0d7uk1thgam6vc0ep6, 2sylxhwmisg8f763p2t1q934k, 7fk82cjz0z5vq2ts3vmz8has5, 54ieoaegysojsey2jmqtr9ucp, 4k83z2cdvn2kwb72kh8e8qfsa, 817x7baq69b1tnrtminbjf3zd, p6mq2ouc50vln1ou3cyg0lqs, cwerr3zz6pqzzzqso9dx69fjd, 75p1ff1723mzkbs7tfke3j9m2, 9aj5gfycwgc6r0b550zagl4a1, 8afwde4025w5wxddyf2ouoine, 3ytdxf659yjtnml5zzpxl01k9, 54baezi0oivpmiz91y7bj3zmc, boqste0qnz36judz34w5bc5jo, 90bm7jsl7sjqiel7u2tv0vgq2'}, {'id': 5665160923, 'qualifierId': 197, 'value': '28161'}, {'id': 5665003265, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5665003267, 'qualifierId': 194, 'value': '7fk82cjz0z5vq2ts3vmz8has5'}, {'id': 5665003269, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5665003263, 'qualifierId': 130, 'value': '8'}, {'id': 5665003259, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5665003261, 'qualifierId': 59, 'value': '1, 13, 11, 16, 3, 27, 30, 10, 8, 19, 25, 44, 2, 12, 17, 20, 22, 24, 33, 34'}]",,,,,North Carolina Courage,Home
2803502059,2,32,1,0,0,eka22bj7co8bw5qxa6qlbinf8,1,0.0,0.0,2025-04-19T23:09:44.438Z,2025-04-19T23:09:46Z,"[{'id': 5665103473, 'qualifierId': 127, 'value': 'Left to Right'}]",,,,,Bay,Away
2803502049,2,32,1,0,0,b4fbmos00gxtk8qnaqsm392p5,1,0.0,0.0,2025-04-19T23:09:44.438Z,2025-04-19T23:09:44Z,"[{'id': 5665103453, 'qualifierId': 127, 'value': 'Right to Left'}]",,,,,North Carolina Courage,Home
2803502135,4,1,1,0,0,b4fbmos00gxtk8qnaqsm392p5,1,50.0,50.0,2025-04-19T23:09:44.439Z,2025-04-19T23:09:50Z,"[{'id': 5665103845, 'qualifierId': 279, 'value': 'S'}, {'id': 5665103839, 'qualifierId': 141, 'value': '48.1'}, {'id': 5665103843, 'qualifierId': 213, 'value': '3.20'}, {'id': 5665103835, 'qualifierId': 56, 'value': 'Back'}, {'id': 5665103837, 'qualifierId': 140, 'value': '29.8'}, {'id': 5665103841, 'qualifierId': 212, 'value': '21.2'}]",54ieoaegysojsey2jmqtr9ucp,B. Pinto,,,North Carolina Courage,Home
2803502091,3,43,1,0,0,b4fbmos00gxtk8qnaqsm392p5,1,0.0,0.0,2025-04-19T23:09:44.588Z,2025-04-19T23:10:18Z,"[{'id': 5665103627, 'qualifierId': 285, 'value': '0'}, {'id': 5665105557, 'qualifierId': 144, 'value': '7'}, {'id': 5665103625, 'qualifierId': 56, 'value': 'Center'}]",54ieoaegysojsey2jmqtr9ucp,B. Pinto,,,North Carolina Courage,Home
2803502141,5,1,1,0,6,b4fbmos00gxtk8qnaqsm392p5,0,29.8,47.0,2025-04-19T23:09:50.735Z,2025-04-20T00:10:51Z,"[{'id': 5665103893, 'qualifierId': 1}, {'id': 5665103881, 'qualifierId': 157}, {'id': 5665103887, 'qualifierId': 141, 'value': '57.9'}, {'id': 5665103891, 'qualifierId': 213, 'value': '0.16'}, {'id': 5665103889, 'qualifierId': 212, 'value': '45.7'}, {'id': 5665103883, 'qualifierId': 56, 'value': 'Center'}, {'id': 5665103885, 'qualifierId': 140, 'value': '72.7'}]",1p3bwk03ay87hp2nwrl3tfxwq,K. Kurtz,,,North Carolina Courage,Home
2803502151,3,1,1,0,8,eka22bj7co8bw5qxa6qlbinf8,0,25.4,33.7,2025-04-19T23:09:52.771Z,2025-04-20T00:12:05Z,"[{'id': 5665103981, 'qualifierId': 213, 'value': '6.05'}, {'id': 5665103975, 'qualifierId': 140, 'value': '36.2'}, {'id': 5665103977, 'qualifierId': 141, 'value': '29.7'}, {'id': 5665103979, 'qualifierId': 212, 'value': '11.7'}, {'id': 5665103973, 'qualifierId': 56, 'value': 'Back'}, {'id': 5665103971, 'qualifierId': 3}]",6fl1ruianufxk3wj1cx8rrphx,A. Dahlkemper,,,Bay,Away
2803548065,406,1,1,0,10,b4fbmos00gxtk8qnaqsm392p5,1,64.0,77.2,2025-04-19T23:09:54.438Z,2025-04-20T00:13:08Z,"[{'id': 5665361031, 'qualifierId': 155}, {'id': 5665361039, 'qualifierId': 141, 'value': '66.9'}, {'id': 5665361037, 'qualifierId': 140, 'value': '65.1'}, {'id': 5665361041, 'qualifierId': 212, 'value': '7.1'}, {'id': 5665361043, 'qualifierId': 213, 'value': '4.88'}, {'id': 5665361035, 'qualifierId': 56, 'value': 'Center'}]",cbofbntctfuhr1vqpn7eywt05,F. Rauch,,,North Carolina Courage,Home
2803502221,6,1,1,0,12,b4fbmos00gxtk8qnaqsm392p5,1,61.2,62.6,2025-04-19T23:09:57.423Z,2025-04-19T23:10:01Z,"[{'id': 5665104439, 'qualifierId': 213, 'value': '2.96'}, {'id': 5665104435, 'qualifierId': 212, 'value': '20.9'}, {'id': 5665104429, 'qualifierId': 140, 'value': '41.6'}, {'id': 5665104423, 'qualifierId': 56, 'value': 'Back'}, {'id': 5665104431, 'qualifierId': 141, 'value': '68.1'}]",bxj6bpjfxkumj112yoco9wahg,R. Jackson,,,North Carolina Courage,Home
