id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier,playerId,playerName,assist,keyPass,Squad,Position
2805067255,1,34,16,0,0,446mp88j1vpk9iwui9fiifrp8,1,0.0,0.0,2025-04-23T01:55:10.322Z,2025-04-23T02:52:26Z,"[{'id': 5673692197, 'qualifierId': 130, 'value': '8'}, {'id': 5673692199, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5673692201, 'qualifierId': 194, 'value': 'cmolam8ri93kos2rasjhnuxyi'}, {'id': 5673692191, 'qualifierId': 30, 'value': '68a0jc6cin6hxx0bkdch9hc5x, a0kl9l751uxo86g2k2chqtw5w, 615vz7uoe3eiozddbe206io6h, cmolam8ri93kos2rasjhnuxyi, 8oj7cqgjacle67i49w4a3gx6, 8cjb3weg2uhmwh9l21gw0xqtw, 5b2dire687lp3dasdj2z3n0q2, ek8x7y3jt0xcebttt75qi5exh, et72990p9axru09oxv51hokwl, d0zsyv4xdt0hunaikjy3tde96, da2c3l9xeixo7o6byjutpgn4k, 1yva0f096q2oqk5gz59utr42y, 74uudh34v23m2z9gy5tdppxey, ap0166ueagw059fehsj6hh3h1, 7izc8t071mkrrgvptdjru467e, 1115fgmv9xa3nwx3bu19jr9pl, 7in4ykzbs8p44qy4jrb10p0wl, 2x310j2wycjsv4nzblfqd7sru, azcxror0t5ede7nqobmhx9u6s, 2btfn8hbssn0dnszgyll1gopg'}, {'id': 5673692193, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5673692203, 'qualifierId': 197, 'value': '24254'}, {'id': 5673692195, 'qualifierId': 59, 'value': '18, 29, 2, 17, 5, 24, 66, 21, 10, 26, 7, 1, 16, 34, 13, 77, 8, 15, 14, 19'}, {'id': 5673692205, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}]",,,,,Portland Thorns,Home
2805068843,1,34,16,0,0,bgkfdckqfqnfbmecbtz03n76d,1,0.0,0.0,2025-04-23T02:02:45.183Z,2025-04-23T02:52:51Z,"[{'id': 5673700965, 'qualifierId': 197, 'value': '28253'}, {'id': 5673700963, 'qualifierId': 194, 'value': 'aqihfnhadzdmi7i5bjfnphqms'}, {'id': 5673700967, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5673700959, 'qualifierId': 130, 'value': '7'}, {'id': 5673700955, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5673700953, 'qualifierId': 30, 'value': '6fi5hacjc8lj8zej0d2lfq66t, aqihfnhadzdmi7i5bjfnphqms, c6amo9ni4dou63jjan993dht6, e0gmts9bxn8goqm3bz4835016, 9ohn9m84cy89huz745lirkted, 3aj7p478dcuat6tz8096sq8dl, co49l4m0my5li8yvcxgrvq0yy, 3gxgrg34v8ffgde2g0nbm92c4, 13hy7ggmnhfalmdqlbp6lzv11, 1zjvb0kej2m1kp1sl0hw8tmuh, 7xktpagze0zc1ufeyultukk45, 9ifjrfggioh9cmphk85gykzx1, 9yoa6ehqan7po2q49famrk4d0, 47eshqoyaib3u78jfao4rmsr8, dtmvgia1wh01owv0splpjsftg, 56y5qt6c03t7f5t7eoebi0wyd, enc3v69b04w7jr0qkhiaq5a6t, 4e2l88qfahs0ey4urydb96e7e, 1d0w87gdvjcorim34wblp5hqs, dzhvgrdkl4nuj8z4fd9to0ag9'}, {'id': 5673700957, 'qualifierId': 59, 'value': '30, 14, 4, 8, 27, 6, 3, 11, 9, 7, 18, 33, 24, 34, 90, 23, 20, 13, 17, 10'}, {'id': 5673700961, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}]",,,,,Gotham FC,Away
2805076039,2,32,1,0,0,446mp88j1vpk9iwui9fiifrp8,1,0.0,0.0,2025-04-23T02:37:34.867Z,2025-04-23T02:37:37Z,"[{'id': 5673740633, 'qualifierId': 127, 'value': 'Left to Right'}]",,,,,Portland Thorns,Home
2805076037,2,32,1,0,0,bgkfdckqfqnfbmecbtz03n76d,1,0.0,0.0,2025-04-23T02:37:34.867Z,2025-04-23T02:37:47Z,"[{'id': 5673740619, 'qualifierId': 127, 'value': 'Right to Left'}]",,,,,Gotham FC,Away
2805076049,3,1,1,0,0,446mp88j1vpk9iwui9fiifrp8,1,50.0,50.0,2025-04-23T02:37:34.868Z,2025-04-23T02:46:48Z,"[{'id': 5673740701, 'qualifierId': 279, 'value': 'S'}, {'id': 5673740697, 'qualifierId': 212, 'value': '11.3'}, {'id': 5673740693, 'qualifierId': 140, 'value': '39.4'}, {'id': 5673740695, 'qualifierId': 141, 'value': '53.0'}, {'id': 5673740699, 'qualifierId': 213, 'value': '2.96'}, {'id': 5673740691, 'qualifierId': 56, 'value': 'Back'}]",cmolam8ri93kos2rasjhnuxyi,S. Coffey,,,Portland Thorns,Home
2805076051,4,1,1,0,5,446mp88j1vpk9iwui9fiifrp8,0,39.4,53.0,2025-04-23T02:37:40.007Z,2025-04-23T02:47:44Z,"[{'id': 5673740725, 'qualifierId': 1}, {'id': 5673740723, 'qualifierId': 213, 'value': '0.52'}, {'id': 5673740713, 'qualifierId': 155}, {'id': 5673740715, 'qualifierId': 56, 'value': 'Left'}, {'id': 5673740719, 'qualifierId': 141, 'value': '88.6'}, {'id': 5673740717, 'qualifierId': 140, 'value': '79.7'}, {'id': 5673740721, 'qualifierId': 212, 'value': '48.8'}]",ek8x7y3jt0xcebttt75qi5exh,J. Fleming,,,Portland Thorns,Home
2805077105,100,1,1,0,5,446mp88j1vpk9iwui9fiifrp8,1,64.7,96.3,2025-04-23T02:37:40.418Z,2025-04-23T02:49:56Z,"[{'id': 5673747633, 'qualifierId': 141, 'value': '88.7'}, {'id': 5673747635, 'qualifierId': 212, 'value': '8.7'}, {'id': 5673747629, 'qualifierId': 56, 'value': 'Left'}, {'id': 5673747637, 'qualifierId': 213, 'value': '5.65'}, {'id': 5673747631, 'qualifierId': 140, 'value': '71.4'}]",da2c3l9xeixo7o6byjutpgn4k,C. Hanks,,,Portland Thorns,Home
2805077107,101,1,1,0,6,446mp88j1vpk9iwui9fiifrp8,1,74.4,81.8,2025-04-23T02:37:41.609Z,2025-04-23T02:50:21Z,"[{'id': 5673747965, 'qualifierId': 140, 'value': '65.7'}, {'id': 5673747963, 'qualifierId': 56, 'value': 'Left'}, {'id': 5673747971, 'qualifierId': 213, 'value': '2.59'}, {'id': 5673747967, 'qualifierId': 141, 'value': '90.1'}, {'id': 5673747969, 'qualifierId': 212, 'value': '10.7'}]",d0zsyv4xdt0hunaikjy3tde96,M. Alidou,,,Portland Thorns,Home
2805077109,102,61,1,0,7,446mp88j1vpk9iwui9fiifrp8,1,68.2,87.3,2025-04-23T02:37:42.832Z,2025-04-23T02:50:36Z,"[{'id': 5673748021, 'qualifierId': 56, 'value': 'Left'}]",da2c3l9xeixo7o6byjutpgn4k,C. Hanks,,,Portland Thorns,Home
2805077111,103,1,1,0,10,446mp88j1vpk9iwui9fiifrp8,1,63.7,92.0,2025-04-23T02:37:45.040Z,2025-04-23T02:50:59Z,"[{'id': 5673748137, 'qualifierId': 140, 'value': '57.3'}, {'id': 5673748143, 'qualifierId': 213, 'value': '4.09'}, {'id': 5673748135, 'qualifierId': 56, 'value': 'Center'}, {'id': 5673748141, 'qualifierId': 212, 'value': '11.5'}, {'id': 5673748139, 'qualifierId': 141, 'value': '78.3'}]",615vz7uoe3eiozddbe206io6h,R. Reyes,,,Portland Thorns,Home
