id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier,playerId,playerName,keyPass,assist,Squad,Position
2809031927,1,34,16,0,0,c3v2ohfuzoqmc8ljm65hi80sj,1,0.0,0.0,2025-05-02T23:05:24.965Z,2025-05-03T02:04:03Z,"[{'id': 5695672491, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5695918889, 'qualifierId': 197, 'value': '24270'}, {'id': 5695672485, 'qualifierId': 130, 'value': '13'}, {'id': 5695672479, 'qualifierId': 30, 'value': '53uflfknc5uus7iqw3obp5fx1, 61ucpn8qxos0kwaw0gdpqubys, 270qzf9ig52z04iu3ujnmstg4, 8ruvr2jnsfdub02rdh8q88s89, 6zm75ruas324c7yrt18ttei8l, n4egj8ymfled94mco0lwa95, 1c2boqmoi50esuelgdd96o06h, 2sc4jlfmioa61d1vgpcz0pht6, 191uogxjdg4uo178qv1544jys, 22rwy15pz3noi4av4wb3i0wh6, 1xgse8t4dm0decmpzebsphvfu, 8co65x7tuvynuqvket8okb7xl, bdsv3kql5t6sw5ed2gsxmz2eh, bj3unxp9xho1kr7sztpweagyy, 95tl8tonvm6czhwzd6i5ep756, 97ia01cyibu1l7qs8qexd2n3e, cgfk0e62cesbgieslfge2p61h, 6089nfwh31ha73pl7vlla75cl, edwr7f7jwnxm1plk91fx8hfro, 706rwdwv4re27svfmlo7na3th'}, {'id': 5695672481, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5695672489, 'qualifierId': 194, 'value': '53uflfknc5uus7iqw3obp5fx1'}, {'id': 5695672487, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5695672483, 'qualifierId': 59, 'value': '1, 15, 21, 14, 25, 20, 24, 8, 6, 23, 11, 4, 7, 9, 10, 12, 13, 17, 22, 35'}]",,,,,Houston Dash,Home
2809032253,1,34,16,0,0,dtucewmt49th1p4selfutmnmc,1,0.0,0.0,2025-05-02T23:08:25.458Z,2025-05-03T01:59:30Z,"[{'id': 5695674625, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5695918135, 'qualifierId': 197, 'value': '24303'}, {'id': 5695674619, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5695674617, 'qualifierId': 30, 'value': '24lhpn1z5ikitapll48t1z7kk, 7hrw0exutge376ai2uf6frw4q, 2x4vbu3htfozzwd8g7bdxeacp, 5ni7a4s85lp22rysy5inywf3e, 2mlyh9k0yhv8862rj6hu26j8p, cieyupgmnxecb4emqljudrw89, br17lkx91icsoqiibmufa23v8, 8q0rkr3gz7hz1ssdx3fkro0a2, brs2knmydegipvthtwu6xwqac, asfd5wkedz1u29xt37r6or4rt, 9e65qlc7dfjkajyhzhak8sc7p, 2mawkst2xlxrp2zbvgk6rundh, 5056k6uw0ib8nyrq5y2s4outw, aackuqvi6nlca566oisw0wc9g, 347h4639fjw27rx29j0we0q5m, 1mym43khm3hlhzbj42tbnjlec, 26d7uj41yx6no1oc3izr0rys5, aoa88ulpguvr42b0a1jn8dfys, de9skbu4z39jm4o4j0mriw00k, aznxzkfi06uv9j5vmr28ray38'}, {'id': 5695674623, 'qualifierId': 130, 'value': '8'}, {'id': 5695674629, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5695674627, 'qualifierId': 194, 'value': 'cieyupgmnxecb4emqljudrw89'}, {'id': 5695674621, 'qualifierId': 59, 'value': '24, 2, 11, 14, 5, 3, 13, 26, 9, 7, 16, 4, 12, 6, 19, 20, 29, 42, 15, 71'}]",,,,,Racing Louisville,Away
2809076167,2,32,1,0,0,dtucewmt49th1p4selfutmnmc,1,0.0,0.0,2025-05-03T01:59:35.775Z,2025-05-03T01:59:37Z,"[{'id': 5695918331, 'qualifierId': 127, 'value': 'Left to Right'}]",,,,,Racing Louisville,Away
2809076165,3,32,1,0,0,c3v2ohfuzoqmc8ljm65hi80sj,1,0.0,0.0,2025-05-03T01:59:35.775Z,2025-05-03T01:59:35Z,"[{'id': 5695918317, 'qualifierId': 127, 'value': 'Right to Left'}]",,,,,Houston Dash,Home
2809076183,4,1,1,0,0,c3v2ohfuzoqmc8ljm65hi80sj,1,50.0,50.0,2025-05-03T01:59:35.776Z,2025-05-03T01:59:39Z,"[{'id': 5695918413, 'qualifierId': 140, 'value': '29.2'}, {'id': 5695918411, 'qualifierId': 56, 'value': 'Back'}, {'id': 5695918419, 'qualifierId': 213, 'value': '3.58'}, {'id': 5695918417, 'qualifierId': 212, 'value': '24.2'}, {'id': 5695918415, 'qualifierId': 141, 'value': '34.8'}, {'id': 5695918421, 'qualifierId': 279, 'value': 'S'}]",191uogxjdg4uo178qv1544jys,M. Bright,,,Houston Dash,Home
2809076225,5,1,1,0,3,c3v2ohfuzoqmc8ljm65hi80sj,1,29.9,34.8,2025-05-03T01:59:39.652Z,2025-05-03T01:59:45Z,"[{'id': 5695918583, 'qualifierId': 56, 'value': 'Right'}, {'id': 5695918581, 'qualifierId': 157}, {'id': 5695918587, 'qualifierId': 141, 'value': '1.6'}, {'id': 5695918589, 'qualifierId': 212, 'value': '37.1'}, {'id': 5695918593, 'qualifierId': 1}, {'id': 5695918585, 'qualifierId': 140, 'value': '57.9'}, {'id': 5695918591, 'qualifierId': 213, 'value': '5.63'}]",53uflfknc5uus7iqw3obp5fx1,J. Campbell,,,Houston Dash,Home
2809076229,6,61,1,0,5,c3v2ohfuzoqmc8ljm65hi80sj,0,57.9,1.6,2025-05-03T01:59:41.460Z,2025-05-03T03:36:10Z,"[{'id': 5695918605, 'qualifierId': 56, 'value': 'Right'}]",22rwy15pz3noi4av4wb3i0wh6,M. Graham,,,Houston Dash,Home
2809076287,3,5,1,0,6,dtucewmt49th1p4selfutmnmc,1,40.8,101.6,2025-05-03T01:59:42.758Z,2025-05-03T03:04:41Z,"[{'id': 5695918877, 'qualifierId': 347}, {'id': 5695918897, 'qualifierId': 233, 'value': '7'}, {'id': 5695918875, 'qualifierId': 56, 'value': 'Back'}]",brs2knmydegipvthtwu6xwqac,K. Fischer,,,Racing Louisville,Away
2809076237,7,5,1,0,6,c3v2ohfuzoqmc8ljm65hi80sj,0,59.2,-1.6,2025-05-03T01:59:42.758Z,2025-05-03T03:04:41Z,"[{'id': 5695918909, 'qualifierId': 233, 'value': '3'}, {'id': 5695918615, 'qualifierId': 56, 'value': 'Right'}, {'id': 5695918617, 'qualifierId': 347}]",22rwy15pz3noi4av4wb3i0wh6,M. Graham,,,Houston Dash,Home
2809076293,4,1,1,0,17,dtucewmt49th1p4selfutmnmc,1,41.1,100.0,2025-05-03T01:59:53.008Z,2025-05-03T01:59:55Z,"[{'id': 5695918929, 'qualifierId': 213, 'value': '5.87'}, {'id': 5695918927, 'qualifierId': 212, 'value': '6.8'}, {'id': 5695918921, 'qualifierId': 56, 'value': 'Back'}, {'id': 5695918923, 'qualifierId': 140, 'value': '47.0'}, {'id': 5695918919, 'qualifierId': 107}, {'id': 5695918925, 'qualifierId': 141, 'value': '97.4'}]",2x4vbu3htfozzwd8g7bdxeacp,C. Petersen,,,Racing Louisville,Away
2809076295,5,1,1,0,19,dtucewmt49th1p4selfutmnmc,1,47.0,97.4,2025-05-03T01:59:55.088Z,2025-05-03T01:59:56Z,"[{'id': 5695918947, 'qualifierId': 156}, {'id': 5695918939, 'qualifierId': 212, 'value': '4.6'}, {'id': 5695918941, 'qualifierId': 213, 'value': '3.04'}, {'id': 5695918937, 'qualifierId': 141, 'value': '98.1'}, {'id': 5695918933, 'qualifierId': 56, 'value': 'Back'}, {'id': 5695918935, 'qualifierId': 140, 'value': '42.6'}]",9e65qlc7dfjkajyhzhak8sc7p,J. Sonis,,,Racing Louisville,Away
2809076323,6,1,1,0,21,dtucewmt49th1p4selfutmnmc,1,42.5,98.1,2025-05-03T01:59:56.929Z,2025-05-03T02:00:00Z,"[{'id': 5695919155, 'qualifierId': 212, 'value': '15.5'}, {'id': 5695919149, 'qualifierId': 56, 'value': 'Left'}, {'id': 5695919153, 'qualifierId': 141, 'value': '93.9'}, {'id': 5695919151, 'qualifierId': 140, 'value': '57.0'}, {'id': 5695919157, 'qualifierId': 213, 'value': '6.10'}]",2x4vbu3htfozzwd8g7bdxeacp,C. Petersen,,,Racing Louisville,Away
2809076325,7,61,1,0,23,dtucewmt49th1p4selfutmnmc,0,57.0,93.9,2025-05-03T01:59:59.001Z,2025-05-03T03:36:18Z,"[{'id': 5695919161, 'qualifierId': 56, 'value': 'Left'}]",asfd5wkedz1u29xt37r6or4rt,S. DeMelo,,,Racing Louisville,Away
2809076321,8,61,1,0,24,c3v2ohfuzoqmc8ljm65hi80sj,1,38.0,22.3,2025-05-03T01:59:59.933Z,2025-05-03T02:00:00Z,"[{'id': 5695919143, 'qualifierId': 56, 'value': 'Back'}]",2sc4jlfmioa61d1vgpcz0pht6,D. Sheehan,,,Houston Dash,Home
