id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier,playerId,playerName,keyPass,assist,Squad,Position
2809072401,1,34,16,0,0,agxipc0vk4rtg09amjxv10nx0,1,0.0,0.0,2025-05-03T01:47:23.231Z,2025-05-03T02:39:08Z,"[{'id': 5695897225, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5695897231, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5695897227, 'qualifierId': 59, 'value': '23, 4, 30, 16, 15, 27, 14, 10, 9, 13, 99, 5, 6, 7, 11, 18, 19, 22, 31, 81'}, {'id': 5695897233, 'qualifierId': 194, 'value': '4c6z6g6q7jq62bznylu0kjnc9'}, {'id': 5695897235, 'qualifierId': 197, 'value': '28319'}, {'id': 5695897223, 'qualifierId': 30, 'value': 'das6ydxiwz8trtyp98ss5i295, 9wvoeo39cgbelv8ddqin3aaga, ambkmqohpux5r4cvtszfpeej8, dv8265k3za578hkzxxuttqmdx, 5kx524x345idecr205u9oopd6, cl1av4qyzjkq03akjof6tdf1m, 6hyf258ii56nw917w0b4ekob8, 4c6z6g6q7jq62bznylu0kjnc9, 47iatvbptp6438v5qo359yw9h, 3qk8owv039ppiiev6skkkb52i, 5ekbwy8vf1l1jzj6txawrg7h1, 68sz2cp2lpnb8k36jkhr3wrje, ccw8gtkcahxf21rutqldjvkve, 48l2ildbeme2l336nor2hw6lm, 6k82rq8synvac950ext5t0jpx, 736jvvtkgwc3g1vooviaod33d, cmivpbf5hzq5j8feacgla5nv8, errir6ade8y91vp5z7v8gkn6y, 1mjt2c75soe0pbgry40mfmtjo, 46r9yf1huh29ri0sbx0yum6ll'}, {'id': 5695897229, 'qualifierId': 130, 'value': '4'}, {'id': 5695897237, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}]",,,,,Kansas City Current,Away
2809073753,1,34,16,0,0,bl53jk6zlfe5f583pil7xzwi5,1,0.0,0.0,2025-05-03T01:51:27.837Z,2025-05-03T02:55:45Z,"[{'id': 5695904589, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5695904597, 'qualifierId': 194, 'value': '7lt9nze7e2mk2hlp9dkvabkyd'}, {'id': 5695904591, 'qualifierId': 59, 'value': '1, 7, 5, 3, 21, 23, 6, 8, 91, 9, 20, 38, 25, 31, 16, 33, 2, 14, 24, 47'}, {'id': 5695904595, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5695929647, 'qualifierId': 197, 'value': '24258'}, {'id': 5695904587, 'qualifierId': 30, 'value': '2bb2dbogerxxvircnah8gw222, 9gdocwx006j6wyz4mnhzgzydx, anwmefu9etrn8i0r74r1jg9g, 7lt9nze7e2mk2hlp9dkvabkyd, apl8fpqij3o30f21vh2tthe22, 78r84jt04ixcanyq0d0x7jmz8, cm6fzm8v38ti0aubu0q4v717t, z8vdz64bgqus4c85451nsrf9, 7im1atd7ziav111a9o6mh9gid, 78i4mxu4hxwp995udteweftgp, 3jl8cvp50cy5o4pt1u8h4a2cq, 57nmefeij6bg2ltvoqmqb7nbp, 7v6cr5ohzfbu6gf0dvw05q8h6, e6lfu5kktkjhzou72epnwl13p, 3izdhhnuuxiomh66g4g0d0yc, 8rum6xdhsh8kjz3r3x39qtt04, dlm4h2alfw0llbz4mkdq7hu96, 1msrx80nnfp04v03t5jkoo76y, a3iv6ws325cyd1vmrowwx6ck4, e2q91279c3j489oaaqgb6iwb8'}, {'id': 5695904593, 'qualifierId': 130, 'value': '12'}, {'id': 5695904599, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}]",,,,,Seattle Reign,Home
2809083743,2,32,1,0,0,agxipc0vk4rtg09amjxv10nx0,1,0.0,0.0,2025-05-03T02:39:18.446Z,2025-05-03T02:39:18Z,"[{'id': 5695962427, 'qualifierId': 127, 'value': 'Right to Left'}]",,,,,Kansas City Current,Away
2809083745,2,32,1,0,0,bl53jk6zlfe5f583pil7xzwi5,1,0.0,0.0,2025-05-03T02:39:18.446Z,2025-05-03T02:39:21Z,"[{'id': 5695962429, 'qualifierId': 127, 'value': 'Left to Right'}]",,,,,Seattle Reign,Home
2809083747,3,1,1,0,0,bl53jk6zlfe5f583pil7xzwi5,1,50.9,50.9,2025-05-03T02:39:18.472Z,2025-05-03T02:39:21Z,"[{'id': 5695962437, 'qualifierId': 141, 'value': '51.6'}, {'id': 5695962443, 'qualifierId': 279, 'value': 'S'}, {'id': 5695962435, 'qualifierId': 140, 'value': '23.9'}, {'id': 5695962441, 'qualifierId': 213, 'value': '3.12'}, {'id': 5695962433, 'qualifierId': 56, 'value': 'Back'}, {'id': 5695962439, 'qualifierId': 212, 'value': '28.4'}]",78i4mxu4hxwp995udteweftgp,J. Huitema,,,Seattle Reign,Home
2809083753,4,1,1,0,3,bl53jk6zlfe5f583pil7xzwi5,0,23.9,51.6,2025-05-03T02:39:21.834Z,2025-05-03T02:39:24Z,"[{'id': 5695962495, 'qualifierId': 212, 'value': '55.8'}, {'id': 5695962499, 'qualifierId': 1}, {'id': 5695962493, 'qualifierId': 141, 'value': '90.3'}, {'id': 5695962487, 'qualifierId': 157}, {'id': 5695962497, 'qualifierId': 213, 'value': '0.49'}, {'id': 5695962489, 'qualifierId': 56, 'value': 'Left'}, {'id': 5695962491, 'qualifierId': 140, 'value': '70.8'}]",2bb2dbogerxxvircnah8gw222,C. Dickey,,,Seattle Reign,Home
2809083759,3,1,1,0,7,agxipc0vk4rtg09amjxv10nx0,0,54.7,24.6,2025-05-03T02:39:26.001Z,2025-05-03T02:39:34Z,"[{'id': 5695962529, 'qualifierId': 141, 'value': '26.5'}, {'id': 5695962523, 'qualifierId': 3}, {'id': 5695962531, 'qualifierId': 212, 'value': '13.4'}, {'id': 5695962525, 'qualifierId': 56, 'value': 'Center'}, {'id': 5695962527, 'qualifierId': 140, 'value': '67.4'}, {'id': 5695962533, 'qualifierId': 213, 'value': '0.10'}]",3qk8owv039ppiiev6skkkb52i,H. Hopkins,,,Kansas City Current,Away
2809083769,5,1,1,0,10,bl53jk6zlfe5f583pil7xzwi5,1,43.6,84.4,2025-05-03T02:39:29.288Z,2025-05-03T02:39:32Z,"[{'id': 5695962587, 'qualifierId': 141, 'value': '95.3'}, {'id': 5695962591, 'qualifierId': 213, 'value': '0.40'}, {'id': 5695962585, 'qualifierId': 140, 'value': '60.1'}, {'id': 5695962583, 'qualifierId': 56, 'value': 'Left'}, {'id': 5695962589, 'qualifierId': 212, 'value': '18.8'}]",anwmefu9etrn8i0r74r1jg9g,M. Dahlien,,,Seattle Reign,Home
2809083771,6,1,1,0,14,bl53jk6zlfe5f583pil7xzwi5,1,60.1,95.3,2025-05-03T02:39:32.713Z,2025-05-03T02:39:35Z,"[{'id': 5695962599, 'qualifierId': 141, 'value': '83.6'}, {'id': 5695962603, 'qualifierId': 213, 'value': '3.46'}, {'id': 5695962601, 'qualifierId': 212, 'value': '25.5'}, {'id': 5695962597, 'qualifierId': 140, 'value': '37.0'}, {'id': 5695962595, 'qualifierId': 56, 'value': 'Back'}]",7im1atd7ziav111a9o6mh9gid,Ji So-Yun,,,Seattle Reign,Home
2809083775,7,1,1,0,16,bl53jk6zlfe5f583pil7xzwi5,1,36.1,84.1,2025-05-03T02:39:34.921Z,2025-05-03T02:39:38Z,"[{'id': 5695962645, 'qualifierId': 140, 'value': '32.0'}, {'id': 5695962647, 'qualifierId': 141, 'value': '54.2'}, {'id': 5695962649, 'qualifierId': 212, 'value': '20.8'}, {'id': 5695962651, 'qualifierId': 213, 'value': '4.50'}, {'id': 5695962643, 'qualifierId': 56, 'value': 'Back'}]",7lt9nze7e2mk2hlp9dkvabkyd,L. Barnes,,,Seattle Reign,Home
