id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier,playerId,playerName,keyPass,assist,Squad,Position
2809876051,1,34,16,0,0,446mp88j1vpk9iwui9fiifrp8,1,0.0,0.0,2025-05-03T22:52:00.888Z,2025-05-03T23:32:52Z,"[{'id': 5700239431, 'qualifierId': 194, 'value': 'cmolam8ri93kos2rasjhnuxyi'}, {'id': 5700239421, 'qualifierId': 30, 'value': '68a0jc6cin6hxx0bkdch9hc5x, 8oj7cqgjacle67i49w4a3gx6, 615vz7uoe3eiozddbe206io6h, cmolam8ri93kos2rasjhnuxyi, 74uudh34v23m2z9gy5tdppxey, 8cjb3weg2uhmwh9l21gw0xqtw, 7izc8t071mkrrgvptdjru467e, 7in4ykzbs8p44qy4jrb10p0wl, 5b2dire687lp3dasdj2z3n0q2, d0zsyv4xdt0hunaikjy3tde96, et72990p9axru09oxv51hokwl, 1yva0f096q2oqk5gz59utr42y, 7whcppsae8rxxj20zaxpx1wq1, ahy8395hph7zxwvxx862qkus, a0kl9l751uxo86g2k2chqtw5w, ek8x7y3jt0xcebttt75qi5exh, 2x310j2wycjsv4nzblfqd7sru, 1115fgmv9xa3nwx3bu19jr9pl, azcxror0t5ede7nqobmhx9u6s, 2btfn8hbssn0dnszgyll1gopg'}, {'id': 5700239429, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5700239433, 'qualifierId': 197, 'value': '24256'}, {'id': 5700239425, 'qualifierId': 59, 'value': '18, 5, 2, 17, 16, 24, 13, 8, 66, 26, 10, 1, 20, 28, 29, 21, 15, 77, 14, 19'}, {'id': 5700239427, 'qualifierId': 130, 'value': '4'}, {'id': 5700239423, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5700239435, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}]",,,,,Portland Thorns,Home
2809876573,1,34,16,0,0,966pdxhsoxaib9qt5083h8uus,1,0.0,0.0,2025-05-03T22:53:17.900Z,2025-05-03T23:32:43Z,"[{'id': 5700242457, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5700242455, 'qualifierId': 130, 'value': '6'}, {'id': 5700242459, 'qualifierId': 194, 'value': 'c811si1xw5he6ih0o1mj94tsl'}, {'id': 5700242449, 'qualifierId': 30, 'value': '7e8f4kfwcucaj4239xz0rai1h, 2lh6bupkrijpm9n916446nbop, 6zvfcc67po0ofvl1twrv13tg5, 6uui5rxnfn6y5rkcsbuloiui, 9yvkpwm78jaqr321imfc3rrbo, 642fsrjj1seobmhxeefruv578, eigt6t2rj0k98zt1isqrvtvqh, 3cyj9a2fjtx4xd0bqdh6g3azu, e2obgph6szyo04em3qr94g1qt, c811si1xw5he6ih0o1mj94tsl, dyfsbff9jueyw5jhjou424bo4, 93mr62mbyeymgcad2qhpvt2qc, dy302yj9tjby62ur1u8ab8rxm, bp34vn963cxgnx6b7q7sig9hw, 6x5f13ghtvbdhcf7f9sct54dm, 1uf4321zvio3hrwfu4z4jxp7t, 6fhiz0epsutfcs1xqfhcuomad, 77agy8f4m7ybib2cssdfsltuy, e4glbrjataxggtxf953n1jsnp, 23nuijdnnuiwzkd5cf7jbyajt'}, {'id': 5700242461, 'qualifierId': 197, 'value': '24420'}, {'id': 5700242453, 'qualifierId': 59, 'value': '1, 21, 19, 30, 6, 34, 11, 2, 22, 10, 25, 40, 12, 9, 32, 3, 16, 14, 23, 15'}, {'id': 5700242463, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5700242451, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}]",,,,,Orlando Pride,Away
2809893119,2,32,1,0,0,446mp88j1vpk9iwui9fiifrp8,1,0.0,0.0,2025-05-03T23:30:33.119Z,2025-05-03T23:30:35Z,"[{'id': 5700334095, 'qualifierId': 127, 'value': 'Left to Right'}]",,,,,Portland Thorns,Home
2809893111,2,32,1,0,0,966pdxhsoxaib9qt5083h8uus,1,0.0,0.0,2025-05-03T23:30:33.119Z,2025-05-03T23:30:33Z,"[{'id': 5700334073, 'qualifierId': 127, 'value': 'Right to Left'}]",,,,,Orlando Pride,Away
2809893127,3,1,1,0,0,446mp88j1vpk9iwui9fiifrp8,1,49.2,49.4,2025-05-03T23:30:33.120Z,2025-05-03T23:30:36Z,"[{'id': 5700334145, 'qualifierId': 279, 'value': 'S'}, {'id': 5700334135, 'qualifierId': 56, 'value': 'Center'}, {'id': 5700334137, 'qualifierId': 140, 'value': '56.7'}, {'id': 5700334139, 'qualifierId': 141, 'value': '52.8'}, {'id': 5700334211, 'qualifierId': 278}, {'id': 5700334143, 'qualifierId': 213, 'value': '0.29'}, {'id': 5700334141, 'qualifierId': 212, 'value': '8.2'}]",cmolam8ri93kos2rasjhnuxyi,S. Coffey,,,Portland Thorns,Home
2809893165,4,1,1,0,2,446mp88j1vpk9iwui9fiifrp8,1,60.2,48.5,2025-05-03T23:30:35.901Z,2025-05-04T00:16:59Z,"[{'id': 5700334341, 'qualifierId': 56, 'value': 'Back'}, {'id': 5700334343, 'qualifierId': 140, 'value': '45.9'}, {'id': 5700334349, 'qualifierId': 213, 'value': '4.09'}, {'id': 5700334345, 'qualifierId': 141, 'value': '17.9'}, {'id': 5700334347, 'qualifierId': 212, 'value': '25.7'}]",7izc8t071mkrrgvptdjru467e,O. Moultrie,,,Portland Thorns,Home
2809893205,5,1,1,0,6,446mp88j1vpk9iwui9fiifrp8,1,46.0,13.5,2025-05-03T23:30:39.309Z,2025-05-03T23:30:42Z,"[{'id': 5700334535, 'qualifierId': 212, 'value': '19.0'}, {'id': 5700334537, 'qualifierId': 213, 'value': '2.44'}, {'id': 5700334533, 'qualifierId': 141, 'value': '31.5'}, {'id': 5700334529, 'qualifierId': 56, 'value': 'Back'}, {'id': 5700334531, 'qualifierId': 140, 'value': '32.2'}]",8oj7cqgjacle67i49w4a3gx6,I. Obaze,,,Portland Thorns,Home
2809893223,6,1,1,0,9,446mp88j1vpk9iwui9fiifrp8,1,27.6,38.5,2025-05-03T23:30:42.397Z,2025-05-03T23:30:45Z,"[{'id': 5700334607, 'qualifierId': 213, 'value': '1.27'}, {'id': 5700334605, 'qualifierId': 212, 'value': '18.6'}, {'id': 5700334601, 'qualifierId': 140, 'value': '32.8'}, {'id': 5700334603, 'qualifierId': 141, 'value': '64.6'}, {'id': 5700334599, 'qualifierId': 56, 'value': 'Back'}]",74uudh34v23m2z9gy5tdppxey,S. Hiatt,,,Portland Thorns,Home
2809893281,7,1,1,0,12,446mp88j1vpk9iwui9fiifrp8,1,39.1,70.5,2025-05-03T23:30:45.277Z,2025-05-03T23:30:52Z,"[{'id': 5700334911, 'qualifierId': 155}, {'id': 5700334923, 'qualifierId': 1}, {'id': 5700334913, 'qualifierId': 56, 'value': 'Left'}, {'id': 5700334919, 'qualifierId': 212, 'value': '52.8'}, {'id': 5700334921, 'qualifierId': 213, 'value': '0.32'}, {'id': 5700334917, 'qualifierId': 141, 'value': '94.7'}, {'id': 5700334915, 'qualifierId': 140, 'value': '86.9'}]",8cjb3weg2uhmwh9l21gw0xqtw,J. Perry,,,Portland Thorns,Home
2809893321,8,1,1,0,19,446mp88j1vpk9iwui9fiifrp8,1,88.4,95.4,2025-05-03T23:30:52.845Z,2025-05-03T23:30:57Z,"[{'id': 5700335109, 'qualifierId': 141, 'value': '92.7'}, {'id': 5700335111, 'qualifierId': 212, 'value': '10.7'}, {'id': 5700335105, 'qualifierId': 56, 'value': 'Left'}, {'id': 5700335107, 'qualifierId': 140, 'value': '78.4'}, {'id': 5700335113, 'qualifierId': 213, 'value': '3.31'}]",615vz7uoe3eiozddbe206io6h,R. Reyes,,,Portland Thorns,Home
