id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier,playerId,playerName,keyPass,assist,Squad,Position
2812330723,1,34,16,0,0,bn7w86uw8j61dga3xr5s0yiju,1,0.0,0.0,2025-05-10T01:51:35.296Z,2025-05-10T01:56:21Z,"[{'id': 5713894579, 'qualifierId': 194, 'value': '15u9zrm4e4gosthf1vmkp5ht6'}, {'id': 5713894569, 'qualifierId': 30, 'value': 'vaw0swh9q18mglmk683bauzu, 5xeqrq3iczzork08c28rmx3ah, emihtyw994ca7bwm3y8ou4odm, 46a8lc1hgykm6kdhuadiwjk5x, 15u9zrm4e4gosthf1vmkp5ht6, d4fcm5jgtri2hgu7znf87n9ck, 1mmkb0klnov3y412lmr5qktwq, bwjqs0orziydksase1flhedt6, 8gqtwfvc0ehmlvnaw2qb112zu, 9igg9mubjgnwpqxx8ywhzzmz8, 94j0ci5rtwvr8nlrr32cfg9d6, 4n8mpw9mylh30sjhy441cbpjo, f0cwpq45aa7b5de10j9skw44p, 4i3r3hhzqxpbzc1fwf72hj4es, 6bk246gzwg1c5cng1qy1a4is4, 836jz6qayhrahzyxdyesvrsa, 5psdd5ol4kv5mx9wk0re3d4ut, 13yn3loglb28io3yyj9kg3ms4'}, {'id': 5713894583, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5713894577, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5713894573, 'qualifierId': 59, 'value': '1, 7, 16, 11, 8, 5, 22, 17, 9, 13, 25, 12, 14, 15, 19, 23, 30, 33'}, {'id': 5713894571, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5713894581, 'qualifierId': 197, 'value': '24262'}, {'id': 5713894575, 'qualifierId': 130, 'value': '4'}]",,,,,Utah Royals,Away
2812331173,1,34,16,0,0,6hbfgdczbi3yg4sdpqgtu6s,1,0.0,0.0,2025-05-10T01:53:23.968Z,2025-05-10T01:53:24Z,"[{'id': 5713896675, 'qualifierId': 130, 'value': '8'}, {'id': 5713896673, 'qualifierId': 59, 'value': '19, 20, 16, 4, 11, 3, 10, 14, 33, 17, 21, 1, 6, 7, 8, 9, 12, 23, 29, 99'}, {'id': 5713896677, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5713896683, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5713896681, 'qualifierId': 197, 'value': '28248'}, {'id': 5713896671, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5713896669, 'qualifierId': 30, 'value': 'lg9muzm3sbiijicsik53m3je, 89fa211ocgno2q0to22emh20a, 1enu619pvakj78wtsfuilbj3e, 9ijnmgmapjcnctich86692tw5, etdam0sfwiphiwykieovlsyy1, id7fmb2fws190qkc6bfzdzx0, 18kiz7s5jlyotkb4p0sbbxyol, 6bcvcloym3tzxss5hgsw4h1at, bngif4yqa0asu77nptsb06n10, as9gd28disfeeiiqxn7gjvg2c, dfeohozpw604y5jbu01u1dkkq, e2cviaurp66ntp52needonka2, 6opd7nuh51c7p6pn6w04yuntg, 9mo419gtk6dy5lhcvatcllkyy, 8f2og4ng2s6f8qeikft26h2qc, cenm8mly98mwv2630hcke4fmc, 432x2c6elrhcaufoge75cbcwk, bnxnrws4yintb6s76erzl9xw5, 9b94qn8vkpl0e7ujskes2m7d, 3bx0w0ftkij1lqrt727gjd94a'}, {'id': 5713896679, 'qualifierId': 194, 'value': 'etdam0sfwiphiwykieovlsyy1'}]",,,,,Angel City,Home
2812335307,2,32,1,0,0,bn7w86uw8j61dga3xr5s0yiju,1,0.0,0.0,2025-05-10T02:39:14.435Z,2025-05-10T02:39:14Z,"[{'id': 5713916361, 'qualifierId': 127, 'value': 'Left to Right'}]",,,,,Utah Royals,Away
2812335309,2,32,1,0,0,6hbfgdczbi3yg4sdpqgtu6s,1,0.0,0.0,2025-05-10T02:39:14.435Z,2025-05-10T02:39:16Z,"[{'id': 5713916363, 'qualifierId': 127, 'value': 'Right to Left'}]",,,,,Angel City,Home
2812335311,3,1,1,0,0,6hbfgdczbi3yg4sdpqgtu6s,1,49.9,50.0,2025-05-10T02:39:14.436Z,2025-05-10T02:47:07Z,"[{'id': 5713916369, 'qualifierId': 141, 'value': '44.0'}, {'id': 5713916373, 'qualifierId': 213, 'value': '3.37'}, {'id': 5713916365, 'qualifierId': 56, 'value': 'Back'}, {'id': 5713916371, 'qualifierId': 212, 'value': '17.7'}, {'id': 5713916367, 'qualifierId': 140, 'value': '33.5'}, {'id': 5713916375, 'qualifierId': 279, 'value': 'S'}]",9ijnmgmapjcnctich86692tw5,K. Zelem,,,Angel City,Home
2812335317,4,1,1,0,3,6hbfgdczbi3yg4sdpqgtu6s,0,34.2,43.6,2025-05-10T02:39:17.664Z,2025-05-10T02:47:26Z,"[{'id': 5713916405, 'qualifierId': 1}, {'id': 5713916395, 'qualifierId': 56, 'value': 'Left'}, {'id': 5713916401, 'qualifierId': 212, 'value': '65.0'}, {'id': 5713916399, 'qualifierId': 141, 'value': '100.0'}, {'id': 5713916393, 'qualifierId': 157}, {'id': 5713916397, 'qualifierId': 140, 'value': '83.2'}, {'id': 5713916403, 'qualifierId': 213, 'value': '0.66'}]",6bcvcloym3tzxss5hgsw4h1at,A. Kennedy,,,Angel City,Home
2812335321,3,5,1,0,4,bn7w86uw8j61dga3xr5s0yiju,1,15.6,-2.0,2025-05-10T02:39:19.363Z,2025-05-10T03:31:28Z,"[{'id': 5713916415, 'qualifierId': 233, 'value': '5'}, {'id': 5713916411, 'qualifierId': 56, 'value': 'Back'}, {'id': 5713916413, 'qualifierId': 347}]",vaw0swh9q18mglmk683bauzu,M. McGlynn,,,Utah Royals,Away
2812335319,5,5,1,0,4,6hbfgdczbi3yg4sdpqgtu6s,0,84.4,102.0,2025-05-10T02:39:19.363Z,2025-05-10T02:39:23Z,"[{'id': 5713916407, 'qualifierId': 56, 'value': 'Left'}, {'id': 5713916409, 'qualifierId': 347}, {'id': 5713916421, 'qualifierId': 233, 'value': '3'}]",9ijnmgmapjcnctich86692tw5,K. Zelem,,,Angel City,Home
2812335333,4,1,1,0,19,bn7w86uw8j61dga3xr5s0yiju,1,14.1,0.0,2025-05-10T02:39:34.268Z,2025-05-10T02:39:37Z,"[{'id': 5713916501, 'qualifierId': 1}, {'id': 5713916499, 'qualifierId': 213, 'value': '0.36'}, {'id': 5713916495, 'qualifierId': 141, 'value': '9.8'}, {'id': 5713916489, 'qualifierId': 107}, {'id': 5713916493, 'qualifierId': 140, 'value': '34.7'}, {'id': 5713916497, 'qualifierId': 212, 'value': '23.1'}, {'id': 5713916491, 'qualifierId': 56, 'value': 'Back'}]",5xeqrq3iczzork08c28rmx3ah,J. Thomsen,,,Utah Royals,Away
2812335337,5,44,1,0,22,bn7w86uw8j61dga3xr5s0yiju,1,35.8,10.0,2025-05-10T02:39:36.735Z,2025-05-10T02:39:40Z,"[{'id': 5713916509, 'qualifierId': 56, 'value': 'Back'}, {'id': 5713916511, 'qualifierId': 285}, {'id': 5713916513, 'qualifierId': 233, 'value': '6'}]",46a8lc1hgykm6kdhuadiwjk5x,M. Tanaka,,,Utah Royals,Away
