id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier,playerId,playerName,keyPass,assist,Squad,Position
2812288495,1,34,16,0,0,dtucewmt49th1p4selfutmnmc,1,0.0,0.0,2025-05-09T23:18:55.119Z,2025-05-09T23:48:15Z,"[{'id': 5713661863, 'qualifierId': 130, 'value': '8'}, {'id': 5713661865, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5713661871, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5713661861, 'qualifierId': 59, 'value': '24, 2, 11, 20, 5, 3, 13, 26, 9, 7, 16, 4, 12, 14, 15, 29, 42, 71, 32, 6'}, {'id': 5713661859, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5713661857, 'qualifierId': 30, 'value': '24lhpn1z5ikitapll48t1z7kk, 7hrw0exutge376ai2uf6frw4q, 2x4vbu3htfozzwd8g7bdxeacp, 1mym43khm3hlhzbj42tbnjlec, 2mlyh9k0yhv8862rj6hu26j8p, cieyupgmnxecb4emqljudrw89, br17lkx91icsoqiibmufa23v8, 8q0rkr3gz7hz1ssdx3fkro0a2, brs2knmydegipvthtwu6xwqac, asfd5wkedz1u29xt37r6or4rt, 9e65qlc7dfjkajyhzhak8sc7p, 2mawkst2xlxrp2zbvgk6rundh, 5056k6uw0ib8nyrq5y2s4outw, 5ni7a4s85lp22rysy5inywf3e, de9skbu4z39jm4o4j0mriw00k, 26d7uj41yx6no1oc3izr0rys5, aoa88ulpguvr42b0a1jn8dfys, aznxzkfi06uv9j5vmr28ray38, 9gmw9ozey3nvckn368u93iluc, aackuqvi6nlca566oisw0wc9g'}, {'id': 5713661869, 'qualifierId': 197, 'value': '24303'}, {'id': 5713661867, 'qualifierId': 194, 'value': 'cieyupgmnxecb4emqljudrw89'}]",,,,,Racing Louisville,Home
2812289311,1,34,16,0,0,bgkfdckqfqnfbmecbtz03n76d,1,0.0,0.0,2025-05-09T23:21:52.869Z,2025-05-10T00:11:21Z,"[{'id': 5713666395, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5713666393, 'qualifierId': 30, 'value': '6fi5hacjc8lj8zej0d2lfq66t, co49l4m0my5li8yvcxgrvq0yy, c6amo9ni4dou63jjan993dht6, aqihfnhadzdmi7i5bjfnphqms, 9ohn9m84cy89huz745lirkted, 3aj7p478dcuat6tz8096sq8dl, 56y5qt6c03t7f5t7eoebi0wyd, 3gxgrg34v8ffgde2g0nbm92c4, 13hy7ggmnhfalmdqlbp6lzv11, 1zjvb0kej2m1kp1sl0hw8tmuh, dzhvgrdkl4nuj8z4fd9to0ag9, 5vb1j5w8876lkpw3sgf5g6f4k, 5vbxfkptmc4fy8oent8ogistm, 9yoa6ehqan7po2q49famrk4d0, 54szh8526rjp2erap05ljqxud, 47eshqoyaib3u78jfao4rmsr8, dtmvgia1wh01owv0splpjsftg, 4e2l88qfahs0ey4urydb96e7e, e0gmts9bxn8goqm3bz4835016, 1d0w87gdvjcorim34wblp5hqs'}, {'id': 5713735733, 'qualifierId': 197, 'value': '28253'}, {'id': 5713666401, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5713666405, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5713666399, 'qualifierId': 130, 'value': '7'}, {'id': 5713666397, 'qualifierId': 59, 'value': '30, 3, 4, 14, 27, 6, 23, 11, 9, 7, 10, 12, 21, 24, 22, 34, 90, 13, 8, 17'}, {'id': 5713666403, 'qualifierId': 194, 'value': 'aqihfnhadzdmi7i5bjfnphqms'}]",,,,,Gotham FC,Away
2812301967,2,32,1,0,0,bgkfdckqfqnfbmecbtz03n76d,1,0.0,0.0,2025-05-10T00:10:34.973Z,2025-05-10T00:10:35Z,"[{'id': 5713739219, 'qualifierId': 127, 'value': 'Right to Left'}]",,,,,Gotham FC,Away
2812301969,3,32,1,0,0,dtucewmt49th1p4selfutmnmc,1,0.0,0.0,2025-05-10T00:10:34.973Z,2025-05-10T00:10:37Z,"[{'id': 5713739225, 'qualifierId': 127, 'value': 'Left to Right'}]",,,,,Racing Louisville,Home
2812302003,3,1,1,0,0,bgkfdckqfqnfbmecbtz03n76d,1,50.1,50.1,2025-05-10T00:10:34.974Z,2025-05-10T00:10:41Z,"[{'id': 5713739387, 'qualifierId': 141, 'value': '60.0'}, {'id': 5713739389, 'qualifierId': 212, 'value': '16.1'}, {'id': 5713739383, 'qualifierId': 56, 'value': 'Back'}, {'id': 5713739393, 'qualifierId': 279, 'value': 'S'}, {'id': 5713739391, 'qualifierId': 213, 'value': '2.71'}, {'id': 5713739385, 'qualifierId': 140, 'value': '36.2'}]",13hy7ggmnhfalmdqlbp6lzv11,Esther González,,,Gotham FC,Away
2812302009,4,1,1,0,6,bgkfdckqfqnfbmecbtz03n76d,1,30.8,59.9,2025-05-10T00:10:41.238Z,2025-05-10T00:10:42Z,"[{'id': 5713739439, 'qualifierId': 212, 'value': '17.7'}, {'id': 5713739437, 'qualifierId': 141, 'value': '34.8'}, {'id': 5713739441, 'qualifierId': 213, 'value': '4.99'}, {'id': 5713739435, 'qualifierId': 140, 'value': '35.4'}, {'id': 5713739433, 'qualifierId': 56, 'value': 'Back'}]",3aj7p478dcuat6tz8096sq8dl,E. Sonnett,,,Gotham FC,Away
2812302015,5,1,1,0,7,bgkfdckqfqnfbmecbtz03n76d,0,35.7,34.8,2025-05-10T00:10:42.758Z,2025-05-10T00:10:43Z,"[{'id': 5713739507, 'qualifierId': 213, 'value': '0.47'}, {'id': 5713739509, 'qualifierId': 1}, {'id': 5713739499, 'qualifierId': 56, 'value': 'Center'}, {'id': 5713739497, 'qualifierId': 157}, {'id': 5713739505, 'qualifierId': 212, 'value': '50.0'}, {'id': 5713739501, 'qualifierId': 140, 'value': '78.1'}, {'id': 5713739503, 'qualifierId': 141, 'value': '68.2'}]",9ohn9m84cy89huz745lirkted,J. Carter,,,Gotham FC,Away
2812302021,4,49,1,0,10,dtucewmt49th1p4selfutmnmc,1,22.7,16.7,2025-05-10T00:10:45.539Z,2025-05-10T00:10:45Z,[],7hrw0exutge376ai2uf6frw4q,L. Milliet,,,Racing Louisville,Home
2812302037,5,1,1,0,10,dtucewmt49th1p4selfutmnmc,1,23.3,14.4,2025-05-10T00:10:45.875Z,2025-05-10T00:10:47Z,"[{'id': 5713739611, 'qualifierId': 141, 'value': '8.5'}, {'id': 5713739609, 'qualifierId': 140, 'value': '28.6'}, {'id': 5713739615, 'qualifierId': 213, 'value': '5.66'}, {'id': 5713739607, 'qualifierId': 56, 'value': 'Back'}, {'id': 5713739613, 'qualifierId': 212, 'value': '6.9'}]",7hrw0exutge376ai2uf6frw4q,L. Milliet,,,Racing Louisville,Home
2812302057,6,1,1,0,12,dtucewmt49th1p4selfutmnmc,0,28.1,6.0,2025-05-10T00:10:47.458Z,2025-05-10T00:13:46Z,"[{'id': 5713739721, 'qualifierId': 213, 'value': '3.44'}, {'id': 5713739713, 'qualifierId': 56, 'value': 'Back'}, {'id': 5713739719, 'qualifierId': 212, 'value': '15.5'}, {'id': 5713739715, 'qualifierId': 140, 'value': '14.0'}, {'id': 5713739717, 'qualifierId': 141, 'value': '0.0'}]",br17lkx91icsoqiibmufa23v8,E. Sears,,,Racing Louisville,Home
