id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier,playerId,playerName,keyPass,assist,Squad,Position
2813164681,1,34,16,0,0,446mp88j1vpk9iwui9fiifrp8,1,0.0,0.0,2025-05-11T01:14:59.363Z,2025-05-11T02:01:22Z,"[{'id': 5718447047, 'qualifierId': 59, 'value': '1, 5, 2, 8, 16, 24, 21, 17, 66, 13, 10, 35, 15, 29, 77, 19, 7, 20, 14, 26'}, {'id': 5718447043, 'qualifierId': 30, 'value': '1yva0f096q2oqk5gz59utr42y, 8oj7cqgjacle67i49w4a3gx6, 615vz7uoe3eiozddbe206io6h, 7in4ykzbs8p44qy4jrb10p0wl, 74uudh34v23m2z9gy5tdppxey, 8cjb3weg2uhmwh9l21gw0xqtw, ek8x7y3jt0xcebttt75qi5exh, cmolam8ri93kos2rasjhnuxyi, 5b2dire687lp3dasdj2z3n0q2, 7izc8t071mkrrgvptdjru467e, et72990p9axru09oxv51hokwl, de78j1pit0elbm4ptskkflgk4, 2x310j2wycjsv4nzblfqd7sru, a0kl9l751uxo86g2k2chqtw5w, 1115fgmv9xa3nwx3bu19jr9pl, 2btfn8hbssn0dnszgyll1gopg, da2c3l9xeixo7o6byjutpgn4k, 7whcppsae8rxxj20zaxpx1wq1, azcxror0t5ede7nqobmhx9u6s, d0zsyv4xdt0hunaikjy3tde96'}, {'id': 5718447045, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5718447049, 'qualifierId': 130, 'value': '8'}, {'id': 5718447051, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5718447053, 'qualifierId': 194, 'value': 'cmolam8ri93kos2rasjhnuxyi'}, {'id': 5718447055, 'qualifierId': 197, 'value': '24254'}, {'id': 5718447057, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}]",,,,,Portland Thorns,Away
2813165565,1,34,16,0,0,esvbnzqbyvxp2k570ez7h1a1g,1,0.0,0.0,2025-05-11T01:16:13.576Z,2025-05-11T03:11:03Z,"[{'id': 5718452489, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5718452479, 'qualifierId': 59, 'value': '1, 6, 75, 10, 12, 3, 20, 21, 17, 11, 7, 9, 14, 15, 19, 24, 25, 28, 30, 31'}, {'id': 5718452477, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5718452487, 'qualifierId': 197, 'value': '28270'}, {'id': 5718452483, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5718452485, 'qualifierId': 194, 'value': '4yb9avzbrzt8m4c4h1yy98jbp'}, {'id': 5718452475, 'qualifierId': 30, 'value': '4yb9avzbrzt8m4c4h1yy98jbp, auyj06nha2syoygo7prfadobu, 3x6baiktcpcjxxh258a5uebpx, dzfr9ktjmxqj2eh2xibt7konp, 184w1exd2fg2pia1hanq3h5gp, 9ms54l53wseuxarpn4vfcx9g4, 3gu9gaz6w7eq79qnaqj3b7jdh, 6h8t7apz5vzk0pjxo8hbbkfhm, 7p8n46qssxb0drknt952vivbo, efynp5qo9b9x0lh9b4ft0ic8a, 1he80t4tdvj86rbvng0956prd, 321yjdo3gio1l33hc1pdps4wl, 6p2318moul9op4hmigk1xbaw9, 1p7mhkqn7vxnady8q0vboi02d, 7wy32l2np787xm3b61zyd79t6, 1yz9120eydmodlv7pgyv9xw5w, 5kaxtpwnuplnrodirmblx3cb8, bcliy6oxtz7380e9cyr38dj4k, 5awt3jkiwx648u4pz5rxwy96, bxf73uaptcz0uj7uy1g0euod1'}, {'id': 5718452481, 'qualifierId': 130, 'value': '8'}]",,,,,San Diego Wave,Home
2813200673,2,32,1,0,0,esvbnzqbyvxp2k570ez7h1a1g,1,0.0,0.0,2025-05-11T02:06:41.088Z,2025-05-11T02:06:43Z,"[{'id': 5718624413, 'qualifierId': 127, 'value': 'Left to Right'}]",,,,,San Diego Wave,Home
2813200663,2,32,1,0,0,446mp88j1vpk9iwui9fiifrp8,1,0.0,0.0,2025-05-11T02:06:41.088Z,2025-05-11T02:06:41Z,"[{'id': 5718624363, 'qualifierId': 127, 'value': 'Right to Left'}]",,,,,Portland Thorns,Away
2813200703,3,1,1,0,0,446mp88j1vpk9iwui9fiifrp8,1,50.2,50.0,2025-05-11T02:06:41.089Z,2025-05-11T02:06:46Z,"[{'id': 5718624611, 'qualifierId': 213, 'value': '4.79'}, {'id': 5718624609, 'qualifierId': 212, 'value': '6.4'}, {'id': 5718624613, 'qualifierId': 279, 'value': 'S'}, {'id': 5718624615, 'qualifierId': 278}, {'id': 5718624607, 'qualifierId': 141, 'value': '40.6'}, {'id': 5718624605, 'qualifierId': 140, 'value': '50.7'}, {'id': 5718624603, 'qualifierId': 56, 'value': 'Center'}]",cmolam8ri93kos2rasjhnuxyi,S. Coffey,,,Portland Thorns,Away
2813200719,4,1,1,0,5,446mp88j1vpk9iwui9fiifrp8,1,50.7,40.6,2025-05-11T02:06:46.674Z,2025-05-11T02:06:48Z,"[{'id': 5718624721, 'qualifierId': 56, 'value': 'Right'}, {'id': 5718624723, 'qualifierId': 140, 'value': '56.4'}, {'id': 5718624725, 'qualifierId': 141, 'value': '2.6'}, {'id': 5718624727, 'qualifierId': 212, 'value': '26.5'}, {'id': 5718624729, 'qualifierId': 213, 'value': '4.94'}]",7izc8t071mkrrgvptdjru467e,O. Moultrie,,,Portland Thorns,Away
2813200723,5,1,1,0,7,446mp88j1vpk9iwui9fiifrp8,0,56.3,2.6,2025-05-11T02:06:48.433Z,2025-05-11T02:06:49Z,"[{'id': 5718624759, 'qualifierId': 212, 'value': '27.8'}, {'id': 5718624753, 'qualifierId': 56, 'value': 'Center'}, {'id': 5718624755, 'qualifierId': 140, 'value': '77.3'}, {'id': 5718624757, 'qualifierId': 141, 'value': '27.4'}, {'id': 5718624751, 'qualifierId': 155}, {'id': 5718624761, 'qualifierId': 213, 'value': '0.65'}]",ek8x7y3jt0xcebttt75qi5exh,J. Fleming,,,Portland Thorns,Away
2813200745,3,61,1,0,9,esvbnzqbyvxp2k570ez7h1a1g,1,22.1,71.7,2025-05-11T02:06:50.695Z,2025-05-11T02:06:50Z,"[{'id': 5718624871, 'qualifierId': 56, 'value': 'Back'}]",9ms54l53wseuxarpn4vfcx9g4,T. Armstrong,,,San Diego Wave,Home
2813200761,4,1,1,0,10,esvbnzqbyvxp2k570ez7h1a1g,0,22.7,57.2,2025-05-11T02:06:51.981Z,2025-05-11T02:06:53Z,"[{'id': 5718624947, 'qualifierId': 56, 'value': 'Back'}, {'id': 5718624945, 'qualifierId': 157}, {'id': 5718624955, 'qualifierId': 213, 'value': '0.94'}, {'id': 5718624953, 'qualifierId': 212, 'value': '37.7'}, {'id': 5718624957, 'qualifierId': 1}, {'id': 5718624949, 'qualifierId': 140, 'value': '43.8'}, {'id': 5718624951, 'qualifierId': 141, 'value': '100.0'}]",184w1exd2fg2pia1hanq3h5gp,K. Wesley,,,San Diego Wave,Home
2813200765,5,5,1,0,12,esvbnzqbyvxp2k570ez7h1a1g,0,41.8,102.0,2025-05-11T02:06:53.589Z,2025-05-11T02:06:59Z,"[{'id': 5718624975, 'qualifierId': 56, 'value': 'Back'}, {'id': 5718624977, 'qualifierId': 347}, {'id': 5718625215, 'qualifierId': 233, 'value': '6'}]",184w1exd2fg2pia1hanq3h5gp,K. Wesley,,,San Diego Wave,Home
