id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier,playerId,playerName,keyPass,assist,Squad,Position
2815494875,1,34,16,0,0,c3v2ohfuzoqmc8ljm65hi80sj,1,0.0,0.0,2025-05-16T23:14:14.035Z,2025-05-17T00:20:44Z,"[{'id': 5731368593, 'qualifierId': 194, 'value': '6zm75ruas324c7yrt18ttei8l'}, {'id': 5731368585, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5731368587, 'qualifierId': 59, 'value': '35, 15, 21, 4, 25, 20, 8, 24, 6, 23, 10, 1, 7, 12, 13, 14, 17, 19, 22, 29'}, {'id': 5731368591, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5731438773, 'qualifierId': 197, 'value': '24270'}, {'id': 5731368589, 'qualifierId': 130, 'value': '13'}, {'id': 5731368583, 'qualifierId': 30, 'value': '706rwdwv4re27svfmlo7na3th, 61ucpn8qxos0kwaw0gdpqubys, 270qzf9ig52z04iu3ujnmstg4, 8co65x7tuvynuqvket8okb7xl, 6zm75ruas324c7yrt18ttei8l, n4egj8ymfled94mco0lwa95, 2sc4jlfmioa61d1vgpcz0pht6, 1c2boqmoi50esuelgdd96o06h, 191uogxjdg4uo178qv1544jys, 22rwy15pz3noi4av4wb3i0wh6, 95tl8tonvm6czhwzd6i5ep756, 53uflfknc5uus7iqw3obp5fx1, bdsv3kql5t6sw5ed2gsxmz2eh, 97ia01cyibu1l7qs8qexd2n3e, cgfk0e62cesbgieslfge2p61h, 8ruvr2jnsfdub02rdh8q88s89, 6089nfwh31ha73pl7vlla75cl, bzk89svsd2os7tv4wsbfaiivo, edwr7f7jwnxm1plk91fx8hfro, b3pwhedfzplkesy9qek3q6o7o'}, {'id': 5731368595, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}]",,,,,Houston Dash,Home
2815496851,1,34,16,0,0,446mp88j1vpk9iwui9fiifrp8,1,0.0,0.0,2025-05-16T23:21:11.521Z,2025-05-17T01:07:12Z,"[{'id': 5731380803, 'qualifierId': 59, 'value': '1, 20, 2, 8, 29, 16, 15, 17, 19, 26, 7, 5, 10, 13, 14, 21, 24, 35, 66, 77'}, {'id': 5731380813, 'qualifierId': 194, 'value': 'cmolam8ri93kos2rasjhnuxyi'}, {'id': 5731380809, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5731380797, 'qualifierId': 30, 'value': '1yva0f096q2oqk5gz59utr42y, 7whcppsae8rxxj20zaxpx1wq1, 615vz7uoe3eiozddbe206io6h, 7in4ykzbs8p44qy4jrb10p0wl, a0kl9l751uxo86g2k2chqtw5w, 74uudh34v23m2z9gy5tdppxey, 2x310j2wycjsv4nzblfqd7sru, cmolam8ri93kos2rasjhnuxyi, 2btfn8hbssn0dnszgyll1gopg, d0zsyv4xdt0hunaikjy3tde96, da2c3l9xeixo7o6byjutpgn4k, 8oj7cqgjacle67i49w4a3gx6, et72990p9axru09oxv51hokwl, 7izc8t071mkrrgvptdjru467e, azcxror0t5ede7nqobmhx9u6s, ek8x7y3jt0xcebttt75qi5exh, 8cjb3weg2uhmwh9l21gw0xqtw, de78j1pit0elbm4ptskkflgk4, 5b2dire687lp3dasdj2z3n0q2, 1115fgmv9xa3nwx3bu19jr9pl'}, {'id': 5731380807, 'qualifierId': 130, 'value': '8'}, {'id': 5731380817, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5731380799, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5731441203, 'qualifierId': 197, 'value': '24256'}]",,,,,Portland Thorns,Away
2815508863,2,32,1,0,0,446mp88j1vpk9iwui9fiifrp8,1,0.0,0.0,2025-05-17T00:08:48.706Z,2025-05-17T00:08:50Z,"[{'id': 5731445315, 'qualifierId': 127, 'value': 'Left to Right'}]",,,,,Portland Thorns,Away
2815508859,2,32,1,0,0,c3v2ohfuzoqmc8ljm65hi80sj,1,0.0,0.0,2025-05-17T00:08:48.706Z,2025-05-17T00:08:48Z,"[{'id': 5731445311, 'qualifierId': 127, 'value': 'Right to Left'}]",,,,,Houston Dash,Home
2815508865,3,1,1,0,0,c3v2ohfuzoqmc8ljm65hi80sj,1,49.9,50.1,2025-05-17T00:08:48.707Z,2025-05-17T00:08:53Z,"[{'id': 5731445317, 'qualifierId': 56, 'value': 'Back'}, {'id': 5731445325, 'qualifierId': 213, 'value': '3.17'}, {'id': 5731445327, 'qualifierId': 279, 'value': 'S'}, {'id': 5731445321, 'qualifierId': 141, 'value': '49.1'}, {'id': 5731445319, 'qualifierId': 140, 'value': '25.4'}, {'id': 5731445323, 'qualifierId': 212, 'value': '25.7'}]",191uogxjdg4uo178qv1544jys,M. Bright,,,Houston Dash,Home
2815508869,4,1,1,0,4,c3v2ohfuzoqmc8ljm65hi80sj,1,25.8,49.7,2025-05-17T00:08:53.443Z,2025-05-17T00:08:59Z,"[{'id': 5731445357, 'qualifierId': 141, 'value': '82.4'}, {'id': 5731445367, 'qualifierId': 1}, {'id': 5731445361, 'qualifierId': 212, 'value': '50.6'}, {'id': 5731445351, 'qualifierId': 56, 'value': 'Left'}, {'id': 5731445349, 'qualifierId': 157}, {'id': 5731445365, 'qualifierId': 213, 'value': '0.45'}, {'id': 5731445353, 'qualifierId': 140, 'value': '69.1'}]",706rwdwv4re27svfmlo7na3th,A. Smith,,,Houston Dash,Home
2815508873,5,61,1,0,10,c3v2ohfuzoqmc8ljm65hi80sj,1,69.1,82.4,2025-05-17T00:08:59.131Z,2025-05-17T01:02:39Z,"[{'id': 5731445371, 'qualifierId': 56, 'value': 'Left'}]",95tl8tonvm6czhwzd6i5ep756,B. Olivieri,,,Houston Dash,Home
2815508895,3,5,1,0,10,446mp88j1vpk9iwui9fiifrp8,1,24.0,-0.8,2025-05-17T00:08:59.575Z,2025-05-17T00:09:08Z,"[{'id': 5731445503, 'qualifierId': 347}, {'id': 5731445501, 'qualifierId': 56, 'value': 'Back'}, {'id': 5731445509, 'qualifierId': 233, 'value': '6'}]",d0zsyv4xdt0hunaikjy3tde96,M. Alidou,,,Portland Thorns,Away
2815508875,6,5,1,0,10,c3v2ohfuzoqmc8ljm65hi80sj,0,76.0,100.8,2025-05-17T00:08:59.575Z,2025-05-17T01:15:21Z,"[{'id': 5731445377, 'qualifierId': 56, 'value': 'Left'}, {'id': 5731445379, 'qualifierId': 347}, {'id': 5731445519, 'qualifierId': 233, 'value': '3'}]",95tl8tonvm6czhwzd6i5ep756,B. Olivieri,,,Houston Dash,Home
2815508919,4,1,1,0,23,446mp88j1vpk9iwui9fiifrp8,1,22.5,0.0,2025-05-17T00:09:11.802Z,2025-05-17T00:09:13Z,"[{'id': 5731445623, 'qualifierId': 107}, {'id': 5731445631, 'qualifierId': 212, 'value': '8.3'}, {'id': 5731445629, 'qualifierId': 141, 'value': '8.3'}, {'id': 5731445625, 'qualifierId': 56, 'value': 'Back'}, {'id': 5731445627, 'qualifierId': 140, 'value': '27.8'}, {'id': 5731445633, 'qualifierId': 213, 'value': '0.84'}]",7whcppsae8rxxj20zaxpx1wq1,K. Torpey,,,Portland Thorns,Away
