id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier,playerId,playerName,keyPass,Squad,Position
2815492779,1,34,16,0,0,966pdxhsoxaib9qt5083h8uus,1,0.0,0.0,2025-05-16T23:06:04.148Z,2025-05-17T01:57:44Z,"[{'id': 5731357265, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5731357259, 'qualifierId': 130, 'value': '12'}, {'id': 5731357417, 'qualifierId': 197, 'value': '24302'}, {'id': 5731357257, 'qualifierId': 59, 'value': '1, 21, 19, 25, 6, 3, 15, 16, 10, 22, 2, 40, 12, 9, 28, 34, 11, 14, 23, 30'}, {'id': 5731357251, 'qualifierId': 30, 'value': '7e8f4kfwcucaj4239xz0rai1h, 2lh6bupkrijpm9n916446nbop, 6zvfcc67po0ofvl1twrv13tg5, dyfsbff9jueyw5jhjou424bo4, 9yvkpwm78jaqr321imfc3rrbo, 1uf4321zvio3hrwfu4z4jxp7t, 23nuijdnnuiwzkd5cf7jbyajt, 6fhiz0epsutfcs1xqfhcuomad, c811si1xw5he6ih0o1mj94tsl, e2obgph6szyo04em3qr94g1qt, 3cyj9a2fjtx4xd0bqdh6g3azu, 93mr62mbyeymgcad2qhpvt2qc, dy302yj9tjby62ur1u8ab8rxm, bp34vn963cxgnx6b7q7sig9hw, 68njvqucip0ehuz4eecppvq0a, 642fsrjj1seobmhxeefruv578, eigt6t2rj0k98zt1isqrvtvqh, 77agy8f4m7ybib2cssdfsltuy, e4glbrjataxggtxf953n1jsnp, 6uui5rxnfn6y5rkcsbuloiui'}, {'id': 5731357263, 'qualifierId': 194, 'value': 'c811si1xw5he6ih0o1mj94tsl'}, {'id': 5731357253, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5731357261, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}]",,,,Orlando Pride,Home
2815493465,1,34,16,0,0,agxipc0vk4rtg09amjxv10nx0,1,0.0,0.0,2025-05-16T23:09:22.450Z,2025-05-17T00:15:29Z,"[{'id': 5731360859, 'qualifierId': 194, 'value': '4c6z6g6q7jq62bznylu0kjnc9'}, {'id': 5731360855, 'qualifierId': 130, 'value': '4'}, {'id': 5731360857, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5731360851, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5731360853, 'qualifierId': 59, 'value': '23, 4, 18, 10, 15, 27, 5, 14, 9, 99, 6, 81, 7, 8, 11, 13, 16, 19, 22, 30'}, {'id': 5731442909, 'qualifierId': 197, 'value': '28190'}, {'id': 5731360861, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5731360849, 'qualifierId': 30, 'value': 'das6ydxiwz8trtyp98ss5i295, 9wvoeo39cgbelv8ddqin3aaga, 736jvvtkgwc3g1vooviaod33d, 4c6z6g6q7jq62bznylu0kjnc9, 5kx524x345idecr205u9oopd6, cl1av4qyzjkq03akjof6tdf1m, 68sz2cp2lpnb8k36jkhr3wrje, 6hyf258ii56nw917w0b4ekob8, 47iatvbptp6438v5qo359yw9h, 5ekbwy8vf1l1jzj6txawrg7h1, ccw8gtkcahxf21rutqldjvkve, 46r9yf1huh29ri0sbx0yum6ll, 48l2ildbeme2l336nor2hw6lm, 516s5q2n1hop56c1768x0jbh1, 6k82rq8synvac950ext5t0jpx, 3qk8owv039ppiiev6skkkb52i, dv8265k3za578hkzxxuttqmdx, cmivpbf5hzq5j8feacgla5nv8, errir6ade8y91vp5z7v8gkn6y, ambkmqohpux5r4cvtszfpeej8'}]",,,,Kansas City Current,Away
2815509243,2,32,1,0,0,966pdxhsoxaib9qt5083h8uus,1,0.0,0.0,2025-05-17T00:10:56.813Z,2025-05-17T00:10:59Z,"[{'id': 5731447327, 'qualifierId': 127, 'value': 'Right to Left'}]",,,,Orlando Pride,Home
2815509239,2,32,1,0,0,agxipc0vk4rtg09amjxv10nx0,1,0.0,0.0,2025-05-17T00:10:56.813Z,2025-05-17T00:10:56Z,"[{'id': 5731447311, 'qualifierId': 127, 'value': 'Left to Right'}]",,,,Kansas City Current,Away
2815509245,3,1,1,0,0,966pdxhsoxaib9qt5083h8uus,1,50.0,50.0,2025-05-17T00:10:56.875Z,2025-05-17T00:11:01Z,"[{'id': 5731447339, 'qualifierId': 212, 'value': '25.8'}, {'id': 5731447335, 'qualifierId': 140, 'value': '25.5'}, {'id': 5731447337, 'qualifierId': 141, 'value': '47.8'}, {'id': 5731447341, 'qualifierId': 213, 'value': '3.20'}, {'id': 5731447343, 'qualifierId': 279, 'value': 'S'}, {'id': 5731447333, 'qualifierId': 56, 'value': 'Back'}]",c811si1xw5he6ih0o1mj94tsl,Marta,,Orlando Pride,Home
2815509253,4,1,1,0,4,966pdxhsoxaib9qt5083h8uus,0,25.5,47.8,2025-05-17T00:11:00.987Z,2025-05-17T00:11:03Z,"[{'id': 5731447393, 'qualifierId': 157}, {'id': 5731447399, 'qualifierId': 141, 'value': '53.9'}, {'id': 5731447395, 'qualifierId': 56, 'value': 'Center'}, {'id': 5731447401, 'qualifierId': 212, 'value': '34.0'}, {'id': 5731447405, 'qualifierId': 1}, {'id': 5731447397, 'qualifierId': 140, 'value': '57.6'}, {'id': 5731447403, 'qualifierId': 213, 'value': '0.12'}]",7e8f4kfwcucaj4239xz0rai1h,A. Moorhouse,,Orlando Pride,Home
2815509255,3,1,1,0,7,agxipc0vk4rtg09amjxv10nx0,0,46.0,40.9,2025-05-17T00:11:04.137Z,2025-05-17T00:11:08Z,"[{'id': 5731447415, 'qualifierId': 212, 'value': '15.2'}, {'id': 5731447407, 'qualifierId': 3}, {'id': 5731447413, 'qualifierId': 141, 'value': '45.2'}, {'id': 5731447409, 'qualifierId': 56, 'value': 'Center'}, {'id': 5731447417, 'qualifierId': 213, 'value': '0.19'}, {'id': 5731447411, 'qualifierId': 140, 'value': '60.2'}]",6hyf258ii56nw917w0b4ekob8,C. Hutton,,Kansas City Current,Away
2815509271,5,1,1,0,9,966pdxhsoxaib9qt5083h8uus,1,34.0,53.0,2025-05-17T00:11:06.651Z,2025-05-17T00:11:11Z,"[{'id': 5731447503, 'qualifierId': 212, 'value': '23.7'}, {'id': 5731447501, 'qualifierId': 141, 'value': '21.9'}, {'id': 5731447497, 'qualifierId': 56, 'value': 'Back'}, {'id': 5731447495, 'qualifierId': 3}, {'id': 5731447505, 'qualifierId': 213, 'value': '5.18'}, {'id': 5731447499, 'qualifierId': 140, 'value': '44.2'}]",1uf4321zvio3hrwfu4z4jxp7t,K. Nadaner,,Orlando Pride,Home
2815509277,6,1,1,0,14,966pdxhsoxaib9qt5083h8uus,1,42.9,19.8,2025-05-17T00:11:11.355Z,2025-05-17T00:11:12Z,"[{'id': 5731447527, 'qualifierId': 140, 'value': '45.7'}, {'id': 5731447531, 'qualifierId': 212, 'value': '6.8'}, {'id': 5731447533, 'qualifierId': 213, 'value': '1.12'}, {'id': 5731447529, 'qualifierId': 141, 'value': '28.8'}, {'id': 5731447525, 'qualifierId': 56, 'value': 'Back'}]",2lh6bupkrijpm9n916446nbop,Oihane Hernández,,Orlando Pride,Home
2815509285,7,1,1,0,15,966pdxhsoxaib9qt5083h8uus,1,45.0,27.7,2025-05-17T00:11:12.347Z,2025-05-17T00:11:13Z,"[{'id': 5731447603, 'qualifierId': 213, 'value': '4.13'}, {'id': 5731447597, 'qualifierId': 140, 'value': '38.4'}, {'id': 5731447601, 'qualifierId': 212, 'value': '12.6'}, {'id': 5731447595, 'qualifierId': 56, 'value': 'Back'}, {'id': 5731447599, 'qualifierId': 141, 'value': '12.2'}]",6fhiz0epsutfcs1xqfhcuomad,M. Gautrat,,Orlando Pride,Home
