id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier,playerId,playerName,keyPass,assist,Squad,Position
2816202525,1,34,16,0,0,eka22bj7co8bw5qxa6qlbinf8,1,0.0,0.0,2025-05-18T01:21:00.960Z,2025-05-18T02:05:21Z,"[{'id': 5735198969, 'qualifierId': 197, 'value': '28250'}, {'id': 5735198957, 'qualifierId': 30, 'value': '1un4vc8t0zr8kh3u9ggug3i1g, 6fs7fjwxqpkgzosbb8364d4np, d5sinj3fevgaqcgwhtfno836c, 5zq8rn70v25d2bzfot40w07is, 6fl1ruianufxk3wj1cx8rrphx, 5zwpytehpeosi3sfckvkuy3md, 7pdog0usw4fwr3j3neexfz1ed, 1ftms6bue2ezs3khsimk9sep6, a88r8d1jd5r928pvskginyiqy, atcv5kiq1ez04nvfbrh9xhh5g, cnxanwub8nm1jokerrs83mk4q, 5q924z85a5bmydk32gr9gz71m, iwbi7wnz7xl9dtiqrg0ka6ay, c1r1tmscj963olp4yo8kedqdx, 4j9un8594hl9gezwkdeafnbsa, bzn9r2st3lrb74jbrnosv75ec, 3h9iwb3ufzzbr5137qg7whses, ajm2otiy72xcni5pbtu1259n8, 58ggl2oa2ucyrv91ofv44ump6, 9by1d4orgqze7m8nldkrnwwrt'}, {'id': 5735198961, 'qualifierId': 59, 'value': '29, 3, 24, 15, 13, 4, 21, 19, 9, 7, 55, 1, 5, 8, 11, 12, 14, 18, 20, 23'}, {'id': 5735198967, 'qualifierId': 194, 'value': '6fl1ruianufxk3wj1cx8rrphx'}, {'id': 5735198963, 'qualifierId': 130, 'value': '6'}, {'id': 5735198965, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5735198959, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5735198971, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}]",,,,,Bay,Home
2816206923,1,34,16,0,0,6hbfgdczbi3yg4sdpqgtu6s,1,0.0,0.0,2025-05-18T01:28:30.762Z,2025-05-18T01:59:03Z,"[{'id': 5735223419, 'qualifierId': 59, 'value': '19, 20, 16, 14, 11, 6, 17, 4, 33, 23, 21, 7, 99, 8, 25, 29, 28, 12, 9, 1'}, {'id': 5735223429, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5735223417, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5735223425, 'qualifierId': 194, 'value': 'etdam0sfwiphiwykieovlsyy1'}, {'id': 5735223423, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5735223427, 'qualifierId': 197, 'value': '28249'}, {'id': 5735223421, 'qualifierId': 130, 'value': '4'}, {'id': 5735223415, 'qualifierId': 30, 'value': 'lg9muzm3sbiijicsik53m3je, 89fa211ocgno2q0to22emh20a, 1enu619pvakj78wtsfuilbj3e, 6bcvcloym3tzxss5hgsw4h1at, etdam0sfwiphiwykieovlsyy1, 6opd7nuh51c7p6pn6w04yuntg, as9gd28disfeeiiqxn7gjvg2c, 9ijnmgmapjcnctich86692tw5, bngif4yqa0asu77nptsb06n10, bnxnrws4yintb6s76erzl9xw5, dfeohozpw604y5jbu01u1dkkq, 9mo419gtk6dy5lhcvatcllkyy, 3bx0w0ftkij1lqrt727gjd94a, 8f2og4ng2s6f8qeikft26h2qc, atvo1d7070tccvlbi8x5rakno, 9b94qn8vkpl0e7ujskes2m7d, 5ctvnqq716lbj0l9prrp8vb4k, 432x2c6elrhcaufoge75cbcwk, cenm8mly98mwv2630hcke4fmc, e2cviaurp66ntp52needonka2'}]",,,,,Angel City,Away
2816221487,2,32,1,0,0,eka22bj7co8bw5qxa6qlbinf8,1,0.0,0.0,2025-05-18T02:05:32.239Z,2025-05-18T02:05:32Z,"[{'id': 5735306651, 'qualifierId': 127, 'value': 'Left to Right'}]",,,,,Bay,Home
2816221491,2,32,1,0,0,6hbfgdczbi3yg4sdpqgtu6s,1,0.0,0.0,2025-05-18T02:05:32.239Z,2025-05-18T02:05:34Z,"[{'id': 5735306659, 'qualifierId': 127, 'value': 'Right to Left'}]",,,,,Angel City,Away
2816221511,3,1,1,0,0,6hbfgdczbi3yg4sdpqgtu6s,1,50.0,50.0,2025-05-18T02:05:32.240Z,2025-05-18T02:05:35Z,"[{'id': 5735306775, 'qualifierId': 140, 'value': '32.0'}, {'id': 5735306785, 'qualifierId': 213, 'value': '3.37'}, {'id': 5735306781, 'qualifierId': 212, 'value': '19.4'}, {'id': 5735306777, 'qualifierId': 141, 'value': '43.6'}, {'id': 5735306773, 'qualifierId': 56, 'value': 'Back'}, {'id': 5735306789, 'qualifierId': 279, 'value': 'S'}]",9ijnmgmapjcnctich86692tw5,K. Zelem,,,Angel City,Away
2816221533,4,1,1,0,2,6hbfgdczbi3yg4sdpqgtu6s,1,32.0,43.6,2025-05-18T02:05:35.181Z,2025-05-18T02:05:37Z,"[{'id': 5735306909, 'qualifierId': 141, 'value': '74.1'}, {'id': 5735306911, 'qualifierId': 212, 'value': '22.1'}, {'id': 5735306907, 'qualifierId': 140, 'value': '39.4'}, {'id': 5735306913, 'qualifierId': 213, 'value': '1.21'}, {'id': 5735306905, 'qualifierId': 56, 'value': 'Back'}]",6bcvcloym3tzxss5hgsw4h1at,A. Kennedy,,,Angel City,Away
2816221547,5,1,1,0,4,6hbfgdczbi3yg4sdpqgtu6s,0,39.4,74.1,2025-05-18T02:05:37.118Z,2025-05-18T02:05:38Z,"[{'id': 5735306989, 'qualifierId': 56, 'value': 'Center'}, {'id': 5735306993, 'qualifierId': 141, 'value': '50.9'}, {'id': 5735306997, 'qualifierId': 213, 'value': '5.90'}, {'id': 5735306991, 'qualifierId': 140, 'value': '76.2'}, {'id': 5735306995, 'qualifierId': 212, 'value': '41.7'}, {'id': 5735306987, 'qualifierId': 157}, {'id': 5735306999, 'qualifierId': 1}]",1enu619pvakj78wtsfuilbj3e,M. A. Vignola,,,Angel City,Away
2816221589,3,1,1,0,9,eka22bj7co8bw5qxa6qlbinf8,1,30.4,46.4,2025-05-18T02:05:41.501Z,2025-05-18T02:05:44Z,"[{'id': 5735307199, 'qualifierId': 56, 'value': 'Back'}, {'id': 5735307205, 'qualifierId': 212, 'value': '8.2'}, {'id': 5735307201, 'qualifierId': 140, 'value': '36.4'}, {'id': 5735307197, 'qualifierId': 3}, {'id': 5735307203, 'qualifierId': 141, 'value': '38.6'}, {'id': 5735307207, 'qualifierId': 213, 'value': '5.58'}]",5zwpytehpeosi3sfckvkuy3md,E. Menges,,,Bay,Home
2816221609,4,1,1,0,11,eka22bj7co8bw5qxa6qlbinf8,1,36.4,38.6,2025-05-18T02:05:44.013Z,2025-05-18T02:06:27Z,"[{'id': 5735307301, 'qualifierId': 213, 'value': '3.14'}, {'id': 5735307295, 'qualifierId': 141, 'value': '38.6'}, {'id': 5735307291, 'qualifierId': 56, 'value': 'Back'}, {'id': 5735307293, 'qualifierId': 140, 'value': '20.8'}, {'id': 5735307297, 'qualifierId': 212, 'value': '16.4'}]",5zq8rn70v25d2bzfot40w07is,C. Conti,,,Bay,Home
2816221643,5,1,1,0,13,eka22bj7co8bw5qxa6qlbinf8,1,20.8,38.6,2025-05-18T02:05:46.108Z,2025-05-18T02:05:50Z,"[{'id': 5735307445, 'qualifierId': 212, 'value': '39.5'}, {'id': 5735307439, 'qualifierId': 56, 'value': 'Center'}, {'id': 5735307441, 'qualifierId': 140, 'value': '58.4'}, {'id': 5735307443, 'qualifierId': 141, 'value': '41.0'}, {'id': 5735307447, 'qualifierId': 213, 'value': '0.04'}, {'id': 5735307437, 'qualifierId': 157}, {'id': 5735307449, 'qualifierId': 1}]",6fl1ruianufxk3wj1cx8rrphx,A. Dahlkemper,,,Bay,Home
