id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier,playerId,playerName,keyPass,assist,Squad,Position
2816023059,1,34,16,0,0,dzxypx8djih58p668surbi4qm,1,0.0,0.0,2025-05-17T20:15:58.696Z,2025-05-17T21:07:49Z,"[{'id': 5734201591, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5734201587, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5734419279, 'qualifierId': 197, 'value': '28138'}, {'id': 5734201583, 'qualifierId': 59, 'value': '1, 30, 32, 77, 4, 3, 21, 20, 14, 34, 10, 22, 7, 8, 11, 13, 16, 23, 26, 41'}, {'id': 5734201589, 'qualifierId': 194, 'value': 'cbhcuvuqi3gxgln6n463vz9at'}, {'id': 5734201585, 'qualifierId': 130, 'value': '8'}, {'id': 5734201581, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5734201579, 'qualifierId': 30, 'value': 'cbhcuvuqi3gxgln6n463vz9at, 9zcl2x3h5b1cb2sf5wuarmwru, 4tnm3hxzav142ow867jwcozkk, daze51b5849zsk2aqvgmkkbth, 6zzk0lgja87zs45h8btgheled, 11u4dj0z0p616zx9gsnil66ay, 6alny8atonddyhmltw3dgo1d5, a652ucv412tcgm98cx2ri6psk, a7yq5hwmc27r615dak86yfoph, 6e7scc2z7henelebs853mc844, 19udx179xugqp84qo9rsq0nhl, 20qmwwdxbdp6ade3j9lssbvxm, 8ace4czv4na5qww43srp67fv8, 83fvamzyuhfbgp5j1bn0n0650, 96jcamlgo8nghmr2s0m0q2lbe, 3i1tb812znsp7f2sbg7bcet0q, 56jjwfa02gep01vggqojvfbe2, 5fyfbevwr4aisqn4969aripsk, 39jb2vzpuxxfhrr0px7tlk991, 1zslcxrwelyckvt3kp9c7qiac'}]",,,,,Chicago Stars,Away
2816024921,1,34,16,0,0,b4fbmos00gxtk8qnaqsm392p5,1,0.0,0.0,2025-05-17T20:18:24.557Z,2025-05-17T21:06:52Z,"[{'id': 5734212687, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5734212683, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5734212677, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5734212679, 'qualifierId': 59, 'value': '1, 13, 14, 12, 3, 27, 10, 16, 34, 2, 19, 44, 8, 17, 20, 22, 24, 25, 30, 77'}, {'id': 5734415921, 'qualifierId': 197, 'value': '28553'}, {'id': 5734212681, 'qualifierId': 130, 'value': '13'}, {'id': 5734212685, 'qualifierId': 194, 'value': '7fk82cjz0z5vq2ts3vmz8has5'}, {'id': 5734212675, 'qualifierId': 30, 'value': '3qj9t05behkav9okd8n2wywh5, 1x229gvjahkxp7w02bh0v36ga, awme1kk0t2w81hc4xcup7k222, 75p1ff1723mzkbs7tfke3j9m2, 1p3bwk03ay87hp2nwrl3tfxwq, cbco4ht0d7uk1thgam6vc0ep6, 7fk82cjz0z5vq2ts3vmz8has5, bxj6bpjfxkumj112yoco9wahg, 90bm7jsl7sjqiel7u2tv0vgq2, cwerr3zz6pqzzzqso9dx69fjd, 4k83z2cdvn2kwb72kh8e8qfsa, p6mq2ouc50vln1ou3cyg0lqs, 54ieoaegysojsey2jmqtr9ucp, 9aj5gfycwgc6r0b550zagl4a1, 8afwde4025w5wxddyf2ouoine, 3ytdxf659yjtnml5zzpxl01k9, 54baezi0oivpmiz91y7bj3zmc, 817x7baq69b1tnrtminbjf3zd, 2sylxhwmisg8f763p2t1q934k, 51tbo9972xjvl7ekjps7o4hlg'}]",,,,,North Carolina Courage,Home
2816062723,2,32,1,0,0,dzxypx8djih58p668surbi4qm,1,0.0,0.0,2025-05-17T21:09:26.947Z,2025-05-17T21:09:29Z,"[{'id': 5734424877, 'qualifierId': 127, 'value': 'Left to Right'}]",,,,,Chicago Stars,Away
2816062713,2,32,1,0,0,b4fbmos00gxtk8qnaqsm392p5,1,0.0,0.0,2025-05-17T21:09:26.947Z,2025-05-17T21:09:27Z,"[{'id': 5734424853, 'qualifierId': 127, 'value': 'Right to Left'}]",,,,,North Carolina Courage,Home
2816062727,3,1,1,0,0,dzxypx8djih58p668surbi4qm,1,49.9,50.0,2025-05-17T21:09:26.948Z,2025-05-17T21:09:31Z,"[{'id': 5734424907, 'qualifierId': 212, 'value': '24.1'}, {'id': 5734424903, 'qualifierId': 140, 'value': '28.9'}, {'id': 5734424911, 'qualifierId': 279, 'value': 'S'}, {'id': 5734424901, 'qualifierId': 56, 'value': 'Back'}, {'id': 5734424905, 'qualifierId': 141, 'value': '64.3'}, {'id': 5734424909, 'qualifierId': 213, 'value': '2.73'}]",6e7scc2z7henelebs853mc844,A. Schlegel,,,Chicago Stars,Away
2816062765,4,1,1,0,4,dzxypx8djih58p668surbi4qm,1,28.7,65.2,2025-05-17T21:09:31.413Z,2025-05-17T21:09:34Z,"[{'id': 5734425079, 'qualifierId': 212, 'value': '19.2'}, {'id': 5734425075, 'qualifierId': 140, 'value': '43.3'}, {'id': 5734425083, 'qualifierId': 213, 'value': '0.64'}, {'id': 5734425077, 'qualifierId': 141, 'value': '82.1'}, {'id': 5734425073, 'qualifierId': 56, 'value': 'Back'}]",11u4dj0z0p616zx9gsnil66ay,S. Staab,,,Chicago Stars,Away
2816062783,5,1,1,0,6,dzxypx8djih58p668surbi4qm,1,43.1,83.2,2025-05-17T21:09:33.910Z,2025-05-17T21:09:36Z,"[{'id': 5734425181, 'qualifierId': 213, 'value': '3.92'}, {'id': 5734425179, 'qualifierId': 212, 'value': '19.5'}, {'id': 5734425171, 'qualifierId': 56, 'value': 'Back'}, {'id': 5734425177, 'qualifierId': 141, 'value': '63.1'}, {'id': 5734425173, 'qualifierId': 140, 'value': '29.8'}]",4tnm3hxzav142ow867jwcozkk,T. Malham,,,Chicago Stars,Away
2816062797,6,1,1,0,9,dzxypx8djih58p668surbi4qm,1,29.8,63.1,2025-05-17T21:09:36.774Z,2025-05-17T21:09:38Z,"[{'id': 5734425239, 'qualifierId': 141, 'value': '35.2'}, {'id': 5734425241, 'qualifierId': 212, 'value': '19.0'}, {'id': 5734425235, 'qualifierId': 56, 'value': 'Back'}, {'id': 5734425243, 'qualifierId': 213, 'value': '4.71'}, {'id': 5734425237, 'qualifierId': 140, 'value': '29.8'}]",11u4dj0z0p616zx9gsnil66ay,S. Staab,,,Chicago Stars,Away
2816062807,7,1,1,0,11,dzxypx8djih58p668surbi4qm,1,29.9,33.3,2025-05-17T21:09:38.838Z,2025-05-17T21:09:41Z,"[{'id': 5734425319, 'qualifierId': 56, 'value': 'Back'}, {'id': 5734425327, 'qualifierId': 213, 'value': '4.96'}, {'id': 5734425325, 'qualifierId': 212, 'value': '17.0'}, {'id': 5734425323, 'qualifierId': 141, 'value': '9.1'}, {'id': 5734425321, 'qualifierId': 140, 'value': '33.9'}]",6zzk0lgja87zs45h8btgheled,C. Onwualu,,,Chicago Stars,Away
2816062817,8,61,1,0,14,dzxypx8djih58p668surbi4qm,0,33.9,9.1,2025-05-17T21:09:41.382Z,2025-05-17T21:09:41Z,"[{'id': 5734425375, 'qualifierId': 56, 'value': 'Back'}]",9zcl2x3h5b1cb2sf5wuarmwru,C. Biegalski,,,Chicago Stars,Away
