id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier,playerId,playerName,keyPass,assist,Squad,Position
2815828807,1,34,16,0,0,dtucewmt49th1p4selfutmnmc,1,0.0,0.0,2025-05-17T16:20:09.866Z,2025-05-17T17:06:58Z,"[{'id': 5733111401, 'qualifierId': 59, 'value': '24, 2, 11, 26, 5, 3, 7, 20, 9, 13, 16, 4, 6, 12, 14, 15, 29, 32, 42, 71'}, {'id': 5733111405, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5733111407, 'qualifierId': 194, 'value': '9e65qlc7dfjkajyhzhak8sc7p'}, {'id': 5733111403, 'qualifierId': 130, 'value': '4'}, {'id': 5733111411, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5733111397, 'qualifierId': 30, 'value': '24lhpn1z5ikitapll48t1z7kk, 7hrw0exutge376ai2uf6frw4q, 2x4vbu3htfozzwd8g7bdxeacp, 8q0rkr3gz7hz1ssdx3fkro0a2, 2mlyh9k0yhv8862rj6hu26j8p, cieyupgmnxecb4emqljudrw89, asfd5wkedz1u29xt37r6or4rt, 1mym43khm3hlhzbj42tbnjlec, brs2knmydegipvthtwu6xwqac, br17lkx91icsoqiibmufa23v8, 9e65qlc7dfjkajyhzhak8sc7p, 2mawkst2xlxrp2zbvgk6rundh, aackuqvi6nlca566oisw0wc9g, 5056k6uw0ib8nyrq5y2s4outw, 5ni7a4s85lp22rysy5inywf3e, de9skbu4z39jm4o4j0mriw00k, 26d7uj41yx6no1oc3izr0rys5, 9gmw9ozey3nvckn368u93iluc, aoa88ulpguvr42b0a1jn8dfys, aznxzkfi06uv9j5vmr28ray38'}, {'id': 5733111399, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5733111409, 'qualifierId': 197, 'value': '24303'}]",,,,,Racing Louisville,Home
2815829443,1,34,16,0,0,bl53jk6zlfe5f583pil7xzwi5,1,0.0,0.0,2025-05-17T16:20:54.857Z,2025-05-17T17:14:08Z,"[{'id': 5733114705, 'qualifierId': 30, 'value': '2bb2dbogerxxvircnah8gw222, a3iv6ws325cyd1vmrowwx6ck4, 7v6cr5ohzfbu6gf0dvw05q8h6, 7lt9nze7e2mk2hlp9dkvabkyd, apl8fpqij3o30f21vh2tthe22, 78r84jt04ixcanyq0d0x7jmz8, z8vdz64bgqus4c85451nsrf9, 3jl8cvp50cy5o4pt1u8h4a2cq, 78i4mxu4hxwp995udteweftgp, cm6fzm8v38ti0aubu0q4v717t, anwmefu9etrn8i0r74r1jg9g, 30pt4uhplyxm0ljkqsffaw7x0, 1msrx80nnfp04v03t5jkoo76y, e6lfu5kktkjhzou72epnwl13p, 3izdhhnuuxiomh66g4g0d0yc, 7im1atd7ziav111a9o6mh9gid, 9gdocwx006j6wyz4mnhzgzydx, e2q91279c3j489oaaqgb6iwb8, dlm4h2alfw0llbz4mkdq7hu96, 5uoom5ctl8apr1v3ew3bhrlgq'}, {'id': 5733114707, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5733114713, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5733114715, 'qualifierId': 194, 'value': '7lt9nze7e2mk2hlp9dkvabkyd'}, {'id': 5733114717, 'qualifierId': 197, 'value': '24258'}, {'id': 5733114711, 'qualifierId': 130, 'value': '13'}, {'id': 5733114709, 'qualifierId': 59, 'value': '1, 24, 25, 3, 21, 23, 8, 20, 9, 6, 5, 99, 14, 31, 16, 91, 7, 47, 2, 18'}, {'id': 5733114719, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}]",,,,,Seattle Reign,Away
2815867531,2,32,1,0,0,bl53jk6zlfe5f583pil7xzwi5,1,0.0,0.0,2025-05-17T17:08:49.898Z,2025-05-17T17:08:50Z,"[{'id': 5733328295, 'qualifierId': 127, 'value': 'Left to Right'}]",,,,,Seattle Reign,Away
2815867545,2,32,1,0,0,dtucewmt49th1p4selfutmnmc,1,0.0,0.0,2025-05-17T17:08:49.898Z,2025-05-17T17:08:52Z,"[{'id': 5733328361, 'qualifierId': 127, 'value': 'Right to Left'}]",,,,,Racing Louisville,Home
2815867595,3,1,1,0,0,bl53jk6zlfe5f583pil7xzwi5,1,49.7,50.0,2025-05-17T17:08:49.899Z,2025-05-17T17:08:53Z,"[{'id': 5733328659, 'qualifierId': 141, 'value': '49.3'}, {'id': 5733328661, 'qualifierId': 212, 'value': '11.3'}, {'id': 5733328665, 'qualifierId': 279, 'value': 'S'}, {'id': 5733328663, 'qualifierId': 213, 'value': '3.18'}, {'id': 5733328657, 'qualifierId': 140, 'value': '38.9'}, {'id': 5733328655, 'qualifierId': 56, 'value': 'Back'}]",z8vdz64bgqus4c85451nsrf9,A. James-Turner,,,Seattle Reign,Away
2815867625,4,1,1,0,3,bl53jk6zlfe5f583pil7xzwi5,1,37.4,53.4,2025-05-17T17:08:53.267Z,2025-05-17T17:08:54Z,"[{'id': 5733328837, 'qualifierId': 213, 'value': '2.22'}, {'id': 5733328829, 'qualifierId': 56, 'value': 'Back'}, {'id': 5733328835, 'qualifierId': 212, 'value': '15.9'}, {'id': 5733328831, 'qualifierId': 140, 'value': '28.3'}, {'id': 5733328833, 'qualifierId': 141, 'value': '72.1'}]",3jl8cvp50cy5o4pt1u8h4a2cq,S. Meza,,,Seattle Reign,Away
2815867657,5,1,1,0,4,bl53jk6zlfe5f583pil7xzwi5,0,28.0,70.3,2025-05-17T17:08:54.656Z,2025-05-17T17:08:56Z,"[{'id': 5733329001, 'qualifierId': 213, 'value': '0.09'}, {'id': 5733328993, 'qualifierId': 141, 'value': '73.6'}, {'id': 5733328995, 'qualifierId': 212, 'value': '25.9'}, {'id': 5733328991, 'qualifierId': 140, 'value': '52.6'}, {'id': 5733328989, 'qualifierId': 56, 'value': 'Center'}]",7lt9nze7e2mk2hlp9dkvabkyd,L. Barnes,,,Seattle Reign,Away
2815867665,3,49,1,0,6,dtucewmt49th1p4selfutmnmc,1,52.9,21.6,2025-05-17T17:08:56.895Z,2025-05-17T17:08:56Z,[],1mym43khm3hlhzbj42tbnjlec,K. O'Kane,,,Racing Louisville,Home
2815867791,4,1,1,0,9,dtucewmt49th1p4selfutmnmc,1,59.2,17.3,2025-05-17T17:08:59.501Z,2025-05-17T17:09:03Z,"[{'id': 5733329727, 'qualifierId': 56, 'value': 'Center'}, {'id': 5733329729, 'qualifierId': 140, 'value': '57.7'}, {'id': 5733329735, 'qualifierId': 213, 'value': '1.77'}, {'id': 5733329731, 'qualifierId': 141, 'value': '28.6'}, {'id': 5733329733, 'qualifierId': 212, 'value': '7.8'}]",1mym43khm3hlhzbj42tbnjlec,K. O'Kane,,,Racing Louisville,Home
2815867857,5,1,1,0,13,dtucewmt49th1p4selfutmnmc,1,53.8,41.5,2025-05-17T17:09:03.788Z,2025-05-17T17:09:06Z,"[{'id': 5733330093, 'qualifierId': 141, 'value': '68.7'}, {'id': 5733330091, 'qualifierId': 140, 'value': '38.8'}, {'id': 5733330097, 'qualifierId': 213, 'value': '2.28'}, {'id': 5733330095, 'qualifierId': 212, 'value': '24.3'}, {'id': 5733330089, 'qualifierId': 56, 'value': 'Back'}]",8q0rkr3gz7hz1ssdx3fkro0a2,T. Flint,,,Racing Louisville,Home
