id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier,playerId,playerName,keyPass,assist,Squad,Position
2816117765,1,34,16,0,0,f1ks82wpiewyqs6h3oz9v4hzj,1,0.0,0.0,2025-05-17T22:51:32.386Z,2025-05-17T23:58:15Z,"[{'id': 5734724041, 'qualifierId': 30, 'value': 'd9dirjpaqkq3gga2zyeykcv6d, 73q03evwuq5rdm7scz31yj4a2, en29qfiuu01nsmekoqhycjo45, b8xa1whpr8m3e5zbziz9e91bd, 27dktxivmcqmi1lkz1vs49qi2, 1v67tba1l3sxow1geovdqefo5, 1jlc387u7fdpnnus9nlsb179w, 9faqkjlq89sh0y2vnstt24e1g, b9d4fqz6ezz2azklpghb9kyjt, 4wgwp2bd4xrjbg7s4p193aooa, yay5mq8trvoxv9mwm4mqzn8q, 6vqain7mmp94wueprv9aj5xp1, 4ullol3wa4qdi9ydgrxgxbcgl, 42vdmyzhg3m7or9duzcuwkusp, 4h6jpaeqynme21y5gnho24ob8, coy005g9noltjta4ka7utllp0, bz6tei03n7cj4mbdsx20wd0yc, 8jc8ndxlodfrhxxao3k1fknbo, 281339664uiyf2kagsl6gsvf8, as2gs38ai4i235sz36rmvpa1g'}, {'id': 5734833555, 'qualifierId': 197, 'value': '28068'}, {'id': 5734724047, 'qualifierId': 130, 'value': '2'}, {'id': 5734724053, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5734724043, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5734724051, 'qualifierId': 194, 'value': 'd9dirjpaqkq3gga2zyeykcv6d'}, {'id': 5734724049, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5734724045, 'qualifierId': 59, 'value': '1, 8, 14, 5, 9, 4, 19, 35, 33, 7, 21, 28, 3, 13, 16, 17, 22, 25, 34, 39'}]",,,,,Washington Spirit,Home
2816119585,1,34,16,0,0,bn7w86uw8j61dga3xr5s0yiju,1,0.0,0.0,2025-05-17T22:55:34.862Z,2025-05-17T23:28:21Z,"[{'id': 5734733441, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5734734649, 'qualifierId': 194, 'value': '15u9zrm4e4gosthf1vmkp5ht6'}, {'id': 5734733439, 'qualifierId': 130, 'value': '8'}, {'id': 5734827565, 'qualifierId': 197, 'value': '24262'}, {'id': 5734733443, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5734733435, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5734733437, 'qualifierId': 59, 'value': '1, 7, 14, 17, 8, 5, 25, 10, 9, 11, 13, 23, 15, 16, 19, 30, 22, 28, 53'}, {'id': 5734733433, 'qualifierId': 30, 'value': 'vaw0swh9q18mglmk683bauzu, 5xeqrq3iczzork08c28rmx3ah, f0cwpq45aa7b5de10j9skw44p, bwjqs0orziydksase1flhedt6, 15u9zrm4e4gosthf1vmkp5ht6, d4fcm5jgtri2hgu7znf87n9ck, 94j0ci5rtwvr8nlrr32cfg9d6, dlbgel5sg62n5z89ev1tkusph, 8gqtwfvc0ehmlvnaw2qb112zu, 46a8lc1hgykm6kdhuadiwjk5x, 9igg9mubjgnwpqxx8ywhzzmz8, 836jz6qayhrahzyxdyesvrsa, 4i3r3hhzqxpbzc1fwf72hj4es, emihtyw994ca7bwm3y8ou4odm, 6bk246gzwg1c5cng1qy1a4is4, 5psdd5ol4kv5mx9wk0re3d4ut, 1mmkb0klnov3y412lmr5qktwq, 1r8725akqzal1mni9wl8zmnai, ejnchs99plocbhm7txy6r3s9h'}]",,,,,Utah Royals,Away
2816136511,2,32,1,0,0,bn7w86uw8j61dga3xr5s0yiju,1,0.0,0.0,2025-05-17T23:30:46.154Z,2025-05-17T23:30:46Z,"[{'id': 5734834103, 'qualifierId': 127, 'value': 'Right to Left'}]",,,,,Utah Royals,Away
2816136517,2,32,1,0,0,f1ks82wpiewyqs6h3oz9v4hzj,1,0.0,0.0,2025-05-17T23:30:46.154Z,2025-05-17T23:30:48Z,"[{'id': 5734834143, 'qualifierId': 127, 'value': 'Left to Right'}]",,,,,Washington Spirit,Home
2816136551,3,1,1,0,0,bn7w86uw8j61dga3xr5s0yiju,1,50.0,50.0,2025-05-17T23:30:46.155Z,2025-05-17T23:30:49Z,"[{'id': 5734834303, 'qualifierId': 140, 'value': '32.8'}, {'id': 5734834311, 'qualifierId': 279, 'value': 'S'}, {'id': 5734834307, 'qualifierId': 212, 'value': '19.1'}, {'id': 5734834301, 'qualifierId': 56, 'value': 'Back'}, {'id': 5734834305, 'qualifierId': 141, 'value': '59.0'}, {'id': 5734834309, 'qualifierId': 213, 'value': '2.81'}]",8gqtwfvc0ehmlvnaw2qb112zu,A. Sentnor,,,Utah Royals,Away
2816136585,4,1,1,0,3,bn7w86uw8j61dga3xr5s0yiju,0,32.8,59.0,2025-05-17T23:30:49.620Z,2025-05-17T23:30:53Z,"[{'id': 5734834573, 'qualifierId': 213, 'value': '6.16'}, {'id': 5734834567, 'qualifierId': 140, 'value': '84.9'}, {'id': 5734834569, 'qualifierId': 141, 'value': '49.3'}, {'id': 5734834575, 'qualifierId': 1}, {'id': 5734834563, 'qualifierId': 155}, {'id': 5734834571, 'qualifierId': 212, 'value': '55.1'}, {'id': 5734834565, 'qualifierId': 56, 'value': 'Center'}]",15u9zrm4e4gosthf1vmkp5ht6,K. Del Fava,,,Utah Royals,Away
2816136607,3,49,1,0,8,f1ks82wpiewyqs6h3oz9v4hzj,1,14.9,52.7,2025-05-17T23:30:54.818Z,2025-05-17T23:30:54Z,[],d9dirjpaqkq3gga2zyeykcv6d,A. Kingsbury,,,Washington Spirit,Home
2816136667,4,1,1,0,10,f1ks82wpiewyqs6h3oz9v4hzj,1,14.9,50.0,2025-05-17T23:30:56.722Z,2025-05-17T23:31:00Z,"[{'id': 5734835041, 'qualifierId': 212, 'value': '10.4'}, {'id': 5734835037, 'qualifierId': 141, 'value': '35.5'}, {'id': 5734835029, 'qualifierId': 56, 'value': 'Back'}, {'id': 5734835045, 'qualifierId': 213, 'value': '5.04'}, {'id': 5734835033, 'qualifierId': 140, 'value': '18.1'}]",d9dirjpaqkq3gga2zyeykcv6d,A. Kingsbury,,,Washington Spirit,Home
2816136685,5,1,1,0,14,f1ks82wpiewyqs6h3oz9v4hzj,1,17.9,33.9,2025-05-17T23:31:00.380Z,2025-05-17T23:31:01Z,"[{'id': 5734835135, 'qualifierId': 213, 'value': '1.96'}, {'id': 5734835133, 'qualifierId': 212, 'value': '14.3'}, {'id': 5734835129, 'qualifierId': 140, 'value': '12.7'}, {'id': 5734835127, 'qualifierId': 56, 'value': 'Back'}, {'id': 5734835131, 'qualifierId': 141, 'value': '53.4'}]",27dktxivmcqmi1lkz1vs49qi2,T. McKeown,,,Washington Spirit,Home
2816136721,6,1,1,0,15,f1ks82wpiewyqs6h3oz9v4hzj,1,12.7,53.4,2025-05-17T23:31:01.861Z,2025-05-17T23:31:05Z,"[{'id': 5734835317, 'qualifierId': 213, 'value': '1.03'}, {'id': 5734835311, 'qualifierId': 141, 'value': '70.8'}, {'id': 5734835309, 'qualifierId': 140, 'value': '19.5'}, {'id': 5734835307, 'qualifierId': 56, 'value': 'Back'}, {'id': 5734835313, 'qualifierId': 212, 'value': '13.8'}]",d9dirjpaqkq3gga2zyeykcv6d,A. Kingsbury,,,Washington Spirit,Home
