id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier,playerId,playerName,keyPass,assist,Squad,Position
2818109415,1,34,16,0,0,bl53jk6zlfe5f583pil7xzwi5,1,0.0,0.0,2025-05-24T01:15:40.404Z,2025-05-24T02:09:16Z,"[{'id': 5745763613, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5745763619, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5745763615, 'qualifierId': 59, 'value': '1, 24, 25, 3, 21, 23, 8, 20, 9, 47, 5, 99, 91, 31, 16, 18, 6, 14, 10, 30'}, {'id': 5745763621, 'qualifierId': 194, 'value': '7lt9nze7e2mk2hlp9dkvabkyd'}, {'id': 5745763611, 'qualifierId': 30, 'value': '2bb2dbogerxxvircnah8gw222, a3iv6ws325cyd1vmrowwx6ck4, 7v6cr5ohzfbu6gf0dvw05q8h6, 7lt9nze7e2mk2hlp9dkvabkyd, apl8fpqij3o30f21vh2tthe22, 78r84jt04ixcanyq0d0x7jmz8, z8vdz64bgqus4c85451nsrf9, 3jl8cvp50cy5o4pt1u8h4a2cq, 78i4mxu4hxwp995udteweftgp, e2q91279c3j489oaaqgb6iwb8, anwmefu9etrn8i0r74r1jg9g, 30pt4uhplyxm0ljkqsffaw7x0, 7im1atd7ziav111a9o6mh9gid, e6lfu5kktkjhzou72epnwl13p, 3izdhhnuuxiomh66g4g0d0yc, 5uoom5ctl8apr1v3ew3bhrlgq, cm6fzm8v38ti0aubu0q4v717t, 1msrx80nnfp04v03t5jkoo76y, 93d5k82qrmjr894k2hp5aril1, 7xb0niqg08hrxk8i2nq8zvfth'}, {'id': 5745763617, 'qualifierId': 130, 'value': '17'}, {'id': 5745763623, 'qualifierId': 197, 'value': '25773'}, {'id': 5745763625, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}]",,,,,Seattle Reign,Home
2818110669,1,34,16,0,0,f1ks82wpiewyqs6h3oz9v4hzj,1,0.0,0.0,2025-05-24T01:22:45.399Z,2025-05-24T02:12:05Z,"[{'id': 5745770775, 'qualifierId': 30, 'value': 'd9dirjpaqkq3gga2zyeykcv6d, en29qfiuu01nsmekoqhycjo45, 4ullol3wa4qdi9ydgrxgxbcgl, b8xa1whpr8m3e5zbziz9e91bd, 27dktxivmcqmi1lkz1vs49qi2, bo5e35lsptja0pnlvk1y38dex, 1jlc387u7fdpnnus9nlsb179w, 1v67tba1l3sxow1geovdqefo5, b9d4fqz6ezz2azklpghb9kyjt, 4wgwp2bd4xrjbg7s4p193aooa, yay5mq8trvoxv9mwm4mqzn8q, 6vqain7mmp94wueprv9aj5xp1, 73q03evwuq5rdm7scz31yj4a2, 42vdmyzhg3m7or9duzcuwkusp, 4h6jpaeqynme21y5gnho24ob8, coy005g9noltjta4ka7utllp0, bz6tei03n7cj4mbdsx20wd0yc, 8jc8ndxlodfrhxxao3k1fknbo, 281339664uiyf2kagsl6gsvf8, 9faqkjlq89sh0y2vnstt24e1g'}, {'id': 5745770791, 'qualifierId': 197, 'value': '28068'}, {'id': 5745770787, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5745770783, 'qualifierId': 59, 'value': '1, 14, 3, 5, 9, 24, 19, 4, 33, 7, 21, 28, 8, 13, 16, 17, 22, 25, 34, 35'}, {'id': 5745770789, 'qualifierId': 194, 'value': 'b9d4fqz6ezz2azklpghb9kyjt'}, {'id': 5745770785, 'qualifierId': 130, 'value': '8'}, {'id': 5745770777, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5745770793, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}]",,,,,Washington Spirit,Away
2818116851,2,32,1,0,0,f1ks82wpiewyqs6h3oz9v4hzj,1,0.0,0.0,2025-05-24T02:10:18.409Z,2025-05-24T02:10:18Z,"[{'id': 5745805027, 'qualifierId': 127, 'value': 'Left to Right'}]",,,,,Washington Spirit,Away
2818116853,3,32,1,0,0,bl53jk6zlfe5f583pil7xzwi5,1,0.0,0.0,2025-05-24T02:10:18.409Z,2025-05-24T02:10:20Z,"[{'id': 5745805029, 'qualifierId': 127, 'value': 'Right to Left'}]",,,,,Seattle Reign,Home
2818116857,4,1,1,0,0,bl53jk6zlfe5f583pil7xzwi5,1,50.2,50.0,2025-05-24T02:10:18.410Z,2025-05-24T02:10:22Z,"[{'id': 5745805051, 'qualifierId': 213, 'value': '3.09'}, {'id': 5745805047, 'qualifierId': 141, 'value': '51.9'}, {'id': 5745805053, 'qualifierId': 279, 'value': 'S'}, {'id': 5745805043, 'qualifierId': 56, 'value': 'Back'}, {'id': 5745805049, 'qualifierId': 212, 'value': '27.0'}, {'id': 5745805045, 'qualifierId': 140, 'value': '24.5'}]",78i4mxu4hxwp995udteweftgp,J. Huitema,,,Seattle Reign,Home
2818116875,5,1,1,0,4,bl53jk6zlfe5f583pil7xzwi5,0,24.8,51.0,2025-05-24T02:10:22.594Z,2025-05-24T02:10:25Z,"[{'id': 5745805133, 'qualifierId': 141, 'value': '79.6'}, {'id': 5745805135, 'qualifierId': 212, 'value': '44.0'}, {'id': 5745805139, 'qualifierId': 1}, {'id': 5745805129, 'qualifierId': 56, 'value': 'Left'}, {'id': 5745805131, 'qualifierId': 140, 'value': '62.4'}, {'id': 5745805127, 'qualifierId': 155}, {'id': 5745805137, 'qualifierId': 213, 'value': '0.46'}]",2bb2dbogerxxvircnah8gw222,C. Dickey,,,Seattle Reign,Home
2818116883,3,49,1,0,10,f1ks82wpiewyqs6h3oz9v4hzj,1,67.5,15.8,2025-05-24T02:10:29.165Z,2025-05-24T02:10:29Z,[],4wgwp2bd4xrjbg7s4p193aooa,C. Bethune,,,Washington Spirit,Away
2818116891,4,1,1,0,11,f1ks82wpiewyqs6h3oz9v4hzj,1,68.4,15.8,2025-05-24T02:10:29.739Z,2025-05-24T02:10:31Z,"[{'id': 5745805207, 'qualifierId': 213, 'value': '3.62'}, {'id': 5745805201, 'qualifierId': 140, 'value': '60.6'}, {'id': 5745805199, 'qualifierId': 56, 'value': 'Right'}, {'id': 5745805203, 'qualifierId': 141, 'value': '9.5'}, {'id': 5745805205, 'qualifierId': 212, 'value': '9.2'}]",4wgwp2bd4xrjbg7s4p193aooa,C. Bethune,,,Washington Spirit,Away
2818116903,5,1,1,0,13,f1ks82wpiewyqs6h3oz9v4hzj,1,58.2,14.6,2025-05-24T02:10:31.737Z,2025-05-24T02:10:34Z,"[{'id': 5745805259, 'qualifierId': 212, 'value': '13.5'}, {'id': 5745805255, 'qualifierId': 140, 'value': '69.5'}, {'id': 5745805253, 'qualifierId': 56, 'value': 'Right'}, {'id': 5745805261, 'qualifierId': 213, 'value': '5.79'}, {'id': 5745805257, 'qualifierId': 141, 'value': '5.2'}]",1jlc387u7fdpnnus9nlsb179w,R. Kouassi,,,Washington Spirit,Away
2818116913,6,1,1,0,16,f1ks82wpiewyqs6h3oz9v4hzj,1,59.3,8.9,2025-05-24T02:10:34.818Z,2025-05-24T02:10:37Z,"[{'id': 5745805311, 'qualifierId': 140, 'value': '38.8'}, {'id': 5745805317, 'qualifierId': 213, 'value': '3.11'}, {'id': 5745805313, 'qualifierId': 141, 'value': '9.8'}, {'id': 5745805315, 'qualifierId': 212, 'value': '21.5'}, {'id': 5745805309, 'qualifierId': 56, 'value': 'Back'}]",4wgwp2bd4xrjbg7s4p193aooa,C. Bethune,,,Washington Spirit,Away
2818116921,7,1,1,0,18,f1ks82wpiewyqs6h3oz9v4hzj,1,37.2,10.3,2025-05-24T02:10:37.369Z,2025-05-24T02:10:42Z,"[{'id': 5745805357, 'qualifierId': 56, 'value': 'Back'}, {'id': 5745805365, 'qualifierId': 213, 'value': '2.11'}, {'id': 5745805363, 'qualifierId': 212, 'value': '24.4'}, {'id': 5745805361, 'qualifierId': 141, 'value': '41.2'}, {'id': 5745805359, 'qualifierId': 140, 'value': '25.3'}]",en29qfiuu01nsmekoqhycjo45,G. Carle,,,Washington Spirit,Away
