id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier,playerId,playerName,keyPass,assist,Squad,Position
2818672333,1,34,16,0,0,6hbfgdczbi3yg4sdpqgtu6s,1,0.0,0.0,2025-05-25T01:19:13.029Z,2025-05-25T02:06:34Z,"[{'id': 5748890963, 'qualifierId': 130, 'value': '8'}, {'id': 5748890967, 'qualifierId': 194, 'value': 'etdam0sfwiphiwykieovlsyy1'}, {'id': 5748890961, 'qualifierId': 59, 'value': '19, 29, 16, 8, 11, 6, 20, 14, 33, 17, 21, 1, 26, 25, 99, 7, 9, 28, 23, 4'}, {'id': 5748890959, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5748890965, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5748890969, 'qualifierId': 197, 'value': '28248'}, {'id': 5748890971, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5748890957, 'qualifierId': 30, 'value': 'lg9muzm3sbiijicsik53m3je, 9b94qn8vkpl0e7ujskes2m7d, 1enu619pvakj78wtsfuilbj3e, 8f2og4ng2s6f8qeikft26h2qc, etdam0sfwiphiwykieovlsyy1, 6opd7nuh51c7p6pn6w04yuntg, 89fa211ocgno2q0to22emh20a, 6bcvcloym3tzxss5hgsw4h1at, bngif4yqa0asu77nptsb06n10, as9gd28disfeeiiqxn7gjvg2c, dfeohozpw604y5jbu01u1dkkq, e2cviaurp66ntp52needonka2, 2xye11x1rbx47vns3iimwns44, atvo1d7070tccvlbi8x5rakno, 3bx0w0ftkij1lqrt727gjd94a, 9mo419gtk6dy5lhcvatcllkyy, cenm8mly98mwv2630hcke4fmc, 5ctvnqq716lbj0l9prrp8vb4k, bnxnrws4yintb6s76erzl9xw5, 9ijnmgmapjcnctich86692tw5'}]",,,,,Angel City,Home
2818672929,1,34,16,0,0,dtucewmt49th1p4selfutmnmc,1,0.0,0.0,2025-05-25T01:20:01.094Z,2025-05-25T02:17:40Z,"[{'id': 5748894195, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5748894185, 'qualifierId': 59, 'value': '24, 2, 11, 26, 5, 3, 7, 20, 9, 16, 13, 4, 6, 12, 14, 15, 29, 32, 42, 71'}, {'id': 5748894181, 'qualifierId': 30, 'value': '24lhpn1z5ikitapll48t1z7kk, 7hrw0exutge376ai2uf6frw4q, 2x4vbu3htfozzwd8g7bdxeacp, 8q0rkr3gz7hz1ssdx3fkro0a2, 2mlyh9k0yhv8862rj6hu26j8p, cieyupgmnxecb4emqljudrw89, asfd5wkedz1u29xt37r6or4rt, 1mym43khm3hlhzbj42tbnjlec, brs2knmydegipvthtwu6xwqac, 9e65qlc7dfjkajyhzhak8sc7p, br17lkx91icsoqiibmufa23v8, 2mawkst2xlxrp2zbvgk6rundh, aackuqvi6nlca566oisw0wc9g, 5056k6uw0ib8nyrq5y2s4outw, 5ni7a4s85lp22rysy5inywf3e, de9skbu4z39jm4o4j0mriw00k, 26d7uj41yx6no1oc3izr0rys5, 9gmw9ozey3nvckn368u93iluc, aoa88ulpguvr42b0a1jn8dfys, aznxzkfi06uv9j5vmr28ray38'}, {'id': 5748894191, 'qualifierId': 194, 'value': 'cieyupgmnxecb4emqljudrw89'}, {'id': 5748894189, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5748894183, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5748894187, 'qualifierId': 130, 'value': '4'}, {'id': 5748894193, 'qualifierId': 197, 'value': '24303'}]",,,,,Racing Louisville,Away
2818692387,2,32,1,0,0,6hbfgdczbi3yg4sdpqgtu6s,1,0.0,0.0,2025-05-25T02:05:26.440Z,2025-05-25T02:05:26Z,"[{'id': 5748989733, 'qualifierId': 127, 'value': 'Left to Right'}]",,,,,Angel City,Home
2818692393,2,32,1,0,0,dtucewmt49th1p4selfutmnmc,1,0.0,0.0,2025-05-25T02:05:26.440Z,2025-05-25T02:05:28Z,"[{'id': 5748989751, 'qualifierId': 127, 'value': 'Right to Left'}]",,,,,Racing Louisville,Away
2818692401,3,1,1,0,0,6hbfgdczbi3yg4sdpqgtu6s,1,49.8,50.0,2025-05-25T02:05:26.441Z,2025-05-25T02:56:28Z,"[{'id': 5748989791, 'qualifierId': 213, 'value': '3.38'}, {'id': 5748989785, 'qualifierId': 140, 'value': '37.8'}, {'id': 5748989793, 'qualifierId': 279, 'value': 'S'}, {'id': 5748989789, 'qualifierId': 212, 'value': '13.0'}, {'id': 5748989787, 'qualifierId': 141, 'value': '45.5'}, {'id': 5748989783, 'qualifierId': 56, 'value': 'Back'}]",as9gd28disfeeiiqxn7gjvg2c,K. Fuller,,,Angel City,Home
2818692413,4,1,1,0,2,6hbfgdczbi3yg4sdpqgtu6s,0,37.8,45.5,2025-05-25T02:05:29.306Z,2025-05-25T02:56:19Z,"[{'id': 5748989833, 'qualifierId': 56, 'value': 'Center'}, {'id': 5748989837, 'qualifierId': 141, 'value': '73.8'}, {'id': 5748989843, 'qualifierId': 1}, {'id': 5748989831, 'qualifierId': 157}, {'id': 5748989841, 'qualifierId': 213, 'value': '0.42'}, {'id': 5748989835, 'qualifierId': 140, 'value': '78.5'}, {'id': 5748989839, 'qualifierId': 212, 'value': '46.9'}]",6bcvcloym3tzxss5hgsw4h1at,A. Kennedy,,,Angel City,Home
2818692425,3,12,1,0,7,dtucewmt49th1p4selfutmnmc,1,25.2,27.9,2025-05-25T02:05:33.635Z,2025-05-25T02:05:34Z,"[{'id': 5748989923, 'qualifierId': 141, 'value': '25.0'}, {'id': 5748989927, 'qualifierId': 213, 'value': '6.13'}, {'id': 5748989925, 'qualifierId': 212, 'value': '12.8'}, {'id': 5748989933, 'qualifierId': 15}, {'id': 5748989921, 'qualifierId': 140, 'value': '37.2'}, {'id': 5748989919, 'qualifierId': 56, 'value': 'Back'}]",2mlyh9k0yhv8862rj6hu26j8p,E. Jean,,,Racing Louisville,Away
2818692445,5,1,1,0,8,6hbfgdczbi3yg4sdpqgtu6s,1,66.7,54.3,2025-05-25T02:05:35.082Z,2025-05-25T02:05:39Z,"[{'id': 5748990021, 'qualifierId': 212, 'value': '12.2'}, {'id': 5748990019, 'qualifierId': 141, 'value': '41.2'}, {'id': 5748990017, 'qualifierId': 140, 'value': '74.6'}, {'id': 5748990015, 'qualifierId': 56, 'value': 'Center'}, {'id': 5748990023, 'qualifierId': 213, 'value': '5.46'}]",as9gd28disfeeiiqxn7gjvg2c,K. Fuller,,,Angel City,Home
2818692447,6,1,1,0,13,6hbfgdczbi3yg4sdpqgtu6s,1,66.4,44.0,2025-05-25T02:05:39.706Z,2025-05-25T02:56:41Z,"[{'id': 5748990039, 'qualifierId': 56, 'value': 'Back'}, {'id': 5748990045, 'qualifierId': 212, 'value': '20.1'}, {'id': 5748990041, 'qualifierId': 140, 'value': '48.6'}, {'id': 5748990047, 'qualifierId': 213, 'value': '2.77'}, {'id': 5748990043, 'qualifierId': 141, 'value': '54.8'}]",89fa211ocgno2q0to22emh20a,G. Thompson,,,Angel City,Home
2818692467,7,1,1,0,14,6hbfgdczbi3yg4sdpqgtu6s,1,49.2,52.8,2025-05-25T02:05:41.339Z,2025-05-25T02:05:45Z,"[{'id': 5748990147, 'qualifierId': 140, 'value': '55.8'}, {'id': 5748990151, 'qualifierId': 212, 'value': '30.3'}, {'id': 5748990141, 'qualifierId': 56, 'value': 'Right'}, {'id': 5748990153, 'qualifierId': 213, 'value': '4.94'}, {'id': 5748990149, 'qualifierId': 141, 'value': '9.4'}]",6opd7nuh51c7p6pn6w04yuntg,M. Reid,,,Angel City,Home
