id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier,playerId,playerName,keyPass,assist,Squad,Position
2818564891,1,34,16,0,0,dzxypx8djih58p668surbi4qm,1,0.0,0.0,2025-05-24T22:37:47.450Z,2025-05-24T23:34:24Z,"[{'id': 5748310119, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5748310117, 'qualifierId': 30, 'value': 'cbhcuvuqi3gxgln6n463vz9at, 4tnm3hxzav142ow867jwcozkk, 19udx179xugqp84qo9rsq0nhl, 11u4dj0z0p616zx9gsnil66ay, 1zslcxrwelyckvt3kp9c7qiac, 6zzk0lgja87zs45h8btgheled, daze51b5849zsk2aqvgmkkbth, a652ucv412tcgm98cx2ri6psk, a7yq5hwmc27r615dak86yfoph, 6alny8atonddyhmltw3dgo1d5, 83fvamzyuhfbgp5j1bn0n0650, 20qmwwdxbdp6ade3j9lssbvxm, 8ace4czv4na5qww43srp67fv8, 96jcamlgo8nghmr2s0m0q2lbe, 3i1tb812znsp7f2sbg7bcet0q, 56jjwfa02gep01vggqojvfbe2, 5fyfbevwr4aisqn4969aripsk, 8v62hppzsz2yonw60h9910iga, 39jb2vzpuxxfhrr0px7tlk991, 6e7scc2z7henelebs853mc844'}, {'id': 5748310129, 'qualifierId': 194, 'value': 'cbhcuvuqi3gxgln6n463vz9at'}, {'id': 5748310131, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5748310125, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5748310121, 'qualifierId': 59, 'value': '1, 32, 10, 3, 41, 4, 77, 20, 14, 21, 8, 22, 7, 11, 13, 16, 23, 24, 26, 34'}, {'id': 5748472309, 'qualifierId': 197, 'value': '28138'}, {'id': 5748310123, 'qualifierId': 130, 'value': '13'}]",,,,,Chicago Stars,Home
2818568683,1,34,16,0,0,agxipc0vk4rtg09amjxv10nx0,1,0.0,0.0,2025-05-24T22:44:13.050Z,2025-05-24T23:41:27Z,"[{'id': 5748329093, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5748329101, 'qualifierId': 194, 'value': '4c6z6g6q7jq62bznylu0kjnc9'}, {'id': 5748329091, 'qualifierId': 30, 'value': 'das6ydxiwz8trtyp98ss5i295, 9wvoeo39cgbelv8ddqin3aaga, 736jvvtkgwc3g1vooviaod33d, 4c6z6g6q7jq62bznylu0kjnc9, 48l2ildbeme2l336nor2hw6lm, cl1av4qyzjkq03akjof6tdf1m, dv8265k3za578hkzxxuttqmdx, 6k82rq8synvac950ext5t0jpx, 47iatvbptp6438v5qo359yw9h, 516s5q2n1hop56c1768x0jbh1, ccw8gtkcahxf21rutqldjvkve, 2kjv07goaeqhl1pmjfywkglqs, 68sz2cp2lpnb8k36jkhr3wrje, 3qk8owv039ppiiev6skkkb52i, 6hyf258ii56nw917w0b4ekob8, e1irspfo9xupqz2sqvyq1zp0q, ambkmqohpux5r4cvtszfpeej8, dwyyvfgddxq2fimtbn6sxz21g, 46r9yf1huh29ri0sbx0yum6ll, 25bvylwz0w0wzoj0uwk45ru38'}, {'id': 5748329103, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5748329095, 'qualifierId': 59, 'value': '23, 4, 18, 10, 7, 27, 16, 11, 9, 8, 6, 2, 5, 13, 14, 17, 30, 33, 81, 99'}, {'id': 5748329097, 'qualifierId': 130, 'value': '4'}, {'id': 5748329099, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5748471719, 'qualifierId': 197, 'value': '28254'}]",,,,,Kansas City Current,Away
2818596181,2,32,1,0,0,dzxypx8djih58p668surbi4qm,1,0.0,0.0,2025-05-24T23:30:29.065Z,2025-05-24T23:31:33Z,"[{'id': 5748471025, 'qualifierId': 127, 'value': 'Left to Right'}]",,,,,Chicago Stars,Home
2818596193,2,32,1,0,0,agxipc0vk4rtg09amjxv10nx0,1,0.0,0.0,2025-05-24T23:30:29.065Z,2025-05-24T23:30:44Z,"[{'id': 5748471071, 'qualifierId': 127, 'value': 'Right to Left'}]",,,,,Kansas City Current,Away
2818596229,3,43,1,0,0,dzxypx8djih58p668surbi4qm,1,0.0,0.0,2025-05-24T23:30:29.066Z,2025-05-24T23:30:39Z,"[{'id': 5748471235, 'qualifierId': 56, 'value': 'Back'}, {'id': 5748471245, 'qualifierId': 279, 'value': 'S'}, {'id': 5748471695, 'qualifierId': 144, 'value': '1'}, {'id': 5748471241, 'qualifierId': 212, 'value': '15.3'}, {'id': 5748471237, 'qualifierId': 140, 'value': '64.9'}, {'id': 5748471243, 'qualifierId': 213, 'value': '3.05'}, {'id': 5748471239, 'qualifierId': 141, 'value': '47.9'}]",a652ucv412tcgm98cx2ri6psk,B. Franklin,,,Chicago Stars,Home
2818596327,3,1,1,0,1,agxipc0vk4rtg09amjxv10nx0,1,50.3,49.5,2025-05-24T23:30:30.495Z,2025-05-24T23:50:04Z,"[{'id': 5748551191, 'qualifierId': 213, 'value': '2.72'}, {'id': 5748551185, 'qualifierId': 140, 'value': '42.9'}, {'id': 5748551189, 'qualifierId': 212, 'value': '8.5'}, {'id': 5748551187, 'qualifierId': 141, 'value': '54.6'}, {'id': 5748551183, 'qualifierId': 56, 'value': 'Back'}]",47iatvbptp6438v5qo359yw9h,Bia Zaneratto,,,Kansas City Current,Away
2818596333,4,1,1,0,2,agxipc0vk4rtg09amjxv10nx0,1,43.7,54.6,2025-05-24T23:30:31.667Z,2025-05-25T00:21:36Z,"[{'id': 5748676265, 'qualifierId': 56, 'value': 'Center'}, {'id': 5748676267, 'qualifierId': 140, 'value': '55.7'}, {'id': 5748676269, 'qualifierId': 141, 'value': '52.8'}, {'id': 5748676271, 'qualifierId': 212, 'value': '12.7'}, {'id': 5748676273, 'qualifierId': 213, 'value': '6.19'}]",4c6z6g6q7jq62bznylu0kjnc9,L. LaBonta,,,Kansas City Current,Away
2818596345,5,1,1,0,3,agxipc0vk4rtg09amjxv10nx0,1,54.8,49.7,2025-05-24T23:30:32.746Z,2025-05-25T00:22:03Z,"[{'id': 5748677885, 'qualifierId': 56, 'value': 'Back'}, {'id': 5748677893, 'qualifierId': 213, 'value': '3.74'}, {'id': 5748677891, 'qualifierId': 212, 'value': '10.3'}, {'id': 5748677889, 'qualifierId': 141, 'value': '41.1'}, {'id': 5748677887, 'qualifierId': 140, 'value': '46.7'}]",47iatvbptp6438v5qo359yw9h,Bia Zaneratto,,,Kansas City Current,Away
2818596355,6,1,1,0,6,agxipc0vk4rtg09amjxv10nx0,1,44.9,38.0,2025-05-24T23:30:35.970Z,2025-05-25T00:22:19Z,"[{'id': 5748678961, 'qualifierId': 141, 'value': '49.5'}, {'id': 5748678963, 'qualifierId': 212, 'value': '13.3'}, {'id': 5748678959, 'qualifierId': 140, 'value': '34.6'}, {'id': 5748678957, 'qualifierId': 56, 'value': 'Back'}, {'id': 5748678965, 'qualifierId': 213, 'value': '2.52'}]",dv8265k3za578hkzxxuttqmdx,V. DiBernardo,,,Kansas City Current,Away
2818634685,390,1,1,0,10,agxipc0vk4rtg09amjxv10nx0,1,29.1,60.3,2025-05-24T23:30:39.065Z,2025-05-25T00:22:50Z,"[{'id': 5748681119, 'qualifierId': 56, 'value': 'Back'}, {'id': 5748681125, 'qualifierId': 212, 'value': '14.3'}, {'id': 5748681121, 'qualifierId': 140, 'value': '31.7'}, {'id': 5748681127, 'qualifierId': 213, 'value': '1.38'}, {'id': 5748681123, 'qualifierId': 141, 'value': '80.9'}]",48l2ildbeme2l336nor2hw6lm,E. Ball,,,Kansas City Current,Away
