id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier,playerId,playerName,keyPass,assist,Squad,Position
2818586167,1,34,16,0,0,eka22bj7co8bw5qxa6qlbinf8,1,0.0,0.0,2025-05-24T23:16:02.829Z,2025-05-25T00:04:25Z,"[{'id': 5748418009, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5748418001, 'qualifierId': 30, 'value': '1un4vc8t0zr8kh3u9ggug3i1g, 6fs7fjwxqpkgzosbb8364d4np, d5sinj3fevgaqcgwhtfno836c, 5zq8rn70v25d2bzfot40w07is, 6fl1ruianufxk3wj1cx8rrphx, 5zwpytehpeosi3sfckvkuy3md, 7pdog0usw4fwr3j3neexfz1ed, doowl2ugqjktazdorwia5kx9m, a88r8d1jd5r928pvskginyiqy, atcv5kiq1ez04nvfbrh9xhh5g, cnxanwub8nm1jokerrs83mk4q, iwbi7wnz7xl9dtiqrg0ka6ay, c1r1tmscj963olp4yo8kedqdx, 4j9un8594hl9gezwkdeafnbsa, bzn9r2st3lrb74jbrnosv75ec, 3h9iwb3ufzzbr5137qg7whses, ajm2otiy72xcni5pbtu1259n8, 58ggl2oa2ucyrv91ofv44ump6, 9by1d4orgqze7m8nldkrnwwrt, 4yor5z7hocccrrs0p85jf179w'}, {'id': 5748418013, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5748418003, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5748598805, 'qualifierId': 197, 'value': '28250'}, {'id': 5748418005, 'qualifierId': 59, 'value': '29, 3, 24, 15, 13, 4, 21, 41, 9, 7, 55, 5, 8, 11, 12, 14, 18, 20, 23, 32'}, {'id': 5748418011, 'qualifierId': 194, 'value': '6fl1ruianufxk3wj1cx8rrphx'}, {'id': 5748418007, 'qualifierId': 130, 'value': '6'}]",,,,,Bay,Away
2818589557,1,34,16,0,0,c3v2ohfuzoqmc8ljm65hi80sj,1,0.0,0.0,2025-05-24T23:20:44.226Z,2025-05-25T01:27:25Z,"[{'id': 5748605049, 'qualifierId': 197, 'value': '24270'}, {'id': 5748435597, 'qualifierId': 30, 'value': '706rwdwv4re27svfmlo7na3th, 61ucpn8qxos0kwaw0gdpqubys, 8ruvr2jnsfdub02rdh8q88s89, 2sc4jlfmioa61d1vgpcz0pht6, 8co65x7tuvynuqvket8okb7xl, 6zm75ruas324c7yrt18ttei8l, bdsv3kql5t6sw5ed2gsxmz2eh, 1c2boqmoi50esuelgdd96o06h, 95tl8tonvm6czhwzd6i5ep756, edwr7f7jwnxm1plk91fx8hfro, 270qzf9ig52z04iu3ujnmstg4, 53uflfknc5uus7iqw3obp5fx1, 191uogxjdg4uo178qv1544jys, 97ia01cyibu1l7qs8qexd2n3e, cgfk0e62cesbgieslfge2p61h, 6089nfwh31ha73pl7vlla75cl, bzk89svsd2os7tv4wsbfaiivo, n4egj8ymfled94mco0lwa95, 22rwy15pz3noi4av4wb3i0wh6, b3pwhedfzplkesy9qek3q6o7o'}, {'id': 5748435601, 'qualifierId': 59, 'value': '35, 15, 14, 8, 4, 25, 7, 24, 10, 22, 21, 1, 6, 12, 13, 17, 19, 20, 23, 29'}, {'id': 5748435609, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5748435599, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5748435607, 'qualifierId': 194, 'value': '6zm75ruas324c7yrt18ttei8l'}, {'id': 5748435605, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5748435603, 'qualifierId': 130, 'value': '2'}]",,,,,Houston Dash,Home
2818625249,2,32,1,0,0,c3v2ohfuzoqmc8ljm65hi80sj,1,0.0,0.0,2025-05-25T00:11:37.689Z,2025-05-25T00:11:37Z,"[{'id': 5748628237, 'qualifierId': 127, 'value': 'Right to Left'}]",,,,,Houston Dash,Home
2818625259,2,32,1,0,0,eka22bj7co8bw5qxa6qlbinf8,1,0.0,0.0,2025-05-25T00:11:37.689Z,2025-05-25T00:11:40Z,"[{'id': 5748628279, 'qualifierId': 127, 'value': 'Left to Right'}]",,,,,Bay,Away
2818625363,3,1,1,0,0,c3v2ohfuzoqmc8ljm65hi80sj,1,49.6,49.4,2025-05-25T00:11:37.714Z,2025-05-25T01:08:49Z,"[{'id': 5748628889, 'qualifierId': 56, 'value': 'Back'}, {'id': 5748628897, 'qualifierId': 213, 'value': '3.44'}, {'id': 5748628895, 'qualifierId': 212, 'value': '28.5'}, {'id': 5748628893, 'qualifierId': 141, 'value': '37.1'}, {'id': 5748628899, 'qualifierId': 279, 'value': 'S'}, {'id': 5748628891, 'qualifierId': 140, 'value': '23.7'}]",edwr7f7jwnxm1plk91fx8hfro,M. Alozie,,,Houston Dash,Home
2818625383,4,1,1,0,6,c3v2ohfuzoqmc8ljm65hi80sj,0,24.2,37.0,2025-05-25T00:11:44.173Z,2025-05-25T01:09:10Z,"[{'id': 5748628977, 'qualifierId': 212, 'value': '53.2'}, {'id': 5748628975, 'qualifierId': 141, 'value': '62.1'}, {'id': 5748628973, 'qualifierId': 140, 'value': '72.2'}, {'id': 5748628969, 'qualifierId': 157}, {'id': 5748628981, 'qualifierId': 1}, {'id': 5748628979, 'qualifierId': 213, 'value': '0.33'}, {'id': 5748628971, 'qualifierId': 56, 'value': 'Center'}]",706rwdwv4re27svfmlo7na3th,A. Smith,,,Houston Dash,Home
2818625467,3,1,1,0,8,eka22bj7co8bw5qxa6qlbinf8,1,29.7,29.5,2025-05-25T00:11:45.743Z,2025-05-25T00:11:49Z,"[{'id': 5748629399, 'qualifierId': 3}, {'id': 5748629413, 'qualifierId': 213, 'value': '5.79'}, {'id': 5748629409, 'qualifierId': 141, 'value': '18.7'}, {'id': 5748629411, 'qualifierId': 212, 'value': '15.6'}, {'id': 5748629403, 'qualifierId': 56, 'value': 'Back'}, {'id': 5748629405, 'qualifierId': 140, 'value': '42.8'}]",6fl1ruianufxk3wj1cx8rrphx,A. Dahlkemper,,,Bay,Away
2818625501,4,1,1,0,12,eka22bj7co8bw5qxa6qlbinf8,1,42.8,18.7,2025-05-25T00:11:49.773Z,2025-05-25T00:11:51Z,"[{'id': 5748629627, 'qualifierId': 212, 'value': '13.5'}, {'id': 5748629625, 'qualifierId': 141, 'value': '25.3'}, {'id': 5748629621, 'qualifierId': 56, 'value': 'Center'}, {'id': 5748629629, 'qualifierId': 213, 'value': '0.34'}, {'id': 5748629623, 'qualifierId': 140, 'value': '54.9'}]",7pdog0usw4fwr3j3neexfz1ed,R. Hill,,,Bay,Away
2818625513,5,1,1,0,13,eka22bj7co8bw5qxa6qlbinf8,0,54.9,25.3,2025-05-25T00:11:51.613Z,2025-05-25T00:11:52Z,"[{'id': 5748629733, 'qualifierId': 212, 'value': '15.6'}, {'id': 5748629721, 'qualifierId': 56, 'value': 'Right'}, {'id': 5748629729, 'qualifierId': 141, 'value': '7.7'}, {'id': 5748629719, 'qualifierId': 3}, {'id': 5748629725, 'qualifierId': 140, 'value': '64.4'}, {'id': 5748629737, 'qualifierId': 213, 'value': '5.41'}]",a88r8d1jd5r928pvskginyiqy,R. Kundananji,,,Bay,Away
2818625551,5,1,1,0,15,c3v2ohfuzoqmc8ljm65hi80sj,0,37.0,85.6,2025-05-25T00:11:53.282Z,2025-05-25T01:09:25Z,"[{'id': 5748629915, 'qualifierId': 157}, {'id': 5748629925, 'qualifierId': 213, 'value': '0.48'}, {'id': 5748629923, 'qualifierId': 212, 'value': '21.7'}, {'id': 5748629927, 'qualifierId': 1}, {'id': 5748629917, 'qualifierId': 56, 'value': 'Left'}, {'id': 5748629921, 'qualifierId': 141, 'value': '100.0'}, {'id': 5748629919, 'qualifierId': 140, 'value': '55.3'}]",8ruvr2jnsfdub02rdh8q88s89,P. Nielsen,,,Houston Dash,Home
