id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier,playerId,playerName,keyPass,assist,Squad,Position
2821527771,1,34,16,0,0,esvbnzqbyvxp2k570ez7h1a1g,1,0.0,0.0,2025-06-07T01:23:51.952Z,2025-06-07T02:13:43Z,"[{'id': 5764896597, 'qualifierId': 194, 'value': '4yb9avzbrzt8m4c4h1yy98jbp'}, {'id': 5764896593, 'qualifierId': 130, 'value': '8'}, {'id': 5764896595, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5764896591, 'qualifierId': 59, 'value': '1, 6, 75, 10, 3, 14, 20, 21, 9, 17, 25, 7, 11, 12, 15, 19, 28, 30, 31, 34'}, {'id': 5764896601, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5764896589, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5764896599, 'qualifierId': 197, 'value': '24267'}, {'id': 5764896587, 'qualifierId': 30, 'value': '4yb9avzbrzt8m4c4h1yy98jbp, auyj06nha2syoygo7prfadobu, 3x6baiktcpcjxxh258a5uebpx, dzfr9ktjmxqj2eh2xibt7konp, 9ms54l53wseuxarpn4vfcx9g4, 6p2318moul9op4hmigk1xbaw9, 3gu9gaz6w7eq79qnaqj3b7jdh, 6h8t7apz5vzk0pjxo8hbbkfhm, 321yjdo3gio1l33hc1pdps4wl, 7p8n46qssxb0drknt952vivbo, 5kaxtpwnuplnrodirmblx3cb8, 1he80t4tdvj86rbvng0956prd, efynp5qo9b9x0lh9b4ft0ic8a, 184w1exd2fg2pia1hanq3h5gp, 1p7mhkqn7vxnady8q0vboi02d, 7wy32l2np787xm3b61zyd79t6, bcliy6oxtz7380e9cyr38dj4k, 5awt3jkiwx648u4pz5rxwy96, bxf73uaptcz0uj7uy1g0euod1, 90uj2c13ubln7tk1c9y0ra4x6'}]",,,,,San Diego Wave,Home
2821528221,1,34,16,0,0,bl53jk6zlfe5f583pil7xzwi5,1,0.0,0.0,2025-06-07T01:27:47.854Z,2025-06-07T02:16:56Z,"[{'id': 5764899081, 'qualifierId': 59, 'value': '1, 24, 25, 3, 21, 23, 18, 16, 47, 30, 2, 99, 91, 31, 5, 8, 6, 14, 10, 20'}, {'id': 5764899077, 'qualifierId': 30, 'value': '2bb2dbogerxxvircnah8gw222, a3iv6ws325cyd1vmrowwx6ck4, 7v6cr5ohzfbu6gf0dvw05q8h6, 7lt9nze7e2mk2hlp9dkvabkyd, apl8fpqij3o30f21vh2tthe22, 78r84jt04ixcanyq0d0x7jmz8, 5uoom5ctl8apr1v3ew3bhrlgq, 3izdhhnuuxiomh66g4g0d0yc, e2q91279c3j489oaaqgb6iwb8, 7xb0niqg08hrxk8i2nq8zvfth, dlm4h2alfw0llbz4mkdq7hu96, 30pt4uhplyxm0ljkqsffaw7x0, 7im1atd7ziav111a9o6mh9gid, e6lfu5kktkjhzou72epnwl13p, anwmefu9etrn8i0r74r1jg9g, z8vdz64bgqus4c85451nsrf9, cm6fzm8v38ti0aubu0q4v717t, 1msrx80nnfp04v03t5jkoo76y, 93d5k82qrmjr894k2hp5aril1, 3jl8cvp50cy5o4pt1u8h4a2cq'}, {'id': 5764899085, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5764899087, 'qualifierId': 194, 'value': '7lt9nze7e2mk2hlp9dkvabkyd'}, {'id': 5764899083, 'qualifierId': 130, 'value': '18'}, {'id': 5764899079, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5764899091, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5764899089, 'qualifierId': 197, 'value': '24258'}]",,,,,Seattle Reign,Away
2821532731,2,32,1,0,0,esvbnzqbyvxp2k570ez7h1a1g,1,0.0,0.0,2025-06-07T02:10:32.040Z,2025-06-07T02:10:34Z,"[{'id': 5764927817, 'qualifierId': 127, 'value': 'Left to Right'}]",,,,,San Diego Wave,Home
2821532729,2,32,1,0,0,bl53jk6zlfe5f583pil7xzwi5,1,0.0,0.0,2025-06-07T02:10:32.040Z,2025-06-07T02:10:32Z,"[{'id': 5764927815, 'qualifierId': 127, 'value': 'Right to Left'}]",,,,,Seattle Reign,Away
2821532753,3,1,1,0,0,esvbnzqbyvxp2k570ez7h1a1g,1,49.9,50.0,2025-06-07T02:10:32.041Z,2025-06-07T02:19:18Z,"[{'id': 5764927895, 'qualifierId': 212, 'value': '25.8'}, {'id': 5764927891, 'qualifierId': 140, 'value': '25.3'}, {'id': 5764927889, 'qualifierId': 56, 'value': 'Back'}, {'id': 5764927897, 'qualifierId': 213, 'value': '3.12'}, {'id': 5764927893, 'qualifierId': 141, 'value': '51.0'}, {'id': 5764927899, 'qualifierId': 279, 'value': 'S'}]",6h8t7apz5vzk0pjxo8hbbkfhm,S. McCaskill,,,San Diego Wave,Home
2821532777,4,1,1,0,5,esvbnzqbyvxp2k570ez7h1a1g,1,29.4,50.9,2025-06-07T02:10:37.972Z,2025-06-07T02:10:41Z,"[{'id': 5764927993, 'qualifierId': 157}, {'id': 5764927997, 'qualifierId': 140, 'value': '75.1'}, {'id': 5764927995, 'qualifierId': 56, 'value': 'Center'}, {'id': 5764928009, 'qualifierId': 1}, {'id': 5764928001, 'qualifierId': 141, 'value': '73.6'}, {'id': 5764928005, 'qualifierId': 212, 'value': '50.4'}, {'id': 5764928007, 'qualifierId': 213, 'value': '0.31'}]",4yb9avzbrzt8m4c4h1yy98jbp,K. Sheridan,,,San Diego Wave,Home
2821532781,5,44,1,0,8,esvbnzqbyvxp2k570ez7h1a1g,1,68.6,70.9,2025-06-07T02:10:40.707Z,2025-06-07T02:19:37Z,"[{'id': 5764928027, 'qualifierId': 286}, {'id': 5764928045, 'qualifierId': 233, 'value': '3'}, {'id': 5764928025, 'qualifierId': 56, 'value': 'Center'}]",7p8n46qssxb0drknt952vivbo,K. Ascanio,,,San Diego Wave,Home
2821532787,3,44,1,0,8,bl53jk6zlfe5f583pil7xzwi5,0,31.4,29.1,2025-06-07T02:10:40.708Z,2025-06-07T02:19:37Z,"[{'id': 5764928039, 'qualifierId': 285}, {'id': 5764928037, 'qualifierId': 56, 'value': 'Back'}, {'id': 5764928049, 'qualifierId': 233, 'value': '5'}]",78r84jt04ixcanyq0d0x7jmz8,J. Bugg,,,Seattle Reign,Away
2821532793,6,1,1,0,9,esvbnzqbyvxp2k570ez7h1a1g,0,75.1,73.6,2025-06-07T02:10:41.683Z,2025-06-07T02:19:34Z,"[{'id': 5764928067, 'qualifierId': 3}, {'id': 5764928073, 'qualifierId': 140, 'value': '80.2'}, {'id': 5764928077, 'qualifierId': 212, 'value': '5.4'}, {'id': 5764928075, 'qualifierId': 141, 'value': '74.7'}, {'id': 5764928071, 'qualifierId': 56, 'value': 'Center'}, {'id': 5764928079, 'qualifierId': 213, 'value': '0.14'}, {'id': 5764928069, 'qualifierId': 168}]",7p8n46qssxb0drknt952vivbo,K. Ascanio,,,San Diego Wave,Home
2821535083,118,61,1,0,10,esvbnzqbyvxp2k570ez7h1a1g,0,69.7,80.1,2025-06-07T02:10:42.878Z,2025-06-07T02:20:19Z,"[{'id': 5764938907, 'qualifierId': 56, 'value': 'Left'}]",5kaxtpwnuplnrodirmblx3cb8,M. Barcenas,,,San Diego Wave,Home
