id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier,playerId,playerName,keyPass,assist,Squad,Position
2821664129,1,34,16,0,0,eka22bj7co8bw5qxa6qlbinf8,1,0.0,0.0,2025-06-07T22:40:41.938Z,2025-06-07T23:25:27Z,"[{'id': 5765655719, 'qualifierId': 59, 'value': '29, 3, 20, 15, 13, 2, 21, 41, 8, 7, 55, 32, 9, 11, 12, 17, 19, 23, 24, 5'}, {'id': 5765715345, 'qualifierId': 197, 'value': '28250'}, {'id': 5765655727, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5765655721, 'qualifierId': 130, 'value': '6'}, {'id': 5765655715, 'qualifierId': 30, 'value': '1un4vc8t0zr8kh3u9ggug3i1g, 6fs7fjwxqpkgzosbb8364d4np, 58ggl2oa2ucyrv91ofv44ump6, 5zq8rn70v25d2bzfot40w07is, 6fl1ruianufxk3wj1cx8rrphx, 2lyemolpxnfj8hbv9lcywynai, 7pdog0usw4fwr3j3neexfz1ed, doowl2ugqjktazdorwia5kx9m, c1r1tmscj963olp4yo8kedqdx, atcv5kiq1ez04nvfbrh9xhh5g, cnxanwub8nm1jokerrs83mk4q, 4yor5z7hocccrrs0p85jf179w, a88r8d1jd5r928pvskginyiqy, 4j9un8594hl9gezwkdeafnbsa, bzn9r2st3lrb74jbrnosv75ec, aknvwrqc5fk8wurg6487g5ck, 1ftms6bue2ezs3khsimk9sep6, 9by1d4orgqze7m8nldkrnwwrt, d5sinj3fevgaqcgwhtfno836c, iwbi7wnz7xl9dtiqrg0ka6ay'}, {'id': 5765655725, 'qualifierId': 194, 'value': '6fl1ruianufxk3wj1cx8rrphx'}, {'id': 5765655717, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5765655723, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}]",,,,,Bay,Home
2821664777,1,34,16,0,0,446mp88j1vpk9iwui9fiifrp8,1,0.0,0.0,2025-06-07T22:45:30.735Z,2025-06-07T23:36:21Z,"[{'id': 5765659159, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5765659155, 'qualifierId': 59, 'value': '1, 20, 2, 8, 16, 24, 15, 17, 26, 13, 7, 35, 34, 28, 29, 21, 66, 77, 14, 19'}, {'id': 5765659161, 'qualifierId': 194, 'value': 'cmolam8ri93kos2rasjhnuxyi'}, {'id': 5765659151, 'qualifierId': 30, 'value': '1yva0f096q2oqk5gz59utr42y, 7whcppsae8rxxj20zaxpx1wq1, 615vz7uoe3eiozddbe206io6h, 7in4ykzbs8p44qy4jrb10p0wl, 74uudh34v23m2z9gy5tdppxey, 8cjb3weg2uhmwh9l21gw0xqtw, 2x310j2wycjsv4nzblfqd7sru, cmolam8ri93kos2rasjhnuxyi, d0zsyv4xdt0hunaikjy3tde96, 7izc8t071mkrrgvptdjru467e, da2c3l9xeixo7o6byjutpgn4k, de78j1pit0elbm4ptskkflgk4, ap0166ueagw059fehsj6hh3h1, ahy8395hph7zxwvxx862qkus, a0kl9l751uxo86g2k2chqtw5w, ek8x7y3jt0xcebttt75qi5exh, 5b2dire687lp3dasdj2z3n0q2, 1115fgmv9xa3nwx3bu19jr9pl, azcxror0t5ede7nqobmhx9u6s, 2btfn8hbssn0dnszgyll1gopg'}, {'id': 5765659157, 'qualifierId': 130, 'value': '8'}, {'id': 5765659163, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5765715437, 'qualifierId': 197, 'value': '24254'}, {'id': 5765659153, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}]",,,,,Portland Thorns,Away
2821676773,2,32,1,0,0,eka22bj7co8bw5qxa6qlbinf8,1,0.0,0.0,2025-06-07T23:30:28.720Z,2025-06-07T23:30:29Z,"[{'id': 5765726317, 'qualifierId': 127, 'value': 'Left to Right'}]",,,,,Bay,Home
2821676765,2,32,1,0,0,446mp88j1vpk9iwui9fiifrp8,1,0.0,0.0,2025-06-07T23:30:28.720Z,2025-06-07T23:30:28Z,"[{'id': 5765726281, 'qualifierId': 127, 'value': 'Right to Left'}]",,,,,Portland Thorns,Away
2821676781,3,1,1,0,0,446mp88j1vpk9iwui9fiifrp8,1,50.0,50.0,2025-06-07T23:30:28.721Z,2025-06-07T23:30:31Z,"[{'id': 5765726369, 'qualifierId': 140, 'value': '37.7'}, {'id': 5765726367, 'qualifierId': 56, 'value': 'Back'}, {'id': 5765726373, 'qualifierId': 212, 'value': '14.5'}, {'id': 5765726375, 'qualifierId': 213, 'value': '2.67'}, {'id': 5765726377, 'qualifierId': 279, 'value': 'S'}, {'id': 5765726371, 'qualifierId': 141, 'value': '59.7'}]",d0zsyv4xdt0hunaikjy3tde96,M. Alidou,,,Portland Thorns,Away
2821676787,4,1,1,0,3,446mp88j1vpk9iwui9fiifrp8,1,37.7,59.7,2025-06-07T23:30:31.850Z,2025-06-07T23:30:32Z,"[{'id': 5765726405, 'qualifierId': 213, 'value': '6.12'}, {'id': 5765726407, 'qualifierId': 1}, {'id': 5765726401, 'qualifierId': 141, 'value': '50.9'}, {'id': 5765726399, 'qualifierId': 140, 'value': '72.6'}, {'id': 5765726403, 'qualifierId': 212, 'value': '37.1'}, {'id': 5765726397, 'qualifierId': 56, 'value': 'Center'}]",7izc8t071mkrrgvptdjru467e,O. Moultrie,,,Portland Thorns,Away
2821676807,5,1,1,0,3,446mp88j1vpk9iwui9fiifrp8,0,71.9,51.1,2025-06-07T23:30:32.690Z,2025-06-08T00:26:30Z,"[{'id': 5765859825, 'qualifierId': 212, 'value': '4.3'}, {'id': 5765859835, 'qualifierId': 233, 'value': '3'}, {'id': 5765859821, 'qualifierId': 140, 'value': '75.5'}, {'id': 5765859827, 'qualifierId': 213, 'value': '0.51'}, {'id': 5765859839, 'qualifierId': 286}, {'id': 5765726471, 'qualifierId': 56, 'value': 'Center'}, {'id': 5765859833, 'qualifierId': 236}, {'id': 5765859823, 'qualifierId': 141, 'value': '54.2'}]",d0zsyv4xdt0hunaikjy3tde96,M. Alidou,,,Portland Thorns,Away
2821676801,3,74,1,0,3,eka22bj7co8bw5qxa6qlbinf8,1,31.6,43.1,2025-06-07T23:30:32.691Z,2025-06-08T00:35:57Z,"[{'id': 5765859843, 'qualifierId': 233, 'value': '5'}, {'id': 5765726455, 'qualifierId': 56, 'value': 'Back'}, {'id': 5765726457, 'qualifierId': 285}]",6fl1ruianufxk3wj1cx8rrphx,A. Dahlkemper,,,Bay,Home
2821676819,6,1,1,0,7,446mp88j1vpk9iwui9fiifrp8,1,64.3,7.3,2025-06-07T23:30:35.962Z,2025-06-07T23:30:38Z,"[{'id': 5765726539, 'qualifierId': 213, 'value': '6.18'}, {'id': 5765726533, 'qualifierId': 140, 'value': '78.8'}, {'id': 5765726535, 'qualifierId': 141, 'value': '5.0'}, {'id': 5765726531, 'qualifierId': 56, 'value': 'Right'}, {'id': 5765726537, 'qualifierId': 212, 'value': '15.3'}]",7whcppsae8rxxj20zaxpx1wq1,K. Torpey,,,Portland Thorns,Away
2821676825,7,1,1,0,9,446mp88j1vpk9iwui9fiifrp8,1,78.8,5.0,2025-06-07T23:30:38.025Z,2025-06-07T23:30:39Z,"[{'id': 5765726575, 'qualifierId': 141, 'value': '4.9'}, {'id': 5765726577, 'qualifierId': 212, 'value': '16.7'}, {'id': 5765726571, 'qualifierId': 56, 'value': 'Right'}, {'id': 5765726579, 'qualifierId': 213, 'value': '3.15'}, {'id': 5765726573, 'qualifierId': 140, 'value': '62.9'}]",2x310j2wycjsv4nzblfqd7sru,P. Linnehan,,,Portland Thorns,Away
