id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier,playerId,playerName,assist,keyPass,Squad,Position
2821584653,1,34,16,0,0,agxipc0vk4rtg09amjxv10nx0,1,0.0,0.0,2025-06-07T16:18:45.210Z,2025-06-07T17:14:27Z,"[{'id': 5765212665, 'qualifierId': 59, 'value': '23, 4, 5, 11, 7, 27, 16, 14, 9, 17, 6, 81, 2, 13, 18, 22, 30, 33'}, {'id': 5765212669, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5765212671, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5765212663, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5765212661, 'qualifierId': 30, 'value': 'das6ydxiwz8trtyp98ss5i295, 9wvoeo39cgbelv8ddqin3aaga, 68sz2cp2lpnb8k36jkhr3wrje, 6k82rq8synvac950ext5t0jpx, 48l2ildbeme2l336nor2hw6lm, cl1av4qyzjkq03akjof6tdf1m, dv8265k3za578hkzxxuttqmdx, 6hyf258ii56nw917w0b4ekob8, 47iatvbptp6438v5qo359yw9h, e1irspfo9xupqz2sqvyq1zp0q, ccw8gtkcahxf21rutqldjvkve, 46r9yf1huh29ri0sbx0yum6ll, 2kjv07goaeqhl1pmjfywkglqs, 3qk8owv039ppiiev6skkkb52i, 736jvvtkgwc3g1vooviaod33d, errir6ade8y91vp5z7v8gkn6y, ambkmqohpux5r4cvtszfpeej8, dwyyvfgddxq2fimtbn6sxz21g'}, {'id': 5765239329, 'qualifierId': 194, 'value': 'dv8265k3za578hkzxxuttqmdx'}, {'id': 5765212667, 'qualifierId': 130, 'value': '4'}, {'id': 5765248065, 'qualifierId': 197, 'value': '28254'}]",,,,,Kansas City Current,Away
2821586845,1,34,16,0,0,bgkfdckqfqnfbmecbtz03n76d,1,0.0,0.0,2025-06-07T16:33:56.904Z,2025-06-07T17:07:35Z,"[{'id': 5765224517, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5765224509, 'qualifierId': 59, 'value': '30, 22, 4, 7, 14, 6, 10, 8, 9, 13, 23, 12, 3, 11, 16, 17, 21, 24, 34, 90'}, {'id': 5765224505, 'qualifierId': 30, 'value': '6fi5hacjc8lj8zej0d2lfq66t, 54szh8526rjp2erap05ljqxud, c6amo9ni4dou63jjan993dht6, 1zjvb0kej2m1kp1sl0hw8tmuh, aqihfnhadzdmi7i5bjfnphqms, 3aj7p478dcuat6tz8096sq8dl, dzhvgrdkl4nuj8z4fd9to0ag9, e0gmts9bxn8goqm3bz4835016, 13hy7ggmnhfalmdqlbp6lzv11, 4e2l88qfahs0ey4urydb96e7e, 56y5qt6c03t7f5t7eoebi0wyd, 5vb1j5w8876lkpw3sgf5g6f4k, co49l4m0my5li8yvcxgrvq0yy, 3gxgrg34v8ffgde2g0nbm92c4, 4j3kopvvd3iej6p4h9z36giqd, 1d0w87gdvjcorim34wblp5hqs, 5vbxfkptmc4fy8oent8ogistm, 9yoa6ehqan7po2q49famrk4d0, 47eshqoyaib3u78jfao4rmsr8, dtmvgia1wh01owv0splpjsftg'}, {'id': 5765244495, 'qualifierId': 197, 'value': '28252'}, {'id': 5765224507, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5765224515, 'qualifierId': 194, 'value': '54szh8526rjp2erap05ljqxud'}, {'id': 5765224511, 'qualifierId': 130, 'value': '8'}, {'id': 5765224513, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}]",,,,,Gotham FC,Home
2821591247,2,32,1,0,0,bgkfdckqfqnfbmecbtz03n76d,1,0.0,0.0,2025-06-07T17:07:11.825Z,2025-06-07T17:07:14Z,"[{'id': 5765248637, 'qualifierId': 127, 'value': 'Right to Left'}]",,,,,Gotham FC,Home
2821591245,2,32,1,0,0,agxipc0vk4rtg09amjxv10nx0,1,0.0,0.0,2025-06-07T17:07:11.825Z,2025-06-07T17:07:12Z,"[{'id': 5765248635, 'qualifierId': 127, 'value': 'Left to Right'}]",,,,,Kansas City Current,Away
2821591251,3,1,1,0,0,bgkfdckqfqnfbmecbtz03n76d,1,50.0,50.0,2025-06-07T17:07:11.826Z,2025-06-07T17:07:54Z,"[{'id': 5765248661, 'qualifierId': 279, 'value': 'S'}, {'id': 5765248653, 'qualifierId': 140, 'value': '33.4'}, {'id': 5765248651, 'qualifierId': 56, 'value': 'Back'}, {'id': 5765248659, 'qualifierId': 213, 'value': '2.47'}, {'id': 5765248655, 'qualifierId': 141, 'value': '70.2'}, {'id': 5765248657, 'qualifierId': 212, 'value': '22.2'}]",56y5qt6c03t7f5t7eoebi0wyd,M. Purce,,,Gotham FC,Home
2821591261,4,1,1,0,2,bgkfdckqfqnfbmecbtz03n76d,1,33.4,70.2,2025-06-07T17:07:14.378Z,2025-06-07T17:07:17Z,"[{'id': 5765248717, 'qualifierId': 212, 'value': '9.6'}, {'id': 5765248711, 'qualifierId': 56, 'value': 'Back'}, {'id': 5765248713, 'qualifierId': 140, 'value': '36.2'}, {'id': 5765248719, 'qualifierId': 213, 'value': '1.26'}, {'id': 5765248715, 'qualifierId': 141, 'value': '83.6'}]",3aj7p478dcuat6tz8096sq8dl,E. Sonnett,,,Gotham FC,Home
2821591265,5,1,1,0,5,bgkfdckqfqnfbmecbtz03n76d,0,37.7,84.7,2025-06-07T17:07:17.138Z,2025-06-07T17:07:19Z,"[{'id': 5765248745, 'qualifierId': 213, 'value': '0.07'}, {'id': 5765248747, 'qualifierId': 1}, {'id': 5765248743, 'qualifierId': 212, 'value': '38.2'}, {'id': 5765248737, 'qualifierId': 56, 'value': 'Left'}, {'id': 5765248739, 'qualifierId': 140, 'value': '74.0'}, {'id': 5765248741, 'qualifierId': 141, 'value': '88.7'}]",c6amo9ni4dou63jjan993dht6,L. Reale,,,Gotham FC,Home
2821591267,3,49,1,0,8,agxipc0vk4rtg09amjxv10nx0,1,31.7,10.6,2025-06-07T17:07:20.402Z,2025-06-07T17:07:20Z,[],9wvoeo39cgbelv8ddqin3aaga,H. Mace,,,Kansas City Current,Away
2821591273,4,1,1,0,8,agxipc0vk4rtg09amjxv10nx0,1,31.7,10.6,2025-06-07T17:07:20.560Z,2025-06-07T17:07:23Z,"[{'id': 5765248761, 'qualifierId': 213, 'value': '0.52'}, {'id': 5765248753, 'qualifierId': 56, 'value': 'Back'}, {'id': 5765248759, 'qualifierId': 212, 'value': '11.4'}, {'id': 5765248755, 'qualifierId': 140, 'value': '41.1'}, {'id': 5765248757, 'qualifierId': 141, 'value': '18.9'}]",9wvoeo39cgbelv8ddqin3aaga,H. Mace,,,Kansas City Current,Away
2821591281,5,1,1,0,11,agxipc0vk4rtg09amjxv10nx0,1,42.4,25.0,2025-06-07T17:07:23.135Z,2025-06-07T17:07:24Z,"[{'id': 5765248787, 'qualifierId': 212, 'value': '18.6'}, {'id': 5765248785, 'qualifierId': 141, 'value': '51.9'}, {'id': 5765248789, 'qualifierId': 213, 'value': '1.75'}, {'id': 5765248781, 'qualifierId': 56, 'value': 'Back'}, {'id': 5765248783, 'qualifierId': 140, 'value': '39.3'}]",dv8265k3za578hkzxxuttqmdx,V. DiBernardo,,,Kansas City Current,Away
