id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier,playerId,playerName,keyPass,Squad,Position
2821660305,1,34,16,0,0,966pdxhsoxaib9qt5083h8uus,1,0.0,0.0,2025-06-07T22:11:30.287Z,2025-06-07T23:32:06Z,"[{'id': 5765634253, 'qualifierId': 130, 'value': '12'}, {'id': 5765634247, 'qualifierId': 30, 'value': '7e8f4kfwcucaj4239xz0rai1h, 2lh6bupkrijpm9n916446nbop, 6zvfcc67po0ofvl1twrv13tg5, dyfsbff9jueyw5jhjou424bo4, 1uf4321zvio3hrwfu4z4jxp7t, 9yvkpwm78jaqr321imfc3rrbo, 3cyj9a2fjtx4xd0bqdh6g3azu, 68njvqucip0ehuz4eecppvq0a, 3sgg664ay83kxhe17ogbke978, eigt6t2rj0k98zt1isqrvtvqh, 6uui5rxnfn6y5rkcsbuloiui, 93mr62mbyeymgcad2qhpvt2qc, 23nuijdnnuiwzkd5cf7jbyajt, bp34vn963cxgnx6b7q7sig9hw, 642fsrjj1seobmhxeefruv578, dy302yj9tjby62ur1u8ab8rxm, 77agy8f4m7ybib2cssdfsltuy, c811si1xw5he6ih0o1mj94tsl, e2obgph6szyo04em3qr94g1qt, 6fhiz0epsutfcs1xqfhcuomad'}, {'id': 5765634257, 'qualifierId': 194, 'value': '1uf4321zvio3hrwfu4z4jxp7t'}, {'id': 5765671835, 'qualifierId': 197, 'value': '24302'}, {'id': 5765634255, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5765634259, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5765634249, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5765634251, 'qualifierId': 59, 'value': '1, 21, 19, 25, 3, 6, 2, 28, 20, 11, 30, 40, 15, 9, 34, 12, 14, 10, 22, 16'}]",,,,Orlando Pride,Home
2821660867,1,34,16,0,0,c3v2ohfuzoqmc8ljm65hi80sj,1,0.0,0.0,2025-06-07T22:14:53.280Z,2025-06-07T23:30:56Z,"[{'id': 5765637299, 'qualifierId': 130, 'value': '11'}, {'id': 5765637303, 'qualifierId': 194, 'value': '6zm75ruas324c7yrt18ttei8l'}, {'id': 5765637295, 'qualifierId': 44, 'value': '1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5765637301, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5765637297, 'qualifierId': 59, 'value': '35, 23, 21, 14, 25, 4, 7, 8, 11, 24, 10, 1, 6, 12, 13, 17, 19, 20, 22, 29'}, {'id': 5765637293, 'qualifierId': 30, 'value': '706rwdwv4re27svfmlo7na3th, 22rwy15pz3noi4av4wb3i0wh6, 270qzf9ig52z04iu3ujnmstg4, 8ruvr2jnsfdub02rdh8q88s89, 6zm75ruas324c7yrt18ttei8l, 8co65x7tuvynuqvket8okb7xl, bdsv3kql5t6sw5ed2gsxmz2eh, 2sc4jlfmioa61d1vgpcz0pht6, 1xgse8t4dm0decmpzebsphvfu, 1c2boqmoi50esuelgdd96o06h, 95tl8tonvm6czhwzd6i5ep756, 53uflfknc5uus7iqw3obp5fx1, 191uogxjdg4uo178qv1544jys, 97ia01cyibu1l7qs8qexd2n3e, cgfk0e62cesbgieslfge2p61h, 6089nfwh31ha73pl7vlla75cl, bzk89svsd2os7tv4wsbfaiivo, n4egj8ymfled94mco0lwa95, edwr7f7jwnxm1plk91fx8hfro, b3pwhedfzplkesy9qek3q6o7o'}, {'id': 5765637305, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5765671817, 'qualifierId': 197, 'value': '24270'}]",,,,Houston Dash,Away
2821668225,2,32,1,0,0,c3v2ohfuzoqmc8ljm65hi80sj,1,0.0,0.0,2025-06-07T23:08:51.538Z,2025-06-07T23:08:51Z,"[{'id': 5765678491, 'qualifierId': 127, 'value': 'Left to Right'}]",,,,Houston Dash,Away
2821668231,3,32,1,0,0,966pdxhsoxaib9qt5083h8uus,1,0.0,0.0,2025-06-07T23:08:51.538Z,2025-06-07T23:08:53Z,"[{'id': 5765678525, 'qualifierId': 127, 'value': 'Right to Left'}]",,,,Orlando Pride,Home
2821668247,4,1,1,0,0,966pdxhsoxaib9qt5083h8uus,1,50.0,50.0,2025-06-07T23:08:51.539Z,2025-06-07T23:08:54Z,"[{'id': 5765678581, 'qualifierId': 56, 'value': 'Back'}, {'id': 5765678591, 'qualifierId': 279, 'value': 'S'}, {'id': 5765678587, 'qualifierId': 212, 'value': '10.7'}, {'id': 5765678583, 'qualifierId': 140, 'value': '41.3'}, {'id': 5765678589, 'qualifierId': 213, 'value': '3.69'}, {'id': 5765678585, 'qualifierId': 141, 'value': '41.8'}]",3sgg664ay83kxhe17ogbke978,J. Doyle,,Orlando Pride,Home
2821668265,5,1,1,0,2,966pdxhsoxaib9qt5083h8uus,1,41.2,40.9,2025-06-07T23:08:54.256Z,2025-06-07T23:08:56Z,"[{'id': 5765678697, 'qualifierId': 213, 'value': '3.56'}, {'id': 5765678693, 'qualifierId': 141, 'value': '34.3'}, {'id': 5765678695, 'qualifierId': 212, 'value': '11.1'}, {'id': 5765678689, 'qualifierId': 140, 'value': '31.5'}, {'id': 5765678685, 'qualifierId': 56, 'value': 'Back'}]",3cyj9a2fjtx4xd0bqdh6g3azu,H. McCutcheon,,Orlando Pride,Home
2821668287,6,1,1,0,4,966pdxhsoxaib9qt5083h8uus,1,31.5,34.3,2025-06-07T23:08:56.304Z,2025-06-07T23:09:00Z,"[{'id': 5765678811, 'qualifierId': 213, 'value': '1.70'}, {'id': 5765678803, 'qualifierId': 56, 'value': 'Back'}, {'id': 5765678809, 'qualifierId': 212, 'value': '16.8'}, {'id': 5765678805, 'qualifierId': 140, 'value': '29.4'}, {'id': 5765678807, 'qualifierId': 141, 'value': '58.8'}]",9yvkpwm78jaqr321imfc3rrbo,E. Sams,,Orlando Pride,Home
2821668305,7,1,1,0,8,966pdxhsoxaib9qt5083h8uus,1,32.7,60.8,2025-06-07T23:08:59.936Z,2025-06-07T23:09:03Z,"[{'id': 5765678897, 'qualifierId': 212, 'value': '18.5'}, {'id': 5765678891, 'qualifierId': 56, 'value': 'Back'}, {'id': 5765678899, 'qualifierId': 213, 'value': '4.60'}, {'id': 5765678895, 'qualifierId': 141, 'value': '33.7'}, {'id': 5765678893, 'qualifierId': 140, 'value': '30.8'}]",1uf4321zvio3hrwfu4z4jxp7t,K. Nadaner,,Orlando Pride,Home
2821668315,8,1,1,0,11,966pdxhsoxaib9qt5083h8uus,1,31.7,29.8,2025-06-07T23:09:02.976Z,2025-06-07T23:09:04Z,"[{'id': 5765678943, 'qualifierId': 140, 'value': '40.1'}, {'id': 5765678947, 'qualifierId': 212, 'value': '19.0'}, {'id': 5765678945, 'qualifierId': 141, 'value': '5.0'}, {'id': 5765678949, 'qualifierId': 213, 'value': '5.19'}, {'id': 5765678941, 'qualifierId': 56, 'value': 'Back'}]",9yvkpwm78jaqr321imfc3rrbo,E. Sams,,Orlando Pride,Home
2821668341,9,1,1,0,12,966pdxhsoxaib9qt5083h8uus,1,40.1,5.0,2025-06-07T23:09:04.336Z,2025-06-07T23:09:07Z,"[{'id': 5765679029, 'qualifierId': 213, 'value': '2.41'}, {'id': 5765679025, 'qualifierId': 141, 'value': '19.7'}, {'id': 5765679021, 'qualifierId': 56, 'value': 'Back'}, {'id': 5765679023, 'qualifierId': 140, 'value': '29.6'}, {'id': 5765679027, 'qualifierId': 212, 'value': '14.9'}]",2lh6bupkrijpm9n916446nbop,Oihane Hernández,,Orlando Pride,Home
2821668351,10,1,1,0,15,966pdxhsoxaib9qt5083h8uus,1,29.5,26.8,2025-06-07T23:09:07.104Z,2025-06-07T23:09:08Z,"[{'id': 5765679081, 'qualifierId': 212, 'value': '13.8'}, {'id': 5765679077, 'qualifierId': 140, 'value': '28.0'}, {'id': 5765679075, 'qualifierId': 56, 'value': 'Back'}, {'id': 5765679079, 'qualifierId': 141, 'value': '47.0'}, {'id': 5765679083, 'qualifierId': 213, 'value': '1.68'}]",9yvkpwm78jaqr321imfc3rrbo,E. Sams,,Orlando Pride,Home
2821668373,11,1,1,0,17,966pdxhsoxaib9qt5083h8uus,1,28.1,51.6,2025-06-07T23:09:08.832Z,2025-06-07T23:09:12Z,"[{'id': 5765679225, 'qualifierId': 141, 'value': '76.3'}, {'id': 5765679229, 'qualifierId': 213, 'value': '1.57'}, {'id': 5765679219, 'qualifierId': 56, 'value': 'Back'}, {'id': 5765679223, 'qualifierId': 140, 'value': '28.1'}, {'id': 5765679227, 'qualifierId': 212, 'value': '16.8'}]",1uf4321zvio3hrwfu4z4jxp7t,K. Nadaner,,Orlando Pride,Home
