id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier,playerId,playerName,keyPass,assist,Squad,Position
2821810841,1,34,16,0,0,b4fbmos00gxtk8qnaqsm392p5,1,0.0,0.0,2025-06-08T19:12:37.019Z,2025-06-08T22:40:26Z,"[{'id': 5766482607, 'qualifierId': 194, 'value': '7fk82cjz0z5vq2ts3vmz8has5'}, {'id': 5766482605, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5766482609, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5766482603, 'qualifierId': 130, 'value': '17'}, {'id': 5766482599, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5766482601, 'qualifierId': 59, 'value': '1, 13, 11, 12, 7, 3, 10, 16, 22, 2, 34, 44, 8, 14, 19, 20, 25, 27, 30, 77'}, {'id': 5766550129, 'qualifierId': 197, 'value': '28553'}, {'id': 5766482597, 'qualifierId': 30, 'value': '3qj9t05behkav9okd8n2wywh5, 1x229gvjahkxp7w02bh0v36ga, cbofbntctfuhr1vqpn7eywt05, 75p1ff1723mzkbs7tfke3j9m2, cqpdeqi0psfadqsgejcvdqqne, 1p3bwk03ay87hp2nwrl3tfxwq, 7fk82cjz0z5vq2ts3vmz8has5, bxj6bpjfxkumj112yoco9wahg, 3ytdxf659yjtnml5zzpxl01k9, cwerr3zz6pqzzzqso9dx69fjd, 90bm7jsl7sjqiel7u2tv0vgq2, p6mq2ouc50vln1ou3cyg0lqs, 54ieoaegysojsey2jmqtr9ucp, awme1kk0t2w81hc4xcup7k222, 4k83z2cdvn2kwb72kh8e8qfsa, 8afwde4025w5wxddyf2ouoine, 817x7baq69b1tnrtminbjf3zd, cbco4ht0d7uk1thgam6vc0ep6, 2sylxhwmisg8f763p2t1q934k, 51tbo9972xjvl7ekjps7o4hlg'}]",,,,,North Carolina Courage,Away
2821811415,1,34,16,0,0,f1ks82wpiewyqs6h3oz9v4hzj,1,0.0,0.0,2025-06-08T19:15:33.528Z,2025-06-08T20:15:02Z,"[{'id': 5766485823, 'qualifierId': 130, 'value': '8'}, {'id': 5766485829, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5766485827, 'qualifierId': 194, 'value': 'd9dirjpaqkq3gga2zyeykcv6d'}, {'id': 5766485825, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5766485819, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5766485817, 'qualifierId': 30, 'value': 'd9dirjpaqkq3gga2zyeykcv6d, en29qfiuu01nsmekoqhycjo45, 4ullol3wa4qdi9ydgrxgxbcgl, b8xa1whpr8m3e5zbziz9e91bd, 1v67tba1l3sxow1geovdqefo5, bo5e35lsptja0pnlvk1y38dex, 42vdmyzhg3m7or9duzcuwkusp, coy005g9noltjta4ka7utllp0, yay5mq8trvoxv9mwm4mqzn8q, 4wgwp2bd4xrjbg7s4p193aooa, 4h6jpaeqynme21y5gnho24ob8, 6vqain7mmp94wueprv9aj5xp1, 73q03evwuq5rdm7scz31yj4a2, 27dktxivmcqmi1lkz1vs49qi2, 1jlc387u7fdpnnus9nlsb179w, bz6tei03n7cj4mbdsx20wd0yc, 8jc8ndxlodfrhxxao3k1fknbo, 9faqkjlq89sh0y2vnstt24e1g, 281339664uiyf2kagsl6gsvf8'}, {'id': 5766549115, 'qualifierId': 197, 'value': '28068'}, {'id': 5766485821, 'qualifierId': 59, 'value': '1, 14, 3, 5, 4, 24, 13, 17, 21, 7, 16, 28, 8, 9, 19, 22, 25, 35, 34'}]",,,,,Washington Spirit,Home
2821823011,2,32,1,0,0,f1ks82wpiewyqs6h3oz9v4hzj,1,0.0,0.0,2025-06-08T20:09:04.254Z,2025-06-08T20:09:06Z,"[{'id': 5766550237, 'qualifierId': 127, 'value': 'Right to Left'}]",,,,,Washington Spirit,Home
2821823005,3,32,1,0,0,b4fbmos00gxtk8qnaqsm392p5,1,0.0,0.0,2025-06-08T20:09:04.254Z,2025-06-08T20:09:04Z,"[{'id': 5766550229, 'qualifierId': 127, 'value': 'Left to Right'}]",,,,,North Carolina Courage,Away
2821823025,4,1,1,0,0,b4fbmos00gxtk8qnaqsm392p5,1,50.2,49.3,2025-06-08T20:09:04.255Z,2025-06-08T20:58:16Z,"[{'id': 5766550307, 'qualifierId': 140, 'value': '27.9'}, {'id': 5766550311, 'qualifierId': 212, 'value': '23.5'}, {'id': 5766550305, 'qualifierId': 56, 'value': 'Back'}, {'id': 5766550309, 'qualifierId': 141, 'value': '51.8'}, {'id': 5766550315, 'qualifierId': 279, 'value': 'S'}, {'id': 5766550313, 'qualifierId': 213, 'value': '3.07'}]",3ytdxf659yjtnml5zzpxl01k9,C. Vine,,,North Carolina Courage,Away
2821823033,5,1,1,0,4,b4fbmos00gxtk8qnaqsm392p5,0,27.9,51.8,2025-06-08T20:09:08.536Z,2025-06-08T20:58:19Z,"[{'id': 5766550359, 'qualifierId': 157}, {'id': 5766550369, 'qualifierId': 213, 'value': '5.91'}, {'id': 5766550363, 'qualifierId': 140, 'value': '78.1'}, {'id': 5766550367, 'qualifierId': 212, 'value': '56.6'}, {'id': 5766550371, 'qualifierId': 1}, {'id': 5766550361, 'qualifierId': 56, 'value': 'Center'}, {'id': 5766550365, 'qualifierId': 141, 'value': '21.3'}]",cqpdeqi0psfadqsgejcvdqqne,M. Berkely,,,North Carolina Courage,Away
2821823051,3,12,1,0,7,f1ks82wpiewyqs6h3oz9v4hzj,1,23.8,83.9,2025-06-08T20:09:11.380Z,2025-06-08T21:09:24Z,"[{'id': 5766550433, 'qualifierId': 56, 'value': 'Back'}, {'id': 5766550439, 'qualifierId': 212, 'value': '20.2'}, {'id': 5766643539, 'qualifierId': 15}, {'id': 5766550441, 'qualifierId': 213, 'value': '0.02'}, {'id': 5766550435, 'qualifierId': 140, 'value': '43.0'}, {'id': 5766550437, 'qualifierId': 141, 'value': '84.5'}]",4ullol3wa4qdi9ydgrxgxbcgl,C. Krueger,,,Washington Spirit,Home
2821823095,6,1,1,0,13,b4fbmos00gxtk8qnaqsm392p5,1,32.3,8.5,2025-06-08T20:09:18.057Z,2025-06-08T20:58:53Z,"[{'id': 5766550749, 'qualifierId': 140, 'value': '20.9'}, {'id': 5766550753, 'qualifierId': 212, 'value': '23.8'}, {'id': 5766550747, 'qualifierId': 56, 'value': 'Back'}, {'id': 5766550751, 'qualifierId': 141, 'value': '38.8'}, {'id': 5766550755, 'qualifierId': 213, 'value': '2.10'}]",1p3bwk03ay87hp2nwrl3tfxwq,K. Kurtz,,,North Carolina Courage,Away
2821837281,434,1,1,0,16,b4fbmos00gxtk8qnaqsm392p5,1,21.1,41.6,2025-06-08T20:09:20.254Z,2025-06-08T20:59:08Z,"[{'id': 5766631271, 'qualifierId': 213, 'value': '5.33'}, {'id': 5766631267, 'qualifierId': 141, 'value': '31.8'}, {'id': 5766631265, 'qualifierId': 140, 'value': '25.6'}, {'id': 5766631263, 'qualifierId': 56, 'value': 'Back'}, {'id': 5766631269, 'qualifierId': 212, 'value': '8.2'}]",3qj9t05behkav9okd8n2wywh5,C. Murphy,,,North Carolina Courage,Away
2821823115,7,1,1,0,23,b4fbmos00gxtk8qnaqsm392p5,1,26.0,30.0,2025-06-08T20:09:27.425Z,2025-06-08T20:59:14Z,"[{'id': 5766550823, 'qualifierId': 141, 'value': '9.5'}, {'id': 5766550829, 'qualifierId': 1}, {'id': 5766550825, 'qualifierId': 212, 'value': '46.7'}, {'id': 5766550827, 'qualifierId': 213, 'value': '5.98'}, {'id': 5766550819, 'qualifierId': 56, 'value': 'Right'}, {'id': 5766550821, 'qualifierId': 140, 'value': '68.4'}, {'id': 5766550817, 'qualifierId': 155}]",cqpdeqi0psfadqsgejcvdqqne,M. Berkely,,,North Carolina Courage,Away
