id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier,playerId,playerName,keyPass,assist,Squad,Position
2822433767,1,34,16,0,0,966pdxhsoxaib9qt5083h8uus,1,0.0,0.0,2025-06-14T01:09:26.070Z,2025-06-14T02:20:14Z,"[{'id': 5769982353, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5769982357, 'qualifierId': 197, 'value': '25922'}, {'id': 5769982349, 'qualifierId': 59, 'value': '1, 12, 19, 15, 6, 3, 11, 2, 22, 10, 28, 40, 9, 14, 20, 30, 34, 21, 25'}, {'id': 5769982355, 'qualifierId': 194, 'value': '1uf4321zvio3hrwfu4z4jxp7t'}, {'id': 5769982345, 'qualifierId': 30, 'value': '7e8f4kfwcucaj4239xz0rai1h, dy302yj9tjby62ur1u8ab8rxm, 6zvfcc67po0ofvl1twrv13tg5, 23nuijdnnuiwzkd5cf7jbyajt, 9yvkpwm78jaqr321imfc3rrbo, 1uf4321zvio3hrwfu4z4jxp7t, eigt6t2rj0k98zt1isqrvtvqh, 3cyj9a2fjtx4xd0bqdh6g3azu, e2obgph6szyo04em3qr94g1qt, c811si1xw5he6ih0o1mj94tsl, 68njvqucip0ehuz4eecppvq0a, 93mr62mbyeymgcad2qhpvt2qc, bp34vn963cxgnx6b7q7sig9hw, 77agy8f4m7ybib2cssdfsltuy, 3sgg664ay83kxhe17ogbke978, 6uui5rxnfn6y5rkcsbuloiui, 642fsrjj1seobmhxeefruv578, 2lh6bupkrijpm9n916446nbop, dyfsbff9jueyw5jhjou424bo4'}, {'id': 5769982347, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5769982359, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5769982351, 'qualifierId': 130, 'value': '2'}]",,,,,Orlando Pride,Away
2822434001,1,34,16,0,0,eka22bj7co8bw5qxa6qlbinf8,1,0.0,0.0,2025-06-14T01:12:49.609Z,2025-06-14T02:12:00Z,"[{'id': 5769983707, 'qualifierId': 30, 'value': '4yor5z7hocccrrs0p85jf179w, 6fs7fjwxqpkgzosbb8364d4np, 58ggl2oa2ucyrv91ofv44ump6, doowl2ugqjktazdorwia5kx9m, 6fl1ruianufxk3wj1cx8rrphx, 4j9un8594hl9gezwkdeafnbsa, iwbi7wnz7xl9dtiqrg0ka6ay, 9by1d4orgqze7m8nldkrnwwrt, c1r1tmscj963olp4yo8kedqdx, atcv5kiq1ez04nvfbrh9xhh5g, a88r8d1jd5r928pvskginyiqy, 5q924z85a5bmydk32gr9gz71m, bzn9r2st3lrb74jbrnosv75ec, 3h9iwb3ufzzbr5137qg7whses, 5zq8rn70v25d2bzfot40w07is, ajm2otiy72xcni5pbtu1259n8, 7pdog0usw4fwr3j3neexfz1ed, d5sinj3fevgaqcgwhtfno836c, 1ftms6bue2ezs3khsimk9sep6, cnxanwub8nm1jokerrs83mk4q'}, {'id': 5769983715, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5769983717, 'qualifierId': 194, 'value': '6fl1ruianufxk3wj1cx8rrphx'}, {'id': 5769983713, 'qualifierId': 130, 'value': '8'}, {'id': 5769983719, 'qualifierId': 197, 'value': '28250'}, {'id': 5769983721, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5769983709, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5769983711, 'qualifierId': 59, 'value': '32, 3, 20, 41, 13, 11, 5, 23, 8, 7, 9, 1, 12, 14, 15, 18, 21, 24, 19, 55'}]",,,,,Bay,Home
2822440945,2,32,1,0,0,966pdxhsoxaib9qt5083h8uus,1,0.0,0.0,2025-06-14T02:10:18.868Z,2025-06-14T02:10:18Z,"[{'id': 5770022807, 'qualifierId': 127, 'value': 'Right to Left'}]",,,,,Orlando Pride,Away
2822440947,2,32,1,0,0,eka22bj7co8bw5qxa6qlbinf8,1,0.0,0.0,2025-06-14T02:10:18.868Z,2025-06-14T02:10:19Z,"[{'id': 5770022809, 'qualifierId': 127, 'value': 'Left to Right'}]",,,,,Bay,Home
2822440955,3,1,1,0,0,966pdxhsoxaib9qt5083h8uus,1,50.0,50.0,2025-06-14T02:10:18.874Z,2025-06-14T02:21:31Z,"[{'id': 5770022851, 'qualifierId': 212, 'value': '23.3'}, {'id': 5770022847, 'qualifierId': 140, 'value': '28.0'}, {'id': 5770022845, 'qualifierId': 56, 'value': 'Back'}, {'id': 5770022855, 'qualifierId': 279, 'value': 'S'}, {'id': 5770022849, 'qualifierId': 141, 'value': '45.5'}, {'id': 5770022853, 'qualifierId': 213, 'value': '3.27'}]",c811si1xw5he6ih0o1mj94tsl,Marta,,,Orlando Pride,Away
2822440957,4,1,1,0,3,966pdxhsoxaib9qt5083h8uus,0,28.0,45.5,2025-06-14T02:10:22.355Z,2025-06-14T02:10:25Z,"[{'id': 5770022869, 'qualifierId': 56, 'value': 'Center'}, {'id': 5770022879, 'qualifierId': 1}, {'id': 5770022871, 'qualifierId': 140, 'value': '69.4'}, {'id': 5770022877, 'qualifierId': 213, 'value': '0.40'}, {'id': 5770022873, 'qualifierId': 141, 'value': '72.6'}, {'id': 5770022867, 'qualifierId': 157}, {'id': 5770022875, 'qualifierId': 212, 'value': '47.2'}]",7e8f4kfwcucaj4239xz0rai1h,A. Moorhouse,,,Orlando Pride,Away
2822440961,3,1,1,0,6,eka22bj7co8bw5qxa6qlbinf8,1,31.9,19.2,2025-06-14T02:10:25.509Z,2025-06-14T02:10:28Z,"[{'id': 5770022893, 'qualifierId': 213, 'value': '1.29'}, {'id': 5770022883, 'qualifierId': 3}, {'id': 5770022887, 'qualifierId': 140, 'value': '33.3'}, {'id': 5770022885, 'qualifierId': 56, 'value': 'Back'}, {'id': 5770022889, 'qualifierId': 141, 'value': '26.7'}, {'id': 5770022891, 'qualifierId': 212, 'value': '5.3'}]",6fs7fjwxqpkgzosbb8364d4np,C. Dydasco,,,Bay,Home
2822440963,4,49,1,0,9,eka22bj7co8bw5qxa6qlbinf8,1,33.5,27.1,2025-06-14T02:10:28.769Z,2025-06-14T02:21:46Z,[],9by1d4orgqze7m8nldkrnwwrt,K. Pickett,,,Bay,Home
2822440965,5,1,1,0,10,eka22bj7co8bw5qxa6qlbinf8,1,33.5,27.1,2025-06-14T02:10:29.105Z,2025-06-14T02:21:48Z,"[{'id': 5770022897, 'qualifierId': 56, 'value': 'Back'}, {'id': 5770022901, 'qualifierId': 141, 'value': '24.0'}, {'id': 5770022903, 'qualifierId': 212, 'value': '6.7'}, {'id': 5770022899, 'qualifierId': 140, 'value': '27.4'}, {'id': 5770022905, 'qualifierId': 213, 'value': '3.46'}]",9by1d4orgqze7m8nldkrnwwrt,K. Pickett,,,Bay,Home
2822440971,6,1,1,0,12,eka22bj7co8bw5qxa6qlbinf8,1,27.4,24.0,2025-06-14T02:10:31.217Z,2025-06-14T02:10:32Z,"[{'id': 5770022925, 'qualifierId': 56, 'value': 'Back'}, {'id': 5770022933, 'qualifierId': 213, 'value': '5.20'}, {'id': 5770022927, 'qualifierId': 140, 'value': '31.6'}, {'id': 5770022929, 'qualifierId': 141, 'value': '11.7'}, {'id': 5770022931, 'qualifierId': 212, 'value': '9.5'}]",6fl1ruianufxk3wj1cx8rrphx,A. Dahlkemper,,,Bay,Home
