id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier,playerId,playerName,assist,keyPass,Squad,Position
2822720009,1,34,16,0,0,b4fbmos00gxtk8qnaqsm392p5,1,0.0,0.0,2025-06-15T01:16:10.482Z,2025-06-15T05:58:09Z,"[{'id': 5771555295, 'qualifierId': 30, 'value': '3qj9t05behkav9okd8n2wywh5, 1x229gvjahkxp7w02bh0v36ga, awme1kk0t2w81hc4xcup7k222, cqpdeqi0psfadqsgejcvdqqne, 1p3bwk03ay87hp2nwrl3tfxwq, cbco4ht0d7uk1thgam6vc0ep6, 7fk82cjz0z5vq2ts3vmz8has5, bxj6bpjfxkumj112yoco9wahg, 3ytdxf659yjtnml5zzpxl01k9, 90bm7jsl7sjqiel7u2tv0vgq2, 8afwde4025w5wxddyf2ouoine, p6mq2ouc50vln1ou3cyg0lqs, cwerr3zz6pqzzzqso9dx69fjd, 54ieoaegysojsey2jmqtr9ucp, 75p1ff1723mzkbs7tfke3j9m2, 4k83z2cdvn2kwb72kh8e8qfsa, 54baezi0oivpmiz91y7bj3zmc, 817x7baq69b1tnrtminbjf3zd, 2sylxhwmisg8f763p2t1q934k, 51tbo9972xjvl7ekjps7o4hlg'}, {'id': 5771555309, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5771555307, 'qualifierId': 197, 'value': '28553'}, {'id': 5771555299, 'qualifierId': 59, 'value': '1, 13, 14, 7, 3, 27, 10, 16, 22, 34, 20, 44, 2, 8, 12, 19, 24, 25, 30, 77'}, {'id': 5771555301, 'qualifierId': 130, 'value': '19'}, {'id': 5771555303, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5771555297, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5771555305, 'qualifierId': 194, 'value': '7fk82cjz0z5vq2ts3vmz8has5'}]",,,,,North Carolina Courage,Away
2822720303,1,34,16,0,0,6hbfgdczbi3yg4sdpqgtu6s,1,0.0,0.0,2025-06-15T01:16:34.760Z,2025-06-15T02:05:42Z,"[{'id': 5771557063, 'qualifierId': 130, 'value': '4'}, {'id': 5771557065, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5771557069, 'qualifierId': 197, 'value': '28248'}, {'id': 5771557067, 'qualifierId': 194, 'value': 'etdam0sfwiphiwykieovlsyy1'}, {'id': 5771557071, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5771557061, 'qualifierId': 59, 'value': '19, 20, 16, 17, 11, 6, 14, 99, 33, 7, 21, 18, 8, 25, 29, 28, 9, 23, 1, 4'}, {'id': 5771557059, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5771557057, 'qualifierId': 30, 'value': 'lg9muzm3sbiijicsik53m3je, 89fa211ocgno2q0to22emh20a, 1enu619pvakj78wtsfuilbj3e, as9gd28disfeeiiqxn7gjvg2c, etdam0sfwiphiwykieovlsyy1, 6opd7nuh51c7p6pn6w04yuntg, 6bcvcloym3tzxss5hgsw4h1at, 3bx0w0ftkij1lqrt727gjd94a, bngif4yqa0asu77nptsb06n10, 9mo419gtk6dy5lhcvatcllkyy, dfeohozpw604y5jbu01u1dkkq, avhmou9ayqv9te0nocy80aga1, 8f2og4ng2s6f8qeikft26h2qc, atvo1d7070tccvlbi8x5rakno, 9b94qn8vkpl0e7ujskes2m7d, 5ctvnqq716lbj0l9prrp8vb4k, cenm8mly98mwv2630hcke4fmc, bnxnrws4yintb6s76erzl9xw5, e2cviaurp66ntp52needonka2, 9ijnmgmapjcnctich86692tw5'}]",,,,,Angel City,Home
2822744171,2,32,1,0,0,6hbfgdczbi3yg4sdpqgtu6s,1,0.0,0.0,2025-06-15T02:06:32.359Z,2025-06-15T02:06:32Z,"[{'id': 5771694031, 'qualifierId': 127, 'value': 'Left to Right'}]",,,,,Angel City,Home
2822744173,2,32,1,0,0,b4fbmos00gxtk8qnaqsm392p5,1,0.0,0.0,2025-06-15T02:06:32.359Z,2025-06-15T02:06:33Z,"[{'id': 5771694033, 'qualifierId': 127, 'value': 'Right to Left'}]",,,,,North Carolina Courage,Away
2822744211,3,1,1,0,0,b4fbmos00gxtk8qnaqsm392p5,1,50.1,50.1,2025-06-15T02:06:32.360Z,2025-06-15T04:38:28Z,"[{'id': 5771694253, 'qualifierId': 279, 'value': 'S'}, {'id': 5771694245, 'qualifierId': 140, 'value': '37.0'}, {'id': 5771694243, 'qualifierId': 56, 'value': 'Back'}, {'id': 5771694247, 'qualifierId': 141, 'value': '37.9'}, {'id': 5771694249, 'qualifierId': 212, 'value': '16.1'}, {'id': 5771694251, 'qualifierId': 213, 'value': '3.68'}]",90bm7jsl7sjqiel7u2tv0vgq2,M. Matsukubo,,,North Carolina Courage,Away
2822744219,4,1,1,0,4,b4fbmos00gxtk8qnaqsm392p5,0,36.6,37.0,2025-06-15T02:06:36.996Z,2025-06-15T02:06:37Z,"[{'id': 5771694309, 'qualifierId': 140, 'value': '74.5'}, {'id': 5771694315, 'qualifierId': 213, 'value': '6.02'}, {'id': 5771694307, 'qualifierId': 56, 'value': 'Right'}, {'id': 5771694313, 'qualifierId': 212, 'value': '41.3'}, {'id': 5771694305, 'qualifierId': 157}, {'id': 5771694317, 'qualifierId': 1}, {'id': 5771694311, 'qualifierId': 141, 'value': '21.0'}]",1p3bwk03ay87hp2nwrl3tfxwq,K. Kurtz,,,North Carolina Courage,Away
2822744255,3,1,1,0,5,6hbfgdczbi3yg4sdpqgtu6s,1,23.3,82.3,2025-06-15T02:06:38.033Z,2025-06-15T02:06:42Z,"[{'id': 5771694559, 'qualifierId': 56, 'value': 'Back'}, {'id': 5771694557, 'qualifierId': 3}, {'id': 5771694561, 'qualifierId': 140, 'value': '33.2'}, {'id': 5771694567, 'qualifierId': 213, 'value': '0.43'}, {'id': 5771694565, 'qualifierId': 212, 'value': '11.5'}, {'id': 5771694563, 'qualifierId': 141, 'value': '89.4'}]",1enu619pvakj78wtsfuilbj3e,M. A. Vignola,,,Angel City,Home
2822744233,5,83,1,0,8,b4fbmos00gxtk8qnaqsm392p5,0,71.2,14.7,2025-06-15T02:06:41.253Z,2025-06-15T02:06:45Z,"[{'id': 5771694693, 'qualifierId': 399, 'value': 'dfeohozpw604y5jbu01u1dkkq'}]",7fk82cjz0z5vq2ts3vmz8has5,D. O'Sullivan,,,North Carolina Courage,Away
2822744261,4,61,1,0,10,6hbfgdczbi3yg4sdpqgtu6s,0,34.4,95.0,2025-06-15T02:06:42.494Z,2025-06-15T02:06:42Z,"[{'id': 5771694601, 'qualifierId': 56, 'value': 'Back'}]",dfeohozpw604y5jbu01u1dkkq,A. Thompson,,,Angel City,Home
2822744299,6,1,1,0,13,b4fbmos00gxtk8qnaqsm392p5,0,70.2,6.2,2025-06-15T02:06:45.733Z,2025-06-15T02:06:46Z,"[{'id': 5771694723, 'qualifierId': 141, 'value': '7.6'}, {'id': 5771694721, 'qualifierId': 140, 'value': '78.3'}, {'id': 5771694725, 'qualifierId': 212, 'value': '8.6'}, {'id': 5771694719, 'qualifierId': 56, 'value': 'Right'}, {'id': 5771694727, 'qualifierId': 213, 'value': '0.11'}]",7fk82cjz0z5vq2ts3vmz8has5,D. O'Sullivan,,,North Carolina Courage,Away
