id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier,playerId,playerName,keyPass,assist,Squad,Position
2822653049,1,34,16,0,0,dtucewmt49th1p4selfutmnmc,1,0.0,0.0,2025-06-14T22:49:03.945Z,2025-06-14T23:46:24Z,"[{'id': 5771186185, 'qualifierId': 197, 'value': '24303'}, {'id': 5771186181, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5771186177, 'qualifierId': 59, 'value': '24, 2, 11, 26, 5, 3, 7, 20, 42, 13, 16, 4, 6, 8, 14, 15, 19, 29, 32, 33'}, {'id': 5771186173, 'qualifierId': 30, 'value': '24lhpn1z5ikitapll48t1z7kk, 7hrw0exutge376ai2uf6frw4q, 2x4vbu3htfozzwd8g7bdxeacp, 8q0rkr3gz7hz1ssdx3fkro0a2, 2mlyh9k0yhv8862rj6hu26j8p, cieyupgmnxecb4emqljudrw89, asfd5wkedz1u29xt37r6or4rt, 1mym43khm3hlhzbj42tbnjlec, aoa88ulpguvr42b0a1jn8dfys, br17lkx91icsoqiibmufa23v8, 9e65qlc7dfjkajyhzhak8sc7p, 2mawkst2xlxrp2zbvgk6rundh, aackuqvi6nlca566oisw0wc9g, 9tbrhbbmfxq8l363kybl4g7ah, 5ni7a4s85lp22rysy5inywf3e, de9skbu4z39jm4o4j0mriw00k, 347h4639fjw27rx29j0we0q5m, 26d7uj41yx6no1oc3izr0rys5, 9gmw9ozey3nvckn368u93iluc, 1q7tkuxplebbezfdsch58k1uy'}, {'id': 5771186187, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5771186179, 'qualifierId': 130, 'value': '4'}, {'id': 5771186183, 'qualifierId': 194, 'value': 'cieyupgmnxecb4emqljudrw89'}, {'id': 5771186175, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}]",,,,,Racing Louisville,Away
2822653937,1,34,16,0,0,agxipc0vk4rtg09amjxv10nx0,1,0.0,0.0,2025-06-14T22:52:41.300Z,2025-06-14T22:52:41Z,"[{'id': 5771191467, 'qualifierId': 194, 'value': 'dv8265k3za578hkzxxuttqmdx'}, {'id': 5771191465, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5771191461, 'qualifierId': 59, 'value': '23, 4, 18, 11, 7, 27, 16, 14, 9, 17, 6, 81, 2, 5, 13, 19, 22, 30, 31, 33'}, {'id': 5771191463, 'qualifierId': 130, 'value': '4'}, {'id': 5771191457, 'qualifierId': 30, 'value': 'das6ydxiwz8trtyp98ss5i295, 9wvoeo39cgbelv8ddqin3aaga, 736jvvtkgwc3g1vooviaod33d, 6k82rq8synvac950ext5t0jpx, 48l2ildbeme2l336nor2hw6lm, cl1av4qyzjkq03akjof6tdf1m, dv8265k3za578hkzxxuttqmdx, 6hyf258ii56nw917w0b4ekob8, 47iatvbptp6438v5qo359yw9h, e1irspfo9xupqz2sqvyq1zp0q, ccw8gtkcahxf21rutqldjvkve, 46r9yf1huh29ri0sbx0yum6ll, 2kjv07goaeqhl1pmjfywkglqs, 68sz2cp2lpnb8k36jkhr3wrje, 3qk8owv039ppiiev6skkkb52i, cmivpbf5hzq5j8feacgla5nv8, errir6ade8y91vp5z7v8gkn6y, ambkmqohpux5r4cvtszfpeej8, 1mjt2c75soe0pbgry40mfmtjo, dwyyvfgddxq2fimtbn6sxz21g'}, {'id': 5771191471, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5771191469, 'qualifierId': 197, 'value': '28319'}, {'id': 5771191459, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}]",,,,,Kansas City Current,Home
2822665291,2,32,1,0,0,dtucewmt49th1p4selfutmnmc,1,0.0,0.0,2025-06-14T23:30:41.005Z,2025-06-14T23:30:42Z,"[{'id': 5771253513, 'qualifierId': 127, 'value': 'Left to Right'}]",,,,,Racing Louisville,Away
2822665285,2,32,1,0,0,agxipc0vk4rtg09amjxv10nx0,1,0.0,0.0,2025-06-14T23:30:41.005Z,2025-06-14T23:30:41Z,"[{'id': 5771253495, 'qualifierId': 127, 'value': 'Right to Left'}]",,,,,Kansas City Current,Home
2822665307,3,1,1,0,0,agxipc0vk4rtg09amjxv10nx0,1,49.9,49.7,2025-06-14T23:30:41.006Z,2025-06-14T23:30:43Z,"[{'id': 5771253601, 'qualifierId': 279, 'value': 'S'}, {'id': 5771253599, 'qualifierId': 213, 'value': '2.71'}, {'id': 5771253591, 'qualifierId': 56, 'value': 'Back'}, {'id': 5771253595, 'qualifierId': 141, 'value': '61.8'}, {'id': 5771253593, 'qualifierId': 140, 'value': '32.8'}, {'id': 5771253597, 'qualifierId': 212, 'value': '19.8'}]",47iatvbptp6438v5qo359yw9h,Bia Zaneratto,,,Kansas City Current,Home
2822665335,4,1,1,0,2,agxipc0vk4rtg09amjxv10nx0,1,33.0,60.9,2025-06-14T23:30:43.758Z,2025-06-14T23:30:48Z,"[{'id': 5771253697, 'qualifierId': 140, 'value': '20.9'}, {'id': 5771253695, 'qualifierId': 56, 'value': 'Back'}, {'id': 5771253701, 'qualifierId': 212, 'value': '13.7'}, {'id': 5771253703, 'qualifierId': 213, 'value': '3.52'}, {'id': 5771253699, 'qualifierId': 141, 'value': '53.4'}]",6hyf258ii56nw917w0b4ekob8,C. Hutton,,,Kansas City Current,Home
2822665371,5,1,1,0,7,agxipc0vk4rtg09amjxv10nx0,1,21.2,53.9,2025-06-14T23:30:48.414Z,2025-06-14T23:31:42Z,"[{'id': 5771253825, 'qualifierId': 140, 'value': '23.6'}, {'id': 5771253831, 'qualifierId': 213, 'value': '1.45'}, {'id': 5771253829, 'qualifierId': 212, 'value': '20.6'}, {'id': 5771253823, 'qualifierId': 56, 'value': 'Back'}, {'id': 5771253827, 'qualifierId': 141, 'value': '83.9'}]",48l2ildbeme2l336nor2hw6lm,E. Ball,,,Kansas City Current,Home
2822665391,6,1,1,0,13,agxipc0vk4rtg09amjxv10nx0,1,24.3,84.4,2025-06-14T23:30:54.181Z,2025-06-14T23:30:56Z,"[{'id': 5771253921, 'qualifierId': 56, 'value': 'Back'}, {'id': 5771253923, 'qualifierId': 140, 'value': '25.0'}, {'id': 5771253927, 'qualifierId': 212, 'value': '24.1'}, {'id': 5771253925, 'qualifierId': 141, 'value': '49.0'}, {'id': 5771253929, 'qualifierId': 213, 'value': '4.74'}]",cl1av4qyzjkq03akjof6tdf1m,K. Sharples,,,Kansas City Current,Home
2822665399,7,1,1,0,15,agxipc0vk4rtg09amjxv10nx0,1,25.0,49.0,2025-06-14T23:30:56.229Z,2025-06-14T23:30:57Z,"[{'id': 5771253947, 'qualifierId': 56, 'value': 'Back'}, {'id': 5771253955, 'qualifierId': 213, 'value': '4.74'}, {'id': 5771253951, 'qualifierId': 141, 'value': '19.4'}, {'id': 5771253953, 'qualifierId': 212, 'value': '20.1'}, {'id': 5771253949, 'qualifierId': 140, 'value': '25.5'}]",48l2ildbeme2l336nor2hw6lm,E. Ball,,,Kansas City Current,Home
2822665427,8,1,1,0,16,agxipc0vk4rtg09amjxv10nx0,1,25.5,19.4,2025-06-14T23:30:57.501Z,2025-06-14T23:31:02Z,"[{'id': 5771254109, 'qualifierId': 141, 'value': '5.9'}, {'id': 5771254113, 'qualifierId': 213, 'value': '5.73'}, {'id': 5771254105, 'qualifierId': 56, 'value': 'Back'}, {'id': 5771254111, 'qualifierId': 212, 'value': '17.5'}, {'id': 5771254107, 'qualifierId': 140, 'value': '39.7'}]",9wvoeo39cgbelv8ddqin3aaga,H. Mace,,,Kansas City Current,Home
2822665433,9,1,1,0,21,agxipc0vk4rtg09amjxv10nx0,1,39.0,7.3,2025-06-14T23:31:02.862Z,2025-06-14T23:31:04Z,"[{'id': 5771254159, 'qualifierId': 212, 'value': '19.6'}, {'id': 5771254155, 'qualifierId': 140, 'value': '22.5'}, {'id': 5771254161, 'qualifierId': 213, 'value': '2.66'}, {'id': 5771254157, 'qualifierId': 141, 'value': '20.7'}, {'id': 5771254153, 'qualifierId': 56, 'value': 'Back'}]",dv8265k3za578hkzxxuttqmdx,V. DiBernardo,,,Kansas City Current,Home
2822665475,10,1,1,0,23,agxipc0vk4rtg09amjxv10nx0,1,22.5,20.7,2025-06-14T23:31:04.286Z,2025-06-14T23:31:30Z,"[{'id': 5771254791, 'qualifierId': 210, 'value': '15'}, {'id': 5771254367, 'qualifierId': 157}, {'id': 5771254377, 'qualifierId': 213, 'value': '0.37'}, {'id': 5771254373, 'qualifierId': 141, 'value': '33.1'}, {'id': 5771254379, 'qualifierId': 1}, {'id': 5771254375, 'qualifierId': 212, 'value': '23.5'}, {'id': 5771254371, 'qualifierId': 140, 'value': '43.4'}, {'id': 5771254369, 'qualifierId': 56, 'value': 'Back'}]",9wvoeo39cgbelv8ddqin3aaga,H. Mace,1.0,,Kansas City Current,Home
2822665479,11,15,1,0,33,agxipc0vk4rtg09amjxv10nx0,1,76.3,48.8,2025-06-14T23:31:14.533Z,2025-06-14T23:31:31Z,"[{'id': 5771254797, 'qualifierId': 55, 'value': '10'}, {'id': 5771254807, 'qualifierId': 146, 'value': '99.0'}, {'id': 5771254399, 'qualifierId': 56, 'value': 'Center'}, {'id': 5771254395, 'qualifierId': 22}, {'id': 5771254793, 'qualifierId': 80}, {'id': 5771254803, 'qualifierId': 103, 'value': '4.4'}, {'id': 5771254495, 'qualifierId': 72}, {'id': 5771254397, 'qualifierId': 18}, {'id': 5771254813, 'qualifierId': 233, 'value': '3'}, {'id': 5771254809, 'qualifierId': 147, 'value': '49.6'}, {'id': 5771254801, 'qualifierId': 102, 'value': '46.4'}, {'id': 5771254805, 'qualifierId': 215}, {'id': 5771254795, 'qualifierId': 29}]",e1irspfo9xupqz2sqvyq1zp0q,M. Cooper,,,Kansas City Current,Home
2822665477,3,10,1,0,33,dtucewmt49th1p4selfutmnmc,1,0.2,49.3,2025-06-14T23:31:14.633Z,2025-06-14T23:31:31Z,"[{'id': 5771254391, 'qualifierId': 56, 'value': 'Back'}, {'id': 5771254817, 'qualifierId': 233, 'value': '11'}, {'id': 5771254389, 'qualifierId': 182}, {'id': 5771254383, 'qualifierId': 173}, {'id': 5771254543, 'qualifierId': 179}]",24lhpn1z5ikitapll48t1z7kk,J. Bloomer,,,Racing Louisville,Away
2822665487,4,6,1,0,35,dtucewmt49th1p4selfutmnmc,0,9.0,50.0,2025-06-14T23:31:16.302Z,2025-06-14T23:57:32Z,"[{'id': 5771254433, 'qualifierId': 73}, {'id': 5771254431, 'qualifierId': 56, 'value': 'Back'}, {'id': 5771254451, 'qualifierId': 233, 'value': '12'}]",24lhpn1z5ikitapll48t1z7kk,J. Bloomer,,,Racing Louisville,Away
2822665485,12,6,1,0,35,agxipc0vk4rtg09amjxv10nx0,1,91.0,50.0,2025-06-14T23:31:16.302Z,2025-06-14T23:57:32Z,"[{'id': 5771254427, 'qualifierId': 56, 'value': 'Center'}, {'id': 5771254435, 'qualifierId': 233, 'value': '4'}, {'id': 5771254429, 'qualifierId': 75}]",e1irspfo9xupqz2sqvyq1zp0q,M. Cooper,,,Kansas City Current,Home
2822665703,13,1,1,1,9,agxipc0vk4rtg09amjxv10nx0,1,99.5,0.5,2025-06-14T23:31:50.262Z,2025-06-15T01:45:24Z,"[{'id': 5771255459, 'qualifierId': 56, 'value': 'Center'}, {'id': 5771255451, 'qualifierId': 2}, {'id': 5771255455, 'qualifierId': 155}, {'id': 5771255463, 'qualifierId': 141, 'value': '41.0'}, {'id': 5771255453, 'qualifierId': 6}, {'id': 5771255465, 'qualifierId': 212, 'value': '27.9'}, {'id': 5771255461, 'qualifierId': 140, 'value': '95.1'}, {'id': 5771255467, 'qualifierId': 213, 'value': '1.74'}, {'id': 5771391943, 'qualifierId': 154}, {'id': 5771391941, 'qualifierId': 210, 'value': '13'}, {'id': 5771255457, 'qualifierId': 223}]",736jvvtkgwc3g1vooviaod33d,I. Rodriguez,1.0,,Kansas City Current,Home
