id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier,playerId,playerName,keyPass,Squad,Position
2823506603,1,34,16,0,0,agxipc0vk4rtg09amjxv10nx0,1,0.0,0.0,2025-06-20T23:16:43.311Z,2025-06-27T21:38:10Z,"[{'id': 5775992589, 'qualifierId': 130, 'value': '8'}, {'id': 5775992585, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5775992593, 'qualifierId': 194, 'value': 'dv8265k3za578hkzxxuttqmdx'}, {'id': 5775992583, 'qualifierId': 30, 'value': 'das6ydxiwz8trtyp98ss5i295, 9wvoeo39cgbelv8ddqin3aaga, 736jvvtkgwc3g1vooviaod33d, 6hyf258ii56nw917w0b4ekob8, 48l2ildbeme2l336nor2hw6lm, cl1av4qyzjkq03akjof6tdf1m, e1irspfo9xupqz2sqvyq1zp0q, 6k82rq8synvac950ext5t0jpx, 47iatvbptp6438v5qo359yw9h, dv8265k3za578hkzxxuttqmdx, ccw8gtkcahxf21rutqldjvkve, 46r9yf1huh29ri0sbx0yum6ll, 2kjv07goaeqhl1pmjfywkglqs, 68sz2cp2lpnb8k36jkhr3wrje, 516s5q2n1hop56c1768x0jbh1, 3qk8owv039ppiiev6skkkb52i, cmivpbf5hzq5j8feacgla5nv8, errir6ade8y91vp5z7v8gkn6y, 1mjt2c75soe0pbgry40mfmtjo, ambkmqohpux5r4cvtszfpeej8'}, {'id': 5775992595, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5776027213, 'qualifierId': 197, 'value': '28319'}, {'id': 5775992587, 'qualifierId': 59, 'value': '23, 4, 18, 14, 7, 27, 17, 11, 9, 16, 6, 81, 2, 5, 8, 13, 19, 22, 31, 30'}, {'id': 5775992591, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}]",,,,Kansas City Current,Home
2823508695,1,34,16,0,0,6hbfgdczbi3yg4sdpqgtu6s,1,0.0,0.0,2025-06-20T23:28:21.134Z,2025-06-27T21:21:18Z,"[{'id': 5776004253, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5776004241, 'qualifierId': 30, 'value': 'lg9muzm3sbiijicsik53m3je, 89fa211ocgno2q0to22emh20a, 1enu619pvakj78wtsfuilbj3e, 6opd7nuh51c7p6pn6w04yuntg, 6bcvcloym3tzxss5hgsw4h1at, etdam0sfwiphiwykieovlsyy1, 8f2og4ng2s6f8qeikft26h2qc, 3bx0w0ftkij1lqrt727gjd94a, bngif4yqa0asu77nptsb06n10, 9mo419gtk6dy5lhcvatcllkyy, dfeohozpw604y5jbu01u1dkkq, as9gd28disfeeiiqxn7gjvg2c, 5ctvnqq716lbj0l9prrp8vb4k, e2cviaurp66ntp52needonka2, atvo1d7070tccvlbi8x5rakno, cenm8mly98mwv2630hcke4fmc, 9ijnmgmapjcnctich86692tw5, 9b94qn8vkpl0e7ujskes2m7d, bnxnrws4yintb6s76erzl9xw5'}, {'id': 5776027047, 'qualifierId': 197, 'value': '28249'}, {'id': 5776004247, 'qualifierId': 130, 'value': '17'}, {'id': 5776004243, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5776004249, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5776004245, 'qualifierId': 59, 'value': '19, 20, 16, 6, 14, 11, 8, 99, 33, 7, 21, 17, 28, 1, 25, 9, 4, 29, 23'}, {'id': 5776004251, 'qualifierId': 194, 'value': 'etdam0sfwiphiwykieovlsyy1'}]",,,,Angel City,Away
2823516341,2,32,1,0,0,agxipc0vk4rtg09amjxv10nx0,1,0.0,0.0,2025-06-21T00:10:21.252Z,2025-06-27T14:06:41Z,"[{'id': 5776047663, 'qualifierId': 127, 'value': 'Right to Left'}]",,,,Kansas City Current,Home
2823516345,2,32,1,0,0,6hbfgdczbi3yg4sdpqgtu6s,1,0.0,0.0,2025-06-21T00:10:21.252Z,2025-06-21T00:10:22Z,"[{'id': 5776047667, 'qualifierId': 127, 'value': 'Left to Right'}]",,,,Angel City,Away
2823516355,3,1,1,0,0,6hbfgdczbi3yg4sdpqgtu6s,1,50.0,50.0,2025-06-21T00:10:21.253Z,2025-06-21T01:07:29Z,"[{'id': 5776047723, 'qualifierId': 56, 'value': 'Back'}, {'id': 5776047729, 'qualifierId': 212, 'value': '11.8'}, {'id': 5776047725, 'qualifierId': 140, 'value': '38.8'}, {'id': 5776047733, 'qualifierId': 279, 'value': 'S'}, {'id': 5776047731, 'qualifierId': 213, 'value': '3.05'}, {'id': 5776047727, 'qualifierId': 141, 'value': '51.6'}]",8f2og4ng2s6f8qeikft26h2qc,M. Hodge,,Angel City,Away
2823516375,4,1,1,0,2,6hbfgdczbi3yg4sdpqgtu6s,0,38.8,51.6,2025-06-21T00:10:23.685Z,2025-06-21T01:07:36Z,"[{'id': 5776047835, 'qualifierId': 140, 'value': '80.5'}, {'id': 5776047839, 'qualifierId': 212, 'value': '49.3'}, {'id': 5776047833, 'qualifierId': 56, 'value': 'Left'}, {'id': 5776047841, 'qualifierId': 213, 'value': '0.48'}, {'id': 5776047843, 'qualifierId': 1}, {'id': 5776047831, 'qualifierId': 157}, {'id': 5776047837, 'qualifierId': 141, 'value': '85.0'}]",6bcvcloym3tzxss5hgsw4h1at,A. Kennedy,,Angel City,Away
2823516371,3,49,1,0,4,agxipc0vk4rtg09amjxv10nx0,1,15.2,13.8,2025-06-21T00:10:25.855Z,2025-06-21T00:10:25Z,[],9wvoeo39cgbelv8ddqin3aaga,H. Mace,,Kansas City Current,Home
2823516391,4,1,1,0,5,agxipc0vk4rtg09amjxv10nx0,1,16.2,14.3,2025-06-21T00:10:26.487Z,2025-06-27T15:45:10Z,"[{'id': 5776047917, 'qualifierId': 141, 'value': '53.6'}, {'id': 5776047915, 'qualifierId': 140, 'value': '11.0'}, {'id': 5776047919, 'qualifierId': 212, 'value': '27.3'}, {'id': 5776047913, 'qualifierId': 56, 'value': 'Back'}, {'id': 5776047921, 'qualifierId': 213, 'value': '1.77'}]",9wvoeo39cgbelv8ddqin3aaga,H. Mace,,Kansas City Current,Home
2823516401,5,1,1,0,8,agxipc0vk4rtg09amjxv10nx0,1,12.5,60.2,2025-06-21T00:10:30.198Z,2025-06-21T00:10:33Z,"[{'id': 5776048001, 'qualifierId': 141, 'value': '83.9'}, {'id': 5776047997, 'qualifierId': 56, 'value': 'Back'}, {'id': 5776047999, 'qualifierId': 140, 'value': '16.2'}, {'id': 5776048005, 'qualifierId': 213, 'value': '1.33'}, {'id': 5776048003, 'qualifierId': 212, 'value': '16.6'}]",cl1av4qyzjkq03akjof6tdf1m,K. Sharples,,Kansas City Current,Home
2823516415,6,1,1,0,12,agxipc0vk4rtg09amjxv10nx0,1,18.2,89.2,2025-06-21T00:10:33.934Z,2025-06-27T15:55:45Z,"[{'id': 5776048077, 'qualifierId': 140, 'value': '48.8'}, {'id': 5776048083, 'qualifierId': 213, 'value': '6.16'}, {'id': 5781713911, 'qualifierId': 157}, {'id': 5776048085, 'qualifierId': 1}, {'id': 5776048081, 'qualifierId': 212, 'value': '32.4'}, {'id': 5776048075, 'qualifierId': 56, 'value': 'Back'}, {'id': 5776048079, 'qualifierId': 141, 'value': '83.2'}]",736jvvtkgwc3g1vooviaod33d,I. Rodriguez,,Kansas City Current,Home
2823516417,7,44,1,0,13,agxipc0vk4rtg09amjxv10nx0,1,52.3,86.1,2025-06-21T00:10:34.317Z,2025-06-27T16:52:14Z,"[{'id': 5776048089, 'qualifierId': 56, 'value': 'Left'}, {'id': 5776076947, 'qualifierId': 233, 'value': '5'}, {'id': 5776076907, 'qualifierId': 286}]",ccw8gtkcahxf21rutqldjvkve,T. Chawinga,,Kansas City Current,Home
2823516419,5,44,1,0,13,6hbfgdczbi3yg4sdpqgtu6s,0,47.7,13.9,2025-06-21T00:10:34.318Z,2025-06-27T15:55:54Z,"[{'id': 5776076951, 'qualifierId': 233, 'value': '7'}, {'id': 5776048093, 'qualifierId': 56, 'value': 'Back'}, {'id': 5776076845, 'qualifierId': 285}]",etdam0sfwiphiwykieovlsyy1,S. Gorden,,Angel City,Away
2823521465,180,43,1,0,14,agxipc0vk4rtg09amjxv10nx0,1,0.0,0.0,2025-06-21T00:10:35.319Z,2025-06-21T00:31:13Z,"[{'id': 5776076753, 'qualifierId': 286, 'value': '0'}, {'id': 5776076869, 'qualifierId': 144, 'value': '44'}, {'id': 5776076847, 'qualifierId': 233, 'value': '5'}, {'id': 5776076751, 'qualifierId': 56, 'value': 'Left'}]",ccw8gtkcahxf21rutqldjvkve,T. Chawinga,,Kansas City Current,Home
2824529883,808,1,1,0,14,agxipc0vk4rtg09amjxv10nx0,0,46.8,84.1,2025-06-21T00:10:35.887Z,2025-06-27T15:56:06Z,"[{'id': 5781713977, 'qualifierId': 56, 'value': 'Back'}, {'id': 5781713983, 'qualifierId': 212, 'value': '1.7'}, {'id': 5781713985, 'qualifierId': 213, 'value': '0.00'}, {'id': 5781713973, 'qualifierId': 3}, {'id': 5781713979, 'qualifierId': 140, 'value': '48.4'}, {'id': 5781713975, 'qualifierId': 168}, {'id': 5781713981, 'qualifierId': 141, 'value': '84.1'}]",ccw8gtkcahxf21rutqldjvkve,T. Chawinga,,Kansas City Current,Home
2823516433,6,61,1,0,15,6hbfgdczbi3yg4sdpqgtu6s,1,47.9,16.2,2025-06-21T00:10:37.109Z,2025-06-27T15:55:51Z,"[{'id': 5776048167, 'qualifierId': 56, 'value': 'Back'}]",etdam0sfwiphiwykieovlsyy1,S. Gorden,,Angel City,Away
2823531437,434,44,1,0,16,6hbfgdczbi3yg4sdpqgtu6s,1,58.4,30.0,2025-06-21T00:10:37.252Z,2025-06-27T15:57:09Z,"[{'id': 5776133151, 'qualifierId': 56, 'value': 'Center'}, {'id': 5776133167, 'qualifierId': 233, 'value': '8'}, {'id': 5776133153, 'qualifierId': 286}]",8f2og4ng2s6f8qeikft26h2qc,M. Hodge,,Angel City,Away
2823516441,8,44,1,0,16,agxipc0vk4rtg09amjxv10nx0,0,41.6,70.0,2025-06-21T00:10:37.253Z,2025-06-27T15:57:11Z,"[{'id': 5776048207, 'qualifierId': 285}, {'id': 5776133173, 'qualifierId': 233, 'value': '434'}, {'id': 5776048205, 'qualifierId': 56, 'value': 'Back'}]",6hyf258ii56nw917w0b4ekob8,C. Hutton,,Kansas City Current,Home
2823516437,7,1,1,0,16,6hbfgdczbi3yg4sdpqgtu6s,0,58.8,28.0,2025-06-21T00:10:37.525Z,2025-06-27T15:57:13Z,"[{'id': 5776048201, 'qualifierId': 212, 'value': '3.1'}, {'id': 5776048191, 'qualifierId': 3}, {'id': 5776048203, 'qualifierId': 213, 'value': '0.63'}, {'id': 5776048195, 'qualifierId': 56, 'value': 'Center'}, {'id': 5776048199, 'qualifierId': 141, 'value': '30.7'}, {'id': 5776048197, 'qualifierId': 140, 'value': '61.2'}]",8f2og4ng2s6f8qeikft26h2qc,M. Hodge,,Angel City,Away
