id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier,playerId,playerName,keyPass,assist,Squad,Position
2823506179,1,34,16,0,0,dtucewmt49th1p4selfutmnmc,1,0.0,0.0,2025-06-20T23:14:25.588Z,2025-06-21T00:20:21Z,"[{'id': 5775990251, 'qualifierId': 194, 'value': 'cieyupgmnxecb4emqljudrw89'}, {'id': 5775990245, 'qualifierId': 59, 'value': '24, 2, 11, 26, 5, 3, 8, 7, 42, 16, 13, 4, 6, 33, 14, 15, 29, 32, 19, 20'}, {'id': 5775990241, 'qualifierId': 30, 'value': '24lhpn1z5ikitapll48t1z7kk, 7hrw0exutge376ai2uf6frw4q, 2x4vbu3htfozzwd8g7bdxeacp, 8q0rkr3gz7hz1ssdx3fkro0a2, 2mlyh9k0yhv8862rj6hu26j8p, cieyupgmnxecb4emqljudrw89, 9tbrhbbmfxq8l363kybl4g7ah, asfd5wkedz1u29xt37r6or4rt, aoa88ulpguvr42b0a1jn8dfys, 9e65qlc7dfjkajyhzhak8sc7p, br17lkx91icsoqiibmufa23v8, 2mawkst2xlxrp2zbvgk6rundh, aackuqvi6nlca566oisw0wc9g, 1q7tkuxplebbezfdsch58k1uy, 5ni7a4s85lp22rysy5inywf3e, de9skbu4z39jm4o4j0mriw00k, 26d7uj41yx6no1oc3izr0rys5, 9gmw9ozey3nvckn368u93iluc, 347h4639fjw27rx29j0we0q5m, 1mym43khm3hlhzbj42tbnjlec'}, {'id': 5775990253, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5775990249, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5776046175, 'qualifierId': 197, 'value': '24303'}, {'id': 5775990243, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5775990247, 'qualifierId': 130, 'value': '4'}]",,,,,Racing Louisville,Home
2823508027,1,34,16,0,0,966pdxhsoxaib9qt5083h8uus,1,0.0,0.0,2025-06-20T23:24:41.605Z,2025-06-21T00:10:05Z,"[{'id': 5776000379, 'qualifierId': 30, 'value': '7e8f4kfwcucaj4239xz0rai1h, 2lh6bupkrijpm9n916446nbop, dy302yj9tjby62ur1u8ab8rxm, 23nuijdnnuiwzkd5cf7jbyajt, 9yvkpwm78jaqr321imfc3rrbo, 1uf4321zvio3hrwfu4z4jxp7t, eigt6t2rj0k98zt1isqrvtvqh, 3cyj9a2fjtx4xd0bqdh6g3azu, e2obgph6szyo04em3qr94g1qt, c811si1xw5he6ih0o1mj94tsl, 68njvqucip0ehuz4eecppvq0a, 93mr62mbyeymgcad2qhpvt2qc, bp34vn963cxgnx6b7q7sig9hw, 6zvfcc67po0ofvl1twrv13tg5, 642fsrjj1seobmhxeefruv578, dyfsbff9jueyw5jhjou424bo4, 77agy8f4m7ybib2cssdfsltuy, 6uui5rxnfn6y5rkcsbuloiui, 6fhiz0epsutfcs1xqfhcuomad, 13mfu77eipda4tqe1grek3a7e'}, {'id': 5776000383, 'qualifierId': 59, 'value': '1, 21, 12, 15, 6, 3, 11, 2, 22, 10, 28, 40, 9, 19, 34, 25, 14, 30, 16, 35'}, {'id': 5776000389, 'qualifierId': 194, 'value': 'c811si1xw5he6ih0o1mj94tsl'}, {'id': 5776000381, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5776000385, 'qualifierId': 130, 'value': '2'}, {'id': 5776046173, 'qualifierId': 197, 'value': '24420'}, {'id': 5776000387, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5776000391, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}]",,,,,Orlando Pride,Away
2823516137,2,32,1,0,0,966pdxhsoxaib9qt5083h8uus,1,0.0,0.0,2025-06-21T00:09:08.736Z,2025-06-21T00:09:08Z,"[{'id': 5776046543, 'qualifierId': 127, 'value': 'Left to Right'}]",,,,,Orlando Pride,Away
2823516143,2,32,1,0,0,dtucewmt49th1p4selfutmnmc,1,0.0,0.0,2025-06-21T00:09:08.736Z,2025-06-21T00:09:11Z,"[{'id': 5776046577, 'qualifierId': 127, 'value': 'Right to Left'}]",,,,,Racing Louisville,Home
2823516153,3,1,1,0,0,dtucewmt49th1p4selfutmnmc,1,50.0,50.0,2025-06-21T00:09:08.737Z,2025-06-21T00:11:08Z,"[{'id': 5776046621, 'qualifierId': 56, 'value': 'Back'}, {'id': 5776046625, 'qualifierId': 141, 'value': '40.4'}, {'id': 5776046631, 'qualifierId': 279, 'value': 'S'}, {'id': 5776046623, 'qualifierId': 140, 'value': '26.1'}, {'id': 5776046629, 'qualifierId': 213, 'value': '3.40'}, {'id': 5776046627, 'qualifierId': 212, 'value': '25.9'}]",br17lkx91icsoqiibmufa23v8,E. Sears,,,Racing Louisville,Home
2823516159,4,1,1,0,4,dtucewmt49th1p4selfutmnmc,0,26.1,40.4,2025-06-21T00:09:12.898Z,2025-06-21T00:10:50Z,"[{'id': 5776046647, 'qualifierId': 212, 'value': '57.7'}, {'id': 5776046639, 'qualifierId': 157}, {'id': 5776046641, 'qualifierId': 56, 'value': 'Left'}, {'id': 5776046651, 'qualifierId': 1}, {'id': 5776046645, 'qualifierId': 141, 'value': '82.5'}, {'id': 5776046643, 'qualifierId': 140, 'value': '73.8'}, {'id': 5776046649, 'qualifierId': 213, 'value': '0.52'}]",24lhpn1z5ikitapll48t1z7kk,J. Bloomer,,,Racing Louisville,Home
2823516167,3,12,1,0,7,966pdxhsoxaib9qt5083h8uus,1,27.2,35.9,2025-06-21T00:09:16.353Z,2025-06-21T00:10:58Z,"[{'id': 5776046681, 'qualifierId': 56, 'value': 'Back'}, {'id': 5776046685, 'qualifierId': 141, 'value': '26.6'}, {'id': 5776046683, 'qualifierId': 140, 'value': '35.8'}, {'id': 5776046691, 'qualifierId': 15}, {'id': 5776046687, 'qualifierId': 212, 'value': '11.0'}, {'id': 5776046689, 'qualifierId': 213, 'value': '5.67'}]",2lh6bupkrijpm9n916446nbop,Oihane Hernández,,,Orlando Pride,Away
2823516173,5,1,1,0,9,dtucewmt49th1p4selfutmnmc,0,66.0,84.9,2025-06-21T00:09:18.475Z,2025-06-21T00:09:19Z,"[{'id': 5776046727, 'qualifierId': 213, 'value': '0.12'}, {'id': 5776046723, 'qualifierId': 141, 'value': '86.3'}, {'id': 5776046725, 'qualifierId': 212, 'value': '8.2'}, {'id': 5776046719, 'qualifierId': 56, 'value': 'Left'}, {'id': 5776046717, 'qualifierId': 3}, {'id': 5776046721, 'qualifierId': 140, 'value': '73.8'}]",9tbrhbbmfxq8l363kybl4g7ah,Ary Borges,,,Racing Louisville,Home
2823516181,4,12,1,0,10,966pdxhsoxaib9qt5083h8uus,1,27.1,29.6,2025-06-21T00:09:18.881Z,2025-06-21T00:11:01Z,"[{'id': 5776046773, 'qualifierId': 212, 'value': '9.1'}, {'id': 5776046767, 'qualifierId': 56, 'value': 'Back'}, {'id': 5776046769, 'qualifierId': 140, 'value': '35.4'}, {'id': 5776046771, 'qualifierId': 141, 'value': '26.0'}, {'id': 5776046775, 'qualifierId': 213, 'value': '6.01'}]",2lh6bupkrijpm9n916446nbop,Oihane Hernández,,,Orlando Pride,Away
2823516737,21,1,1,0,12,dtucewmt49th1p4selfutmnmc,0,71.4,82.0,2025-06-21T00:09:21.288Z,2025-06-21T00:12:09Z,"[{'id': 5776050397, 'qualifierId': 1}, {'id': 5776050385, 'qualifierId': 157}, {'id': 5776050393, 'qualifierId': 212, 'value': '9.3'}, {'id': 5776050395, 'qualifierId': 213, 'value': '5.57'}, {'id': 5776050391, 'qualifierId': 141, 'value': '73.0'}, {'id': 5776050387, 'qualifierId': 56, 'value': 'Center'}, {'id': 5776050389, 'qualifierId': 140, 'value': '78.1'}]",9tbrhbbmfxq8l363kybl4g7ah,Ary Borges,,,Racing Louisville,Home
