id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier,playerId,playerName,keyPass,assist,Squad,Position
2823707415,1,34,16,0,0,eka22bj7co8bw5qxa6qlbinf8,1,0.0,0.0,2025-06-21T22:41:09.172Z,2025-06-21T23:46:29Z,"[{'id': 5777107579, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5777107577, 'qualifierId': 194, 'value': '6fl1ruianufxk3wj1cx8rrphx'}, {'id': 5777107575, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5777107571, 'qualifierId': 59, 'value': '32, 3, 20, 41, 13, 18, 21, 15, 9, 7, 55, 1, 5, 8, 12, 14, 17, 19, 23, 24'}, {'id': 5777107567, 'qualifierId': 30, 'value': '4yor5z7hocccrrs0p85jf179w, 6fs7fjwxqpkgzosbb8364d4np, 58ggl2oa2ucyrv91ofv44ump6, doowl2ugqjktazdorwia5kx9m, 6fl1ruianufxk3wj1cx8rrphx, ajm2otiy72xcni5pbtu1259n8, 7pdog0usw4fwr3j3neexfz1ed, 5zq8rn70v25d2bzfot40w07is, a88r8d1jd5r928pvskginyiqy, atcv5kiq1ez04nvfbrh9xhh5g, cnxanwub8nm1jokerrs83mk4q, 5q924z85a5bmydk32gr9gz71m, iwbi7wnz7xl9dtiqrg0ka6ay, c1r1tmscj963olp4yo8kedqdx, bzn9r2st3lrb74jbrnosv75ec, 3h9iwb3ufzzbr5137qg7whses, aknvwrqc5fk8wurg6487g5ck, 1ftms6bue2ezs3khsimk9sep6, 9by1d4orgqze7m8nldkrnwwrt, d5sinj3fevgaqcgwhtfno836c'}, {'id': 5777107573, 'qualifierId': 130, 'value': '8'}, {'id': 5777186549, 'qualifierId': 197, 'value': '28251'}, {'id': 5777107569, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}]",,,,,Bay,Away
2823710405,1,34,16,0,0,bgkfdckqfqnfbmecbtz03n76d,1,0.0,0.0,2025-06-21T23:01:35.947Z,2025-06-21T23:34:20Z,"[{'id': 5777123955, 'qualifierId': 130, 'value': '8'}, {'id': 5777123957, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5777123951, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5777194371, 'qualifierId': 197, 'value': '28252'}, {'id': 5777123961, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5777123959, 'qualifierId': 194, 'value': '54szh8526rjp2erap05ljqxud'}, {'id': 5777123949, 'qualifierId': 30, 'value': '6fi5hacjc8lj8zej0d2lfq66t, 54szh8526rjp2erap05ljqxud, c6amo9ni4dou63jjan993dht6, 4j3kopvvd3iej6p4h9z36giqd, aqihfnhadzdmi7i5bjfnphqms, 3aj7p478dcuat6tz8096sq8dl, co49l4m0my5li8yvcxgrvq0yy, e0gmts9bxn8goqm3bz4835016, 13hy7ggmnhfalmdqlbp6lzv11, 3gxgrg34v8ffgde2g0nbm92c4, dzhvgrdkl4nuj8z4fd9to0ag9, 5vb1j5w8876lkpw3sgf5g6f4k, 5vbxfkptmc4fy8oent8ogistm, 47eshqoyaib3u78jfao4rmsr8, 96uam5me1x7vlrlhra84v0vzd, 8e4jqpg6oty7im4qy4a6j1wk4, dtmvgia1wh01owv0splpjsftg, 56y5qt6c03t7f5t7eoebi0wyd, 1d0w87gdvjcorim34wblp5hqs, 9yoa6ehqan7po2q49famrk4d0'}, {'id': 5777123953, 'qualifierId': 59, 'value': '30, 22, 4, 16, 14, 6, 3, 8, 9, 11, 10, 12, 21, 34, 5, 1, 90, 23, 17, 24'}]",,,,,Gotham FC,Home
2823722475,2,32,1,0,0,eka22bj7co8bw5qxa6qlbinf8,1,0.0,0.0,2025-06-21T23:30:29.599Z,2025-06-21T23:30:30Z,"[{'id': 5777190259, 'qualifierId': 127, 'value': 'Left to Right'}]",,,,,Bay,Away
2823722473,2,32,1,0,0,bgkfdckqfqnfbmecbtz03n76d,1,0.0,0.0,2025-06-21T23:30:29.599Z,2025-06-24T18:01:43Z,"[{'id': 5777190257, 'qualifierId': 127, 'value': 'Right to Left'}]",,,,,Gotham FC,Home
2823722731,8,1,1,0,0,bgkfdckqfqnfbmecbtz03n76d,1,50.0,49.3,2025-06-21T23:30:30.064Z,2025-06-22T00:27:48Z,"[{'id': 5777191665, 'qualifierId': 212, 'value': '13.2'}, {'id': 5777191667, 'qualifierId': 213, 'value': '3.25'}, {'id': 5777191661, 'qualifierId': 140, 'value': '37.5'}, {'id': 5777191659, 'qualifierId': 56, 'value': 'Back'}, {'id': 5777192023, 'qualifierId': 279, 'value': 'S'}, {'id': 5777191663, 'qualifierId': 141, 'value': '47.2'}]",dzhvgrdkl4nuj8z4fd9to0ag9,Geyse,,,Gotham FC,Home
2823746665,395,1,1,0,1,bgkfdckqfqnfbmecbtz03n76d,1,36.8,46.7,2025-06-21T23:30:30.599Z,2025-06-22T00:28:06Z,"[{'id': 5777326673, 'qualifierId': 56, 'value': 'Back'}, {'id': 5777326681, 'qualifierId': 213, 'value': '4.20'}, {'id': 5777326679, 'qualifierId': 212, 'value': '15.6'}, {'id': 5777326675, 'qualifierId': 140, 'value': '29.5'}, {'id': 5777326677, 'qualifierId': 141, 'value': '26.8'}]",e0gmts9bxn8goqm3bz4835016,T. Torres,,,Gotham FC,Home
2823722533,3,1,1,0,4,bgkfdckqfqnfbmecbtz03n76d,0,28.3,27.4,2025-06-21T23:30:34.299Z,2025-06-22T00:28:24Z,"[{'id': 5777326765, 'qualifierId': 155}, {'id': 5777190533, 'qualifierId': 141, 'value': '21.7'}, {'id': 5777190539, 'qualifierId': 1}, {'id': 5777190531, 'qualifierId': 140, 'value': '68.2'}, {'id': 5777190537, 'qualifierId': 213, 'value': '6.19'}, {'id': 5777190529, 'qualifierId': 56, 'value': 'Center'}, {'id': 5777190535, 'qualifierId': 212, 'value': '42.1'}]",54szh8526rjp2erap05ljqxud,M. Freeman,,,Gotham FC,Home
2823746763,396,44,1,0,4,bgkfdckqfqnfbmecbtz03n76d,1,72.2,22.5,2025-06-21T23:30:34.598Z,2025-06-24T17:58:13Z,"[{'id': 5777327235, 'qualifierId': 56, 'value': 'Center'}, {'id': 5777347097, 'qualifierId': 233, 'value': '388'}, {'id': 5777327237, 'qualifierId': 286}]",co49l4m0my5li8yvcxgrvq0yy,Bruninha,,,Gotham FC,Home
2823750063,388,44,1,0,5,eka22bj7co8bw5qxa6qlbinf8,0,27.8,77.5,2025-06-21T23:30:34.599Z,2025-06-24T17:58:14Z,"[{'id': 5777347113, 'qualifierId': 233, 'value': '396'}, {'id': 5777347069, 'qualifierId': 56, 'value': 'Back'}, {'id': 5777347071, 'qualifierId': 285}]",ajm2otiy72xcni5pbtu1259n8,J. Anderson,,,Bay,Away
2823746773,397,1,1,0,6,bgkfdckqfqnfbmecbtz03n76d,1,71.5,20.0,2025-06-21T23:30:35.599Z,2025-06-22T00:28:23Z,"[{'id': 5777327301, 'qualifierId': 3}, {'id': 5777327307, 'qualifierId': 141, 'value': '29.4'}, {'id': 5777327305, 'qualifierId': 140, 'value': '82.3'}, {'id': 5777327311, 'qualifierId': 213, 'value': '0.51'}, {'id': 5777327309, 'qualifierId': 212, 'value': '13.0'}, {'id': 5777327303, 'qualifierId': 56, 'value': 'Center'}]",co49l4m0my5li8yvcxgrvq0yy,Bruninha,,,Gotham FC,Home
