id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier,playerId,playerName,keyPass,assist,Squad,Position
2823708899,1,34,16,0,0,b4fbmos00gxtk8qnaqsm392p5,1,0.0,0.0,2025-06-21T22:50:41.504Z,2025-06-21T23:41:59Z,"[{'id': 5777115473, 'qualifierId': 194, 'value': '7fk82cjz0z5vq2ts3vmz8has5'}, {'id': 5777115463, 'qualifierId': 30, 'value': '3qj9t05behkav9okd8n2wywh5, 1x229gvjahkxp7w02bh0v36ga, awme1kk0t2w81hc4xcup7k222, 1p3bwk03ay87hp2nwrl3tfxwq, cbco4ht0d7uk1thgam6vc0ep6, cqpdeqi0psfadqsgejcvdqqne, 7fk82cjz0z5vq2ts3vmz8has5, bxj6bpjfxkumj112yoco9wahg, 3ytdxf659yjtnml5zzpxl01k9, 90bm7jsl7sjqiel7u2tv0vgq2, 8afwde4025w5wxddyf2ouoine, p6mq2ouc50vln1ou3cyg0lqs, cwerr3zz6pqzzzqso9dx69fjd, 54ieoaegysojsey2jmqtr9ucp, cbofbntctfuhr1vqpn7eywt05, 75p1ff1723mzkbs7tfke3j9m2, 9aj5gfycwgc6r0b550zagl4a1, 4k83z2cdvn2kwb72kh8e8qfsa, 817x7baq69b1tnrtminbjf3zd, 2sylxhwmisg8f763p2t1q934k'}, {'id': 5777115475, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5777115469, 'qualifierId': 130, 'value': '19'}, {'id': 5777115471, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5777115467, 'qualifierId': 59, 'value': '1, 13, 14, 3, 27, 7, 10, 16, 22, 34, 20, 44, 2, 8, 11, 12, 17, 19, 25, 30'}, {'id': 5777115465, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5777211207, 'qualifierId': 197, 'value': '28161'}]",,,,,North Carolina Courage,Home
2823709661,1,34,16,0,0,c3v2ohfuzoqmc8ljm65hi80sj,1,0.0,0.0,2025-06-21T22:56:15.406Z,2025-07-01T11:56:01Z,"[{'id': 5777119817, 'qualifierId': 194, 'value': '53uflfknc5uus7iqw3obp5fx1'}, {'id': 5777119807, 'qualifierId': 30, 'value': '53uflfknc5uus7iqw3obp5fx1, 61ucpn8qxos0kwaw0gdpqubys, n4egj8ymfled94mco0lwa95, 6089nfwh31ha73pl7vlla75cl, 8co65x7tuvynuqvket8okb7xl, 8ruvr2jnsfdub02rdh8q88s89, 95tl8tonvm6czhwzd6i5ep756, 1c2boqmoi50esuelgdd96o06h, 1xgse8t4dm0decmpzebsphvfu, 2sc4jlfmioa61d1vgpcz0pht6, 270qzf9ig52z04iu3ujnmstg4, 706rwdwv4re27svfmlo7na3th, 191uogxjdg4uo178qv1544jys, bdsv3kql5t6sw5ed2gsxmz2eh, 97ia01cyibu1l7qs8qexd2n3e, cgfk0e62cesbgieslfge2p61h, edwr7f7jwnxm1plk91fx8hfro, 22rwy15pz3noi4av4wb3i0wh6, 6zm75ruas324c7yrt18ttei8l, b3pwhedfzplkesy9qek3q6o7o'}, {'id': 5777210901, 'qualifierId': 197, 'value': '24270'}, {'id': 5777119819, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5777119809, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5777119811, 'qualifierId': 59, 'value': '1, 15, 20, 17, 4, 14, 10, 24, 11, 8, 21, 35, 6, 7, 12, 13, 22, 23, 25, 29'}, {'id': 5777119815, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5777119813, 'qualifierId': 130, 'value': '8'}]",,,,,Houston Dash,Away
2823726145,2,32,1,0,0,c3v2ohfuzoqmc8ljm65hi80sj,1,0.0,0.0,2025-06-21T23:39:22.051Z,2025-06-21T23:39:22Z,"[{'id': 5777211279, 'qualifierId': 127, 'value': 'Left to Right'}]",,,,,Houston Dash,Away
2823726155,3,32,1,0,0,b4fbmos00gxtk8qnaqsm392p5,1,0.0,0.0,2025-06-21T23:39:22.051Z,2025-06-24T10:33:53Z,"[{'id': 5777211337, 'qualifierId': 127, 'value': 'Right to Left'}]",,,,,North Carolina Courage,Home
2823726187,3,1,1,0,0,c3v2ohfuzoqmc8ljm65hi80sj,1,50.1,50.0,2025-06-21T23:39:22.052Z,2025-06-21T23:39:28Z,"[{'id': 5777211551, 'qualifierId': 141, 'value': '46.0'}, {'id': 5777211555, 'qualifierId': 213, 'value': '3.25'}, {'id': 5777211553, 'qualifierId': 212, 'value': '25.2'}, {'id': 5777211547, 'qualifierId': 56, 'value': 'Back'}, {'id': 5777211557, 'qualifierId': 279, 'value': 'S'}, {'id': 5777211549, 'qualifierId': 140, 'value': '26.2'}]",1xgse8t4dm0decmpzebsphvfu,Y. Ryan,,,Houston Dash,Away
2823726215,4,1,1,0,6,c3v2ohfuzoqmc8ljm65hi80sj,1,28.1,44.8,2025-06-21T23:39:28.772Z,2025-06-21T23:39:33Z,"[{'id': 5777211727, 'qualifierId': 212, 'value': '55.4'}, {'id': 5777211719, 'qualifierId': 155}, {'id': 5777211731, 'qualifierId': 1}, {'id': 5777211723, 'qualifierId': 140, 'value': '76.4'}, {'id': 5777211725, 'qualifierId': 141, 'value': '12.0'}, {'id': 5777211721, 'qualifierId': 56, 'value': 'Right'}, {'id': 5777211729, 'qualifierId': 213, 'value': '5.87'}]",53uflfknc5uus7iqw3obp5fx1,J. Campbell,,,Houston Dash,Away
2823726225,5,1,1,0,11,c3v2ohfuzoqmc8ljm65hi80sj,0,77.4,7.9,2025-06-21T23:39:33.452Z,2025-06-24T10:34:52Z,"[{'id': 5779510767, 'qualifierId': 224}, {'id': 5777215345, 'qualifierId': 286}, {'id': 5777215341, 'qualifierId': 233, 'value': '4'}, {'id': 5777211785, 'qualifierId': 213, 'value': '1.51'}, {'id': 5777211781, 'qualifierId': 141, 'value': '10.4'}, {'id': 5777211777, 'qualifierId': 56, 'value': 'Right'}, {'id': 5777211783, 'qualifierId': 212, 'value': '1.7'}, {'id': 5777211773, 'qualifierId': 2}, {'id': 5777211779, 'qualifierId': 140, 'value': '77.5'}, {'id': 5777215339, 'qualifierId': 236}, {'id': 5779510769, 'qualifierId': 20}]",95tl8tonvm6czhwzd6i5ep756,B. Olivieri,,,Houston Dash,Away
2823726217,4,12,1,0,11,b4fbmos00gxtk8qnaqsm392p5,1,24.4,91.7,2025-06-21T23:39:33.552Z,2025-06-21T23:40:48Z,"[{'id': 5777215349, 'qualifierId': 233, 'value': '5'}, {'id': 5777212681, 'qualifierId': 185}, {'id': 5777211739, 'qualifierId': 56, 'value': 'Back'}]",awme1kk0t2w81hc4xcup7k222,T. Lussi,,,North Carolina Courage,Home
2823726249,5,1,1,0,16,b4fbmos00gxtk8qnaqsm392p5,0,6.4,95.1,2025-06-21T23:39:38.419Z,2025-06-21T23:39:39Z,"[{'id': 5777211953, 'qualifierId': 56, 'value': 'Back'}, {'id': 5777211951, 'qualifierId': 157}, {'id': 5777211955, 'qualifierId': 140, 'value': '21.1'}, {'id': 5777211959, 'qualifierId': 212, 'value': '16.1'}, {'id': 5777211961, 'qualifierId': 213, 'value': '0.29'}, {'id': 5777211957, 'qualifierId': 141, 'value': '100.0'}, {'id': 5777211963, 'qualifierId': 1}]",1p3bwk03ay87hp2nwrl3tfxwq,K. Kurtz,,,North Carolina Courage,Home
2823726389,6,5,1,0,17,c3v2ohfuzoqmc8ljm65hi80sj,1,81.2,-2.0,2025-06-21T23:39:39.858Z,2025-06-22T01:53:56Z,"[{'id': 5777212781, 'qualifierId': 233, 'value': '6'}, {'id': 5777212749, 'qualifierId': 347}, {'id': 5777212745, 'qualifierId': 56, 'value': 'Right'}]",95tl8tonvm6czhwzd6i5ep756,B. Olivieri,,,Houston Dash,Away
