id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier,playerId,playerName,assist,keyPass,Squad,Position
2823675093,1,34,16,0,0,bl53jk6zlfe5f583pil7xzwi5,1,0.0,0.0,2025-06-21T20:19:28.055Z,2025-06-21T23:20:54Z,"[{'id': 5776927389, 'qualifierId': 59, 'value': '1, 24, 25, 20, 23, 21, 18, 91, 6, 47, 5, 99, 9, 2, 16, 14, 31, 13, 30, 33'}, {'id': 5776927391, 'qualifierId': 130, 'value': '4'}, {'id': 5776927385, 'qualifierId': 30, 'value': '2bb2dbogerxxvircnah8gw222, a3iv6ws325cyd1vmrowwx6ck4, 7v6cr5ohzfbu6gf0dvw05q8h6, 3jl8cvp50cy5o4pt1u8h4a2cq, 78r84jt04ixcanyq0d0x7jmz8, apl8fpqij3o30f21vh2tthe22, 5uoom5ctl8apr1v3ew3bhrlgq, 7im1atd7ziav111a9o6mh9gid, cm6fzm8v38ti0aubu0q4v717t, e2q91279c3j489oaaqgb6iwb8, anwmefu9etrn8i0r74r1jg9g, 30pt4uhplyxm0ljkqsffaw7x0, 78i4mxu4hxwp995udteweftgp, dlm4h2alfw0llbz4mkdq7hu96, 3izdhhnuuxiomh66g4g0d0yc, 1msrx80nnfp04v03t5jkoo76y, e6lfu5kktkjhzou72epnwl13p, esz6xzkinz76pk8edmsjwldzo, 7xb0niqg08hrxk8i2nq8zvfth, 8rum6xdhsh8kjz3r3x39qtt04'}, {'id': 5776927397, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5776927387, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5776927395, 'qualifierId': 194, 'value': 'apl8fpqij3o30f21vh2tthe22'}, {'id': 5776927393, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5777017877, 'qualifierId': 197, 'value': '25773'}]",,,,,Seattle Reign,Away
2823675725,1,34,16,0,0,bn7w86uw8j61dga3xr5s0yiju,1,0.0,0.0,2025-06-21T20:21:11.644Z,2025-06-21T21:10:50Z,"[{'id': 5776930961, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5776930967, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5776930965, 'qualifierId': 130, 'value': '8'}, {'id': 5776930959, 'qualifierId': 30, 'value': 'vaw0swh9q18mglmk683bauzu, 3v2uqzotxtogavxgqpe7plene, emihtyw994ca7bwm3y8ou4odm, 1mmkb0klnov3y412lmr5qktwq, 15u9zrm4e4gosthf1vmkp5ht6, bwjqs0orziydksase1flhedt6, 8gqtwfvc0ehmlvnaw2qb112zu, dlbgel5sg62n5z89ev1tkusph, ejnchs99plocbhm7txy6r3s9h, 46a8lc1hgykm6kdhuadiwjk5x, 9igg9mubjgnwpqxx8ywhzzmz8, d4fcm5jgtri2hgu7znf87n9ck, 5xeqrq3iczzork08c28rmx3ah, f0cwpq45aa7b5de10j9skw44p, 7pynp0g6h56oqimzdffivfpat, 6bk246gzwg1c5cng1qy1a4is4, 91pl4sfwk9t4ybwanj8dlwahg, 836jz6qayhrahzyxdyesvrsa, 1r8725akqzal1mni9wl8zmnai, 5psdd5ol4kv5mx9wk0re3d4ut'}, {'id': 5776930969, 'qualifierId': 194, 'value': '3v2uqzotxtogavxgqpe7plene'}, {'id': 5777008289, 'qualifierId': 197, 'value': '28195'}, {'id': 5776930971, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5776930963, 'qualifierId': 59, 'value': '1, 4, 16, 22, 8, 17, 9, 10, 53, 11, 13, 5, 7, 14, 18, 19, 21, 23, 28, 30'}]",,,,,Utah Royals,Home
2823689889,2,32,1,0,0,bl53jk6zlfe5f583pil7xzwi5,1,0.0,0.0,2025-06-21T21:09:02.618Z,2025-06-21T21:09:20Z,"[{'id': 5777008415, 'qualifierId': 127, 'value': 'Left to Right'}]",,,,,Seattle Reign,Away
2823689891,3,32,1,0,0,bn7w86uw8j61dga3xr5s0yiju,1,0.0,0.0,2025-06-21T21:09:02.618Z,2025-06-23T15:01:12Z,"[{'id': 5777008417, 'qualifierId': 127, 'value': 'Right to Left'}]",,,,,Utah Royals,Home
2823689893,3,43,1,0,0,bl53jk6zlfe5f583pil7xzwi5,1,0.0,0.0,2025-06-21T21:09:02.619Z,2025-06-21T22:05:29Z,"[{'id': 5777008421, 'qualifierId': 56, 'value': 'Center'}, {'id': 5777008427, 'qualifierId': 212, 'value': '18.0'}, {'id': 5777075669, 'qualifierId': 144, 'value': '1'}, {'id': 5777008431, 'qualifierId': 279, 'value': 'S'}, {'id': 5777008423, 'qualifierId': 140, 'value': '67.2'}, {'id': 5777008425, 'qualifierId': 141, 'value': '48.7'}, {'id': 5777008429, 'qualifierId': 213, 'value': '6.23'}]",7im1atd7ziav111a9o6mh9gid,Ji So-Yun,,,Seattle Reign,Away
2823700495,341,1,1,0,0,bn7w86uw8j61dga3xr5s0yiju,1,49.6,50.0,2025-06-21T21:09:02.619Z,2025-06-21T22:00:02Z,"[{'id': 5777068097, 'qualifierId': 56, 'value': 'Back'}, {'id': 5777068105, 'qualifierId': 213, 'value': '2.98'}, {'id': 5777068103, 'qualifierId': 212, 'value': '20.2'}, {'id': 5777068101, 'qualifierId': 141, 'value': '54.8'}, {'id': 5777068107, 'qualifierId': 279, 'value': 'S'}, {'id': 5777068099, 'qualifierId': 140, 'value': '30.6'}]",dlbgel5sg62n5z89ev1tkusph,Claudia Zornoza,,,Utah Royals,Home
2823700533,342,1,1,0,1,bn7w86uw8j61dga3xr5s0yiju,0,31.4,59.3,2025-06-21T21:09:03.618Z,2025-06-21T22:00:22Z,"[{'id': 5777068349, 'qualifierId': 212, 'value': '48.0'}, {'id': 5777068351, 'qualifierId': 213, 'value': '5.82'}, {'id': 5777068345, 'qualifierId': 140, 'value': '72.3'}, {'id': 5777068343, 'qualifierId': 56, 'value': 'Center'}, {'id': 5777068347, 'qualifierId': 141, 'value': '27.7'}, {'id': 5777068341, 'qualifierId': 157}, {'id': 5777068353, 'qualifierId': 1}]",vaw0swh9q18mglmk683bauzu,M. McGlynn,,,Utah Royals,Home
2823689899,4,43,1,0,2,bl53jk6zlfe5f583pil7xzwi5,1,0.0,0.0,2025-06-21T21:09:05.549Z,2025-06-21T22:05:32Z,"[{'id': 5777008473, 'qualifierId': 56, 'value': 'Back'}, {'id': 5777008481, 'qualifierId': 213, 'value': '2.77'}, {'id': 5777008475, 'qualifierId': 140, 'value': '22.0'}, {'id': 5777008479, 'qualifierId': 212, 'value': '51.5'}, {'id': 5777075701, 'qualifierId': 144, 'value': '1'}, {'id': 5777008483, 'qualifierId': 1, 'value': '0'}, {'id': 5777008471, 'qualifierId': 157, 'value': '0'}, {'id': 5777008477, 'qualifierId': 141, 'value': '76.9'}]",2bb2dbogerxxvircnah8gw222,C. Dickey,,,Seattle Reign,Away
2823689921,5,12,1,0,5,bl53jk6zlfe5f583pil7xzwi5,1,19.7,74.8,2025-06-21T21:09:08.125Z,2025-06-24T07:55:37Z,"[{'id': 5777076915, 'qualifierId': 213, 'value': '0.10'}, {'id': 5777076913, 'qualifierId': 212, 'value': '7.1'}, {'id': 5777076907, 'qualifierId': 56, 'value': 'Back'}, {'id': 5779483261, 'qualifierId': 15}, {'id': 5777076911, 'qualifierId': 141, 'value': '75.8'}, {'id': 5777076909, 'qualifierId': 140, 'value': '26.4'}]",7v6cr5ohzfbu6gf0dvw05q8h6,S. Holmes,,,Seattle Reign,Away
2823700601,343,1,1,0,6,bn7w86uw8j61dga3xr5s0yiju,0,66.4,33.7,2025-06-21T21:09:08.618Z,2025-06-24T07:55:40Z,"[{'id': 5777068685, 'qualifierId': 212, 'value': '9.4'}, {'id': 5777068681, 'qualifierId': 140, 'value': '71.6'}, {'id': 5777068679, 'qualifierId': 56, 'value': 'Center'}, {'id': 5777068687, 'qualifierId': 213, 'value': '5.33'}, {'id': 5777068683, 'qualifierId': 141, 'value': '22.5'}]",ejnchs99plocbhm7txy6r3s9h,B. St-Georges,,,Utah Royals,Home
2823689897,4,43,1,0,6,bn7w86uw8j61dga3xr5s0yiju,1,0.0,0.0,2025-06-21T21:09:09.070Z,2025-06-24T07:55:52Z,"[{'id': 5777008467, 'qualifierId': 212, 'value': '17.9'}, {'id': 5777008461, 'qualifierId': 56, 'value': 'Center'}, {'id': 5777008463, 'qualifierId': 140, 'value': '60.7'}, {'id': 5779483263, 'qualifierId': 144, 'value': '1'}, {'id': 5777008469, 'qualifierId': 213, 'value': '2.76'}, {'id': 5777008459, 'qualifierId': 3, 'value': '0'}, {'id': 5777008465, 'qualifierId': 141, 'value': '34.6'}]",emihtyw994ca7bwm3y8ou4odm,M. Pogarch,,,Utah Royals,Home
2823689923,6,43,1,0,8,bl53jk6zlfe5f583pil7xzwi5,1,0.0,0.0,2025-06-21T21:09:11.341Z,2025-06-21T22:09:52Z,"[{'id': 5777081055, 'qualifierId': 144, 'value': '61'}, {'id': 5777077343, 'qualifierId': 56, 'value': 'Back'}]",anwmefu9etrn8i0r74r1jg9g,M. Dahlien,,,Seattle Reign,Away
2823702431,332,1,1,0,8,bl53jk6zlfe5f583pil7xzwi5,0,21.6,82.9,2025-06-21T21:09:11.617Z,2025-06-21T22:10:02Z,"[{'id': 5777081285, 'qualifierId': 236}, {'id': 5777078813, 'qualifierId': 213, 'value': '0.45'}, {'id': 5777081291, 'qualifierId': 286}, {'id': 5777078807, 'qualifierId': 140, 'value': '22.8'}, {'id': 5777078811, 'qualifierId': 212, 'value': '1.4'}, {'id': 5777078805, 'qualifierId': 56, 'value': 'Back'}, {'id': 5777078809, 'qualifierId': 141, 'value': '83.8'}, {'id': 5777081287, 'qualifierId': 233, 'value': '344'}]",anwmefu9etrn8i0r74r1jg9g,M. Dahlien,,,Seattle Reign,Away
2823700679,344,74,1,0,9,bn7w86uw8j61dga3xr5s0yiju,1,71.5,19.7,2025-06-21T21:09:11.618Z,2025-06-21T22:10:02Z,"[{'id': 5777069057, 'qualifierId': 56, 'value': 'Right'}, {'id': 5777081283, 'qualifierId': 285}, {'id': 5777081297, 'qualifierId': 233, 'value': '332'}]",3v2uqzotxtogavxgqpe7plene,P. Monaghan,,,Utah Royals,Home
2823702731,334,3,1,0,10,bl53jk6zlfe5f583pil7xzwi5,1,26.6,82.2,2025-06-21T21:09:12.618Z,2025-06-24T07:56:19Z,"[{'id': 5777080673, 'qualifierId': 56, 'value': 'Back'}, {'id': 5779483281, 'qualifierId': 464}, {'id': 5777080675, 'qualifierId': 285}, {'id': 5777080689, 'qualifierId': 233, 'value': '345'}]",anwmefu9etrn8i0r74r1jg9g,M. Dahlien,,,Seattle Reign,Away
2823700725,345,45,1,0,10,bn7w86uw8j61dga3xr5s0yiju,0,73.4,17.8,2025-06-21T21:09:12.618Z,2025-06-21T23:13:07Z,"[{'id': 5777069269, 'qualifierId': 286}, {'id': 5777069267, 'qualifierId': 56, 'value': 'Right'}, {'id': 5777080693, 'qualifierId': 233, 'value': '334'}]",3v2uqzotxtogavxgqpe7plene,P. Monaghan,,,Utah Royals,Home
2823702497,333,1,1,0,11,bl53jk6zlfe5f583pil7xzwi5,0,25.9,85.9,2025-06-21T21:09:13.618Z,2025-06-24T07:57:47Z,"[{'id': 5777079325, 'qualifierId': 212, 'value': '17.9'}, {'id': 5777079319, 'qualifierId': 56, 'value': 'Back'}, {'id': 5777079321, 'qualifierId': 140, 'value': '42.9'}, {'id': 5777079327, 'qualifierId': 213, 'value': '6.26'}, {'id': 5777079323, 'qualifierId': 141, 'value': '85.4'}]",anwmefu9etrn8i0r74r1jg9g,M. Dahlien,,,Seattle Reign,Away
2823689905,5,43,1,0,11,bn7w86uw8j61dga3xr5s0yiju,1,0.0,0.0,2025-06-21T21:09:13.675Z,2025-06-24T07:57:25Z,"[{'id': 5777008513, 'qualifierId': 140, 'value': '67.5'}, {'id': 5777008519, 'qualifierId': 213, 'value': '2.77'}, {'id': 5779483335, 'qualifierId': 144, 'value': '1'}, {'id': 5777008515, 'qualifierId': 141, 'value': '23.1'}, {'id': 5777008517, 'qualifierId': 212, 'value': '6.4'}, {'id': 5777008511, 'qualifierId': 56, 'value': 'Center'}]",8gqtwfvc0ehmlvnaw2qb112zu,A. Sentnor,,,Utah Royals,Home
2824128783,784,8,1,0,11,bn7w86uw8j61dga3xr5s0yiju,1,59.9,18.7,2025-06-21T21:09:14.563Z,2025-06-24T07:58:46Z,"[{'id': 5779483307, 'qualifierId': 385}, {'id': 5779483301, 'qualifierId': 56, 'value': 'Right'}]",15u9zrm4e4gosthf1vmkp5ht6,K. Del Fava,,,Utah Royals,Home
2823689909,6,43,1,0,12,bn7w86uw8j61dga3xr5s0yiju,1,0.0,0.0,2025-06-21T21:09:15.314Z,2025-06-24T07:57:24Z,"[{'id': 5777008543, 'qualifierId': 212, 'value': '13.4'}, {'id': 5777008539, 'qualifierId': 140, 'value': '58.9'}, {'id': 5777008541, 'qualifierId': 141, 'value': '25.6'}, {'id': 5779483333, 'qualifierId': 144, 'value': '1'}, {'id': 5777008537, 'qualifierId': 56, 'value': 'Center'}, {'id': 5777008545, 'qualifierId': 213, 'value': '3.07'}]",8gqtwfvc0ehmlvnaw2qb112zu,A. Sentnor,,,Utah Royals,Home
2823700789,346,43,1,0,14,bn7w86uw8j61dga3xr5s0yiju,1,0.0,0.0,2025-06-21T21:09:16.618Z,2025-06-24T07:57:23Z,"[{'id': 5777069583, 'qualifierId': 141, 'value': '0.0'}, {'id': 5777069585, 'qualifierId': 212, 'value': '24.5'}, {'id': 5779483331, 'qualifierId': 144, 'value': '1'}, {'id': 5777069581, 'qualifierId': 140, 'value': '82.1'}, {'id': 5777069579, 'qualifierId': 56, 'value': 'Right'}, {'id': 5777069587, 'qualifierId': 213, 'value': '5.62'}]",15u9zrm4e4gosthf1vmkp5ht6,K. Del Fava,,,Utah Royals,Home
2823689925,7,5,1,0,19,bn7w86uw8j61dga3xr5s0yiju,0,75.8,-1.4,2025-06-21T21:09:22.187Z,2025-06-21T23:12:48Z,"[{'id': 5777008611, 'qualifierId': 347}, {'id': 5777008609, 'qualifierId': 56, 'value': 'Right'}, {'id': 5777076323, 'qualifierId': 233, 'value': '7'}]",8gqtwfvc0ehmlvnaw2qb112zu,A. Sentnor,,,Utah Royals,Home
2823689949,7,5,1,0,19,bl53jk6zlfe5f583pil7xzwi5,1,24.2,101.4,2025-06-21T21:09:22.187Z,2025-06-21T23:12:48Z,"[{'id': 5777008751, 'qualifierId': 347}, {'id': 5777008749, 'qualifierId': 56, 'value': 'Back'}, {'id': 5777076319, 'qualifierId': 233, 'value': '7'}]",anwmefu9etrn8i0r74r1jg9g,M. Dahlien,,,Seattle Reign,Away
2823689951,8,1,1,0,31,bl53jk6zlfe5f583pil7xzwi5,0,24.5,100.0,2025-06-21T21:09:34.118Z,2025-06-21T22:10:43Z,"[{'id': 5777008761, 'qualifierId': 212, 'value': '18.9'}, {'id': 5777008757, 'qualifierId': 140, 'value': '41.7'}, {'id': 5777008755, 'qualifierId': 56, 'value': 'Back'}, {'id': 5777008759, 'qualifierId': 141, 'value': '93.9'}, {'id': 5777008753, 'qualifierId': 107}, {'id': 5777008763, 'qualifierId': 213, 'value': '5.99'}]",7v6cr5ohzfbu6gf0dvw05q8h6,S. Holmes,,,Seattle Reign,Away
2823689967,8,1,1,0,34,bn7w86uw8j61dga3xr5s0yiju,1,57.9,7.4,2025-06-21T21:09:37.011Z,2025-06-24T07:58:58Z,"[{'id': 5777008845, 'qualifierId': 212, 'value': '24.7'}, {'id': 5777008839, 'qualifierId': 56, 'value': 'Center'}, {'id': 5777008843, 'qualifierId': 141, 'value': '27.4'}, {'id': 5777070457, 'qualifierId': 155}, {'id': 5777008841, 'qualifierId': 140, 'value': '77.5'}, {'id': 5777008847, 'qualifierId': 213, 'value': '0.58'}]",15u9zrm4e4gosthf1vmkp5ht6,K. Del Fava,,,Utah Royals,Home
2823689969,9,44,1,0,35,bn7w86uw8j61dga3xr5s0yiju,1,75.9,24.6,2025-06-21T21:09:38.115Z,2025-06-24T07:59:23Z,"[{'id': 5777079387, 'qualifierId': 233, 'value': '9'}, {'id': 5777008853, 'qualifierId': 56, 'value': 'Center'}, {'id': 5777008855, 'qualifierId': 286}]",46a8lc1hgykm6kdhuadiwjk5x,M. Tanaka,,,Utah Royals,Home
2823689959,9,44,1,0,35,bl53jk6zlfe5f583pil7xzwi5,0,24.1,75.4,2025-06-21T21:09:38.116Z,2025-06-21T23:13:10Z,"[{'id': 5777079403, 'qualifierId': 233, 'value': '9'}, {'id': 5777008809, 'qualifierId': 285}, {'id': 5777008807, 'qualifierId': 56, 'value': 'Back'}]",5uoom5ctl8apr1v3ew3bhrlgq,S. Menti,,,Seattle Reign,Away
2823689961,10,43,1,0,35,bl53jk6zlfe5f583pil7xzwi5,1,0.0,0.0,2025-06-21T21:09:38.349Z,2025-06-21T22:08:41Z,"[{'id': 5777008819, 'qualifierId': 141, 'value': '65.7'}, {'id': 5777008815, 'qualifierId': 56, 'value': 'Back'}, {'id': 5777008823, 'qualifierId': 213, 'value': '5.29'}, {'id': 5777079577, 'qualifierId': 144, 'value': '1'}, {'id': 5777008813, 'qualifierId': 3, 'value': '0'}, {'id': 5777008817, 'qualifierId': 140, 'value': '29.5'}, {'id': 5777008821, 'qualifierId': 212, 'value': '8.7'}]",3jl8cvp50cy5o4pt1u8h4a2cq,S. Meza,,,Seattle Reign,Away
2823689977,10,1,1,0,38,bn7w86uw8j61dga3xr5s0yiju,1,77.5,26.4,2025-06-21T21:09:41.035Z,2025-06-24T07:59:21Z,"[{'id': 5777008883, 'qualifierId': 213, 'value': '2.14'}, {'id': 5777008873, 'qualifierId': 3}, {'id': 5777008877, 'qualifierId': 140, 'value': '71.1'}, {'id': 5777008875, 'qualifierId': 56, 'value': 'Center'}, {'id': 5777008881, 'qualifierId': 212, 'value': '12.4'}, {'id': 5777008879, 'qualifierId': 141, 'value': '41.8'}]",46a8lc1hgykm6kdhuadiwjk5x,M. Tanaka,,,Utah Royals,Home
2824128841,785,49,1,0,39,bn7w86uw8j61dga3xr5s0yiju,1,73.6,36.1,2025-06-21T21:09:41.883Z,2025-06-24T08:00:08Z,[],9igg9mubjgnwpqxx8ywhzzmz8,B. Mozingo,,,Utah Royals,Home
2823689981,11,1,1,0,40,bn7w86uw8j61dga3xr5s0yiju,1,73.3,41.9,2025-06-21T21:09:42.796Z,2025-06-21T22:01:51Z,"[{'id': 5777008923, 'qualifierId': 213, 'value': '4.18'}, {'id': 5777008919, 'qualifierId': 141, 'value': '20.9'}, {'id': 5777008915, 'qualifierId': 56, 'value': 'Right'}, {'id': 5777008917, 'qualifierId': 140, 'value': '65.3'}, {'id': 5777008921, 'qualifierId': 212, 'value': '16.6'}]",9igg9mubjgnwpqxx8ywhzzmz8,B. Mozingo,,,Utah Royals,Home
2823701075,347,1,1,0,41,bn7w86uw8j61dga3xr5s0yiju,1,78.0,24.1,2025-06-21T21:09:43.618Z,2025-06-21T22:02:08Z,"[{'id': 5777071285, 'qualifierId': 56, 'value': 'Center'}, {'id': 5777071291, 'qualifierId': 212, 'value': '17.1'}, {'id': 5777071289, 'qualifierId': 141, 'value': '24.7'}, {'id': 5777071293, 'qualifierId': 213, 'value': '3.12'}, {'id': 5777071287, 'qualifierId': 140, 'value': '61.7'}]",8gqtwfvc0ehmlvnaw2qb112zu,A. Sentnor,,,Utah Royals,Home
2823689987,12,1,1,0,46,bn7w86uw8j61dga3xr5s0yiju,1,64.8,28.9,2025-06-21T21:09:49.002Z,2025-06-24T08:00:32Z,"[{'id': 5777008953, 'qualifierId': 140, 'value': '54.6'}, {'id': 5777008955, 'qualifierId': 141, 'value': '43.8'}, {'id': 5777008959, 'qualifierId': 213, 'value': '2.38'}, {'id': 5777008951, 'qualifierId': 56, 'value': 'Center'}, {'id': 5777008957, 'qualifierId': 212, 'value': '14.7'}]",dlbgel5sg62n5z89ev1tkusph,Claudia Zornoza,,,Utah Royals,Home
2823689991,13,1,1,0,47,bn7w86uw8j61dga3xr5s0yiju,1,53.7,45.2,2025-06-21T21:09:50.354Z,2025-06-24T08:00:38Z,"[{'id': 5777008971, 'qualifierId': 212, 'value': '21.6'}, {'id': 5777008969, 'qualifierId': 141, 'value': '13.9'}, {'id': 5777008965, 'qualifierId': 56, 'value': 'Right'}, {'id': 5777008973, 'qualifierId': 213, 'value': '4.87'}, {'id': 5777008967, 'qualifierId': 140, 'value': '57.0'}]",bwjqs0orziydksase1flhedt6,Ana Tejada,,,Utah Royals,Home
2823690003,14,1,1,0,50,bn7w86uw8j61dga3xr5s0yiju,0,57.8,11.9,2025-06-21T21:09:53.067Z,2025-06-21T22:02:28Z,"[{'id': 5777009041, 'qualifierId': 141, 'value': '37.7'}, {'id': 5777009037, 'qualifierId': 56, 'value': 'Center'}, {'id': 5777009043, 'qualifierId': 212, 'value': '29.4'}, {'id': 5777009035, 'qualifierId': 155}, {'id': 5777009039, 'qualifierId': 140, 'value': '80.3'}, {'id': 5777009045, 'qualifierId': 213, 'value': '0.64'}]",15u9zrm4e4gosthf1vmkp5ht6,K. Del Fava,,,Utah Royals,Home
2823689995,11,12,1,0,52,bl53jk6zlfe5f583pil7xzwi5,1,21.4,73.9,2025-06-21T21:09:54.740Z,2025-06-21T22:11:17Z,"[{'id': 5777082923, 'qualifierId': 15}, {'id': 5777008997, 'qualifierId': 212, 'value': '15.8'}, {'id': 5777008991, 'qualifierId': 56, 'value': 'Back'}, {'id': 5777008993, 'qualifierId': 140, 'value': '26.3'}, {'id': 5777008999, 'qualifierId': 213, 'value': '1.24'}, {'id': 5777008995, 'qualifierId': 141, 'value': '95.9'}]",78r84jt04ixcanyq0d0x7jmz8,J. Bugg,,,Seattle Reign,Away
